bootstrap_samples,bootstrap_seed,ci95_high,ci95_low,ci_excludes_zero,delta_definition,higher_is_better,left_model,left_win_fraction,mean_paired_delta,median_paired_delta,metric,pair_count,right_model
10000,42,0.028681984674107642,0.018296487215802366,True,left_minus_right,False,FNO,0.047619047619047616,0.023377744597380408,0.02187900315738825,state_l2,42,Differential LocalNO
10000,42,0.1357322767975037,0.10915577487754777,True,left_minus_right,False,FNO,0.0,0.12197306215046205,0.11580330154049168,residual_l2,42,Differential LocalNO
10000,42,-0.06267658139974701,-0.10535612269693037,True,left_minus_right,True,FNO,0.09523809523809523,-0.08384626761663656,-0.08270627932196889,residual_cosine,42,Differential LocalNO
10000,42,-1.186607071063266,-3.4468217704238406,True,left_minus_right,False,FNO,0.8571428571428571,-2.205959904639857,-0.6649847215955869,shell_absolute_error,42,Differential LocalNO
10000,42,0.07275299598857729,0.009025540071132055,True,left_minus_right,False,FNO,0.35714285714285715,0.04099624205984703,0.04502915752928197,radial_absolute_error,42,Differential LocalNO
10000,42,0.0038313336527414977,-7.204782037829333e-05,False,left_minus_right,False,Differential LocalNO,0.4523809523809524,0.0018589812333427945,0.00041502107074803396,state_l2,42,Index-space DISCO3D LocalNO
10000,42,0.00440965680997761,-0.006510659128864691,False,left_minus_right,False,Differential LocalNO,0.47619047619047616,-0.0009661677575357556,0.0010154631825168847,residual_l2,42,Index-space DISCO3D LocalNO
10000,42,-0.008691554867011342,-0.01876024760927619,True,left_minus_right,True,Differential LocalNO,0.2619047619047619,-0.013753748492375185,-0.01439883155112509,residual_cosine,42,Index-space DISCO3D LocalNO
10000,42,-0.6129621517152497,-34.721721375762115,True,left_minus_right,False,Differential LocalNO,0.6904761904761905,-13.001574557496808,-0.10137828571547894,shell_absolute_error,42,Index-space DISCO3D LocalNO
10000,42,-0.08359837733310725,-0.20251374969840572,True,left_minus_right,False,Differential LocalNO,0.8809523809523809,-0.13832298548939784,-0.07515998310804527,radial_absolute_error,42,Index-space DISCO3D LocalNO
10000,42,-0.004266518264863874,-0.009245275815002616,True,left_minus_right,False,Index-space DISCO3D LocalNO,0.7619047619047619,-0.006697597127924118,-0.004468382034559182,state_l2,42,Anisotropic spherical DISCO3D LocalNO
10000,42,-0.017353871976645403,-0.027054668285092797,True,left_minus_right,False,Index-space DISCO3D LocalNO,0.9523809523809523,-0.02210287740121644,-0.018967021424612818,residual_l2,42,Anisotropic spherical DISCO3D LocalNO
10000,42,0.010593722589927747,0.002793032254434345,True,left_minus_right,True,Index-space DISCO3D LocalNO,0.7857142857142857,0.006788155767520901,0.006319971978365702,residual_cosine,42,Anisotropic spherical DISCO3D LocalNO
10000,42,22.50847369420491,-26.960389880607806,False,left_minus_right,False,Index-space DISCO3D LocalNO,0.30952380952380953,-3.5035594282907363,0.06046457100108309,shell_absolute_error,42,Anisotropic spherical DISCO3D LocalNO
10000,42,0.12108663682709764,-0.0524454131759792,False,left_minus_right,False,Index-space DISCO3D LocalNO,0.21428571428571427,0.04260148847344935,0.03449171601947251,radial_absolute_error,42,Anisotropic spherical DISCO3D LocalNO
10000,42,-0.03694749060908747,-0.05273330167608605,True,left_minus_right,False,3D CNN/U-Net,0.9523809523809523,-0.044914341999175114,-0.04840517702632122,state_l2,42,FNO
10000,42,-0.14284348708447178,-0.18087905567661633,True,left_minus_right,False,3D CNN/U-Net,1.0,-0.16206736062460117,-0.16313460248547085,residual_l2,42,FNO
