bootstrap_samples,bootstrap_seed,ci95_high,ci95_low,ci_excludes_zero,delta_definition,higher_is_better,left_model,left_win_fraction,mean_paired_delta,median_paired_delta,metric,pair_count,right_model
10000,42,-0.01267677906493982,-0.0314270044305948,True,left_minus_right,False,FNO,0.7142857142857143,-0.02166890946162546,-0.016295297969755013,state_l2,42,Persistence
10000,42,0.03591602146506555,-0.01491738507897507,False,left_minus_right,False,FNO,0.42857142857142855,0.010552537122219149,0.010882210673194614,residual_l2,42,Persistence
10000,42,0.6949226459662716,0.6168949473450589,True,left_minus_right,True,FNO,1.0,0.6561840901130375,0.6444174636892412,residual_cosine,42,Persistence
10000,42,0.4485786751745037,0.0766609849470024,True,left_minus_right,False,FNO,0.19047619047619047,0.2318400444358017,0.033830934893038234,shell_absolute_error,42,Persistence
10000,42,0.14774678879527015,0.0813970552634715,True,left_minus_right,False,FNO,0.14285714285714285,0.114817868950055,0.12169260695457806,radial_absolute_error,42,Persistence
10000,42,-0.05667717900380873,-0.07664674577968232,True,left_minus_right,False,3D CNN/U-Net,1.0,-0.06658325146080057,-0.06383979201741688,state_l2,42,Persistence
10000,42,-0.1303420886377909,-0.17294978147897525,True,left_minus_right,False,3D CNN/U-Net,0.9761904761904762,-0.15151482350238205,-0.14176310263157943,residual_l2,42,Persistence
10000,42,0.7871979183847598,0.7435866340113028,True,left_minus_right,True,3D CNN/U-Net,1.0,0.7653346115809343,0.763303867446809,residual_cosine,42,Persistence
10000,42,1.4071326880105872,0.5614235846684903,True,left_minus_right,False,3D CNN/U-Net,0.047619047619047616,0.9492531470672174,0.35402021478419504,shell_absolute_error,42,Persistence
10000,42,0.08245683004186374,0.03073945111121091,True,left_minus_right,False,3D CNN/U-Net,0.21428571428571427,0.05562776300706132,0.034547271128253176,radial_absolute_error,42,Persistence
10000,42,-0.03584161215946395,-0.054746919049970526,True,left_minus_right,False,Differential LocalNO,1.0,-0.04504665405900586,-0.035689662594133184,state_l2,42,Persistence
10000,42,-0.09142641447652451,-0.13218194581717918,True,left_minus_right,False,Differential LocalNO,1.0,-0.11142052502824291,-0.11462259959377097,residual_l2,42,Persistence
10000,42,0.7652564465690763,0.7151922401782899,True,left_minus_right,True,Differential LocalNO,1.0,0.740030357729674,0.7526902381328164,residual_cosine,42,Persistence
10000,42,3.7594049248013905,1.3175994551742736,True,left_minus_right,False,Differential LocalNO,0.07142857142857142,2.4377999490756586,0.7865425120599199,shell_absolute_error,42,Persistence
10000,42,0.11047202398415935,0.04161774514628498,True,left_minus_right,False,Differential LocalNO,0.2619047619047619,0.07382162689020795,0.03470537327023803,radial_absolute_error,42,Persistence
10000,42,-0.038326819376601644,-0.05608803057766726,True,left_minus_right,False,Index-space DISCO3D LocalNO,1.0,-0.04690563529234866,-0.04018879070152864,state_l2,42,Persistence
10000,42,-0.08922730871223875,-0.13192102532792851,True,left_minus_right,False,Index-space DISCO3D LocalNO,0.9523809523809523,-0.11045435727070715,-0.12040225875983168,residual_l2,42,Persistence
10000,42,0.7777666017268955,0.7296858213870355,True,left_minus_right,True,Index-space DISCO3D LocalNO,1.0,0.7537841062220492,0.7618759366933563,residual_cosine,42,Persistence
10000,42,37.304538661683324,2.8641421731712895,True,left_minus_right,False,Index-space DISCO3D LocalNO,0.023809523809523808,15.439374506572465,0.9114316733719732,shell_absolute_error,42,Persistence
10000,42,0.2949776321360512,0.1388204574812108,True,left_minus_right,False,Index-space DISCO3D LocalNO,0.09523809523809523,0.21214461237960577,0.10274862656608377,radial_absolute_error,42,Persistence
10000,42,-0.030757137789635507,-0.050286866335460645,True,left_minus_right,False,Anisotropic spherical DISCO3D LocalNO,0.9047619047619048,-0.040208038164424545,-0.03647451485874721,state_l2,42,Persistence
10000,42,-0.06481188213963286,-0.1123255191080651,True,left_minus_right,False,Anisotropic spherical DISCO3D LocalNO,0.8333333333333334,-0.08835147986949073,-0.09151188436870211,residual_l2,42,Persistence
10000,42,0.771932941521778,0.7221038831861814,True,left_minus_right,True,Anisotropic spherical DISCO3D LocalNO,1.0,0.7469959504545283,0.7583727961144562,residual_cosine,42,Persistence
10000,42,36.88221007649954,5.273738329068209,True,left_minus_right,False,Anisotropic spherical DISCO3D LocalNO,0.09523809523809523,18.942933934863202,0.5457131160566738,shell_absolute_error,42,Persistence
10000,42,0.269671208627268,0.09145483693146643,True,left_minus_right,False,Anisotropic spherical DISCO3D LocalNO,0.14285714285714285,0.1695431239061564,0.07281930562730343,radial_absolute_error,42,Persistence
