channel,physical_l2,radial_skill,residual_cosine,residual_l2,shell_skill,state_l2,variant
Bcc1,0.6271743033104239,-43.04849137787342,0.6783863756991302,0.7375577711661483,-43.45410497769272,0.23847350201791295,stage_t_baseline
Bcc2,1.8752269359195584,-0.4130954789394684,0.6522948835684826,0.7961024433541122,-28.871422996963858,0.4468337654043549,stage_t_baseline
Bcc3,2.521775931056251,-0.0806609848789781,0.8013948279458492,0.6023149365198377,-1.014442233300695,0.18548319032353788,stage_t_baseline
rho,13.97939120824721,-17.40279288159977,0.23102959698092718,1.002795447278758,-919.1569886907832,0.15533676287465467,stage_t_baseline
press,2362.2280680027666,-194.41855729746771,0.22465538837331503,0.994374519965799,-224762.81666878168,0.1438619328671123,stage_t_baseline
vel1,0.07502681008911893,-0.505518423659016,0.08526251691552328,1.0465187898837194,-3.639534985538486,0.10070492491378895,stage_t_baseline
vel2,0.7758333592001933,-2.985985747596717,0.5229637152703541,0.9598155942847565,-1.8503336439284084,0.7222800425095661,stage_t_baseline
vel3,0.13645519779149196,-0.4867797844084871,0.34068573741514463,0.9953319489772864,-0.5335711757997375,0.14071643218652077,stage_t_baseline
Bcc1,0.6310227301558952,-37.888279208047216,0.6158604996631363,0.82055252006658,-43.99528929382849,0.26530807576256743,spectral_only
Bcc2,2.0171850295809985,-3.543330261759571,0.6428271654970836,0.8523246787980784,-68.53015221607814,0.4783899971344475,spectral_only
Bcc3,0.4163173496937022,-0.37892976104806164,0.7280533407474915,0.7242228271404036,-3.4386561699868685,0.22302478707366977,spectral_only
rho,4.7471016789255,-31.9384929240665,0.13319091183670614,1.048499607828546,-165.32871047656573,0.1624165083400141,spectral_only
press,3.630150601288887,-20.544384010879327,0.17820865689942816,0.9993968549786411,-310.3884036687027,0.14458854331122833,spectral_only
vel1,0.08592331332871092,-1.2855981334506432,0.028584376219699503,1.2071861494781957,-4.383709554890214,0.11616570257938502,spectral_only
vel2,0.9332639708974392,-5.614866872507443,0.27245653107458456,1.376780806146513,-5.512194633713302,1.0360545350154213,spectral_only
vel3,0.15410812007518845,-0.5570936544414289,0.16625900220727474,1.1240959519533698,-0.1425577009968898,0.15892062124671044,spectral_only
Bcc1,0.6305168160357659,-45.58354997785098,0.5974202585805585,0.8106303375917504,-42.800434736025636,0.26209995068174413,coordinate_fd
Bcc2,2101222.5149920625,-16.65073966850456,0.6253754674016891,0.7926810833340948,-31571.072307287002,0.4449134357232265,coordinate_fd
Bcc3,165.1681877719889,-1.5774385492864698,0.7343610706139095,0.6867501880540922,-107.60125164366585,0.21148506886185478,coordinate_fd
rho,7.243902365264882e+21,-607544901.5848455,0.0766537149257036,1.2831315660643134,-5.086715211408492e+18,0.1987618755300039,coordinate_fd
press,73190518529929.08,-21518205535545.793,0.08995590164068111,1.0493900973664099,-1.6350967845637655e+28,0.1518213558259198,coordinate_fd
vel1,0.10015069969158132,-2.105781027834171,0.021784314618877507,1.244511135749765,-12.139030336964165,0.1197574295715253,coordinate_fd
vel2,0.8532428159524541,-1.175239819960901,0.22811840952848714,1.161476259375955,-1.6995349075688102,0.874033644484853,coordinate_fd
vel3,0.16578395228702078,-1.2022156305835552,0.17131681022512432,1.2092618411363543,-0.7242428911578584,0.17096106676985637,coordinate_fd
Bcc1,0.6663627612090768,-45.797126972591606,0.0014916817087933364,323.59190738079224,-49.280585366947264,104.62650953012447,spherical_proxy_fd
Bcc2,2.204370723391977e+37,-1.2768892243872576e+37,0.003108851728471011,216.04392978956776,-1.1004283279138148e+76,121.26042814064466,spherical_proxy_fd
Bcc3,1.4828321530939505e+36,-5.869921867577946e+35,-0.0018676135065569478,248.38184224070355,-2.59665483226108e+73,76.4893139829114,spherical_proxy_fd
rho,7.980102798337999e+22,-1.3819006190625144e+23,0.00015738256858692179,745.2238190782954,-3.78252601498541e+46,115.43795645766703,spherical_proxy_fd
press,694484024380808.0,-2382212111381923.0,-0.0012832497050213807,788.2135654704988,-6.7200662942555e+30,114.0354317971424,spherical_proxy_fd
vel1,0.20673975922221252,-2.1546446648737367,-0.0002884283905518791,878.5061079137392,-19.06748328366926,84.53731887480689,spherical_proxy_fd
vel2,1.4759180625487316,-8.956521774190225,0.0010335011293520543,1551.6945270652266,-13.984336585474399,1167.6805389550093,spherical_proxy_fd
vel3,134.03155124149754,-55.089429767491055,0.021027380651096193,977.6533703854011,-81751.62110903607,138.21709813042816,spherical_proxy_fd
