G1_state_within_5pct,G2_residual_l2_below_1,G3_cosine_above_0_7,G4_shell_positive,G5_radial_positive,G6_first_10x_after_1,G6_strong_after_3,G7_physical_tail_improved,variant
False,False,False,False,False,False,False,False,coordinate_fd
False,False,False,False,False,False,False,False,spherical_proxy_fd
