channel,fidelity_error_64,fidelity_error_96,fidelity_error_gain,fidelity_cosine_64,fidelity_cosine_96,z64_residual_l2,z64_residual_cosine,z64_shell_skill,z64_radial_skill,z96_model_status,z96_residual_l2,z96_residual_cosine,z96_shell_skill,z96_radial_skill,residual_gain,shell_skill_change,radial_skill_change
Bcc1,0.29998233627878496,0.3034254961739926,-0.011477875457332929,0.953645779490561,0.9537191114123755,0.7375577711661483,0.6783863756991302,-43.45410497769272,-43.04849137787342,not_available_gpu_gate_fail,,,,,,,
Bcc2,0.5370014306325629,0.40047706491368595,0.25423464060059864,0.8444205854525992,0.9181021722396807,0.7961024433541122,0.6522948835684826,-28.871422996963858,-0.4130954789394684,not_available_gpu_gate_fail,,,,,,,
Bcc3,0.43515638837859677,0.3736565221719632,0.1413281933784393,0.8970949347536743,0.9283048308348865,0.6023149365198377,0.8013948279458492,-1.014442233300695,-0.0806609848789781,not_available_gpu_gate_fail,,,,,,,
rho,0.538794636075677,0.41313589457357586,0.2332219608148653,0.8503743087939213,0.9171158785625125,1.002795447278758,0.23102959698092718,-919.1569886907832,-17.40279288159977,not_available_gpu_gate_fail,,,,,,,
press,0.5453217129571674,0.44908413181556683,0.17647854258310006,0.8417741428922629,0.9008841715761366,0.994374519965799,0.22465538837331503,-224762.81666878168,-194.41855729746771,not_available_gpu_gate_fail,,,,,,,
vel1,0.4677121969698138,0.37475432101075157,0.1987501642277286,0.8889060648785321,0.9283590096914508,1.0465187898837194,0.08526251691552328,-3.639534985538486,-0.505518423659016,not_available_gpu_gate_fail,,,,,,,
vel2,0.3316775754234771,0.32253112764891056,0.027576322465842268,0.9428462759378702,0.9477459496875354,0.9598155942847565,0.5229637152703541,-1.8503336439284084,-2.985985747596717,not_available_gpu_gate_fail,,,,,,,
vel3,0.5943937487299193,0.4784779383190457,0.19501519095474784,0.81259827807715,0.8820223297264946,0.9953319489772864,0.34068573741514463,-0.5335711757997375,-0.4867797844084871,not_available_gpu_gate_fail,,,,,,,
