region,sampling_error_64,sampling_error_96,sampling_gain,model_residual_error_64,model_residual_error_96,model_gain,status
inner,0.44360202273396504,0.3323640787800465,0.2507606779345767,,,,model_regional_attribution_not_available_gpu_gate_fail
middle,0.3644246358208748,0.2663181744892211,0.2692091908404234,,,,model_regional_attribution_not_available_gpu_gate_fail
outer,0.42273226636403505,0.3839287481225897,0.09179218462597737,,,,model_regional_attribution_not_available_gpu_gate_fail
