candidate_metric_status,channel,dynamic_span_floor_corrected_ratio,dynamic_span_floor_corrected_ratio_undefined,floor_corrected_std_ratio,ground_truth_available,legacy_raw_reference_detector_flag,legacy_raw_reference_std_ratio,model,radial_floor_corrected_ratio,shell_floor_corrected_std_ratio,shell_floor_corrected_std_ratio_median,step,target_oracle_available
proposal_not_validated_physical_stability_metric,Bcc1,0.3376944249037556,False,0.2918742525063723,False,False,0.29187423553505776,fno_plain,387.3463569472217,"[0.2687072649318356,0.18129547952114766,0.14446705280493147,0.6499742380838217,1.481317629827785,1.3511606017898954,3.510028092050415,3.8469028627777977]",1.0005674199368586,25,False
proposal_not_validated_physical_stability_metric,Bcc1,0.29704110556253516,False,0.2930814252919356,False,False,0.29308142141068216,fno_plain,363.90613212634275,"[0.27762959585744423,0.23062423999965198,0.09974578578999077,0.39084786972808294,1.393695363857198,1.2748264883705795,5.524629578348911,2.717113300897851]",0.8328371790493312,50,False
proposal_not_validated_physical_stability_metric,Bcc1,0.2721247161840861,False,0.2808954920278569,False,False,0.2808954692662039,fno_plain,370.22737348188633,"[0.25359748863793946,0.29220660919874547,0.09628418040642675,0.2869946207221764,0.7231505546041243,2.375845887194791,1.4150039337061229,7.360561785974483]",0.5076785819014349,75,False
proposal_not_validated_physical_stability_metric,Bcc1,0.43521066826576976,False,0.38801456300215986,False,False,0.38801454352245823,fno_plain,676.1205603666442,"[0.2998228361314569,0.5734350499815414,0.10815440916976121,0.35756201268397036,1.0401352937269646,1.146101816640721,1.0081632625364265,2.307795426991557]",0.790799156258984,100,False
proposal_not_validated_physical_stability_metric,Bcc2,0.6421029640731354,False,0.547777006905788,False,False,0.390677209816018,fno_plain,0.12311609411189534,"[0.3834407453986204,0.9941718747308051,0.9202046018819751,0.6279165255830086,1.3687251972158256,1.3161001017512586,6.578810273668765,5.851619020412854]",1.155135988241032,25,False
proposal_not_validated_physical_stability_metric,Bcc2,0.6416443275747599,False,0.352341635297136,False,False,0.2512917636752919,fno_plain,0.04325303501009812,"[0.06714676982302788,0.8314290349611793,0.4405993975742461,0.6305339125288211,1.8968274099337492,2.001877173020156,2.10620490802702,9.34684911837085]",1.3641282224474642,50,False
proposal_not_validated_physical_stability_metric,Bcc2,0.6423444310638656,False,0.5071245283825093,False,False,0.3616836555857801,fno_plain,0.14274323492077542,"[0.37186986034535235,1.0625524488439781,0.10569068757774557,1.6572123977238562,3.9737140728213682,1.401383697871444,1.802514169964491,10.07592612785131]",1.52929804779765,75,False
proposal_not_validated_physical_stability_metric,Bcc2,0.6029424017297973,False,0.3245026958339172,False,False,0.23143688392601403,fno_plain,0.03330192660139636,"[0.12292662080509083,0.7486336286727635,0.2647071363545249,4.304952576558744,3.820010272419136,2.6897994834646926,3.3074700547074243,29.642635387257858]",2.9986347690860584,100,False
proposal_not_validated_physical_stability_metric,Bcc3,1.0,False,0.8195591839960094,False,True,0.010318717853451174,fno_plain,148.7674957850402,"[0.6766864777208074,0.6868830756391617,0.816036954431041,1.1424795321677381,0.8639811705983562,0.5297093480940328,2.9485184649599208,7.021476078504307]",0.8400090625146985,25,False
proposal_not_validated_physical_stability_metric,Bcc3,1.0,False,0.8130946559513994,False,True,0.010237325820969409,fno_plain,296.869352058043,"[0.46938416878580025,0.6657252113838399,0.8024891380999857,1.1215910158830718,1.2333610898909595,1.0175018989499156,1.9879833879799633,3.4027810027490184]",1.0695464574164937,50,False
proposal_not_validated_physical_stability_metric,Bcc3,1.0,False,0.8197733734839792,False,True,0.01032141457009245,fno_plain,266.4825813416567,"[0.44033693731535223,0.6650679280801916,0.7222504824162428,1.107567683545979,1.346330987916878,1.9843693442921373,0.444831680755557,2.6543920005855557]",0.9149090829811108,75,False
proposal_not_validated_physical_stability_metric,Bcc3,1.0,False,0.8077435314330356,False,True,0.010169951688070025,fno_plain,241.74681488236098,"[0.36671692973357517,0.5407219368495634,0.8163066731737878,1.0154516027058489,1.5647911644218062,1.9288490226822774,0.7927049328730389,3.2680302794902465]",0.9158791379398183,100,False
proposal_not_validated_physical_stability_metric,rho,0.13034576251007715,False,0.08934127304972457,False,False,0.08934127179783911,fno_plain,0.023919158106814303,"[0.46533911895243496,0.6626656380538096,0.001994109049531845,0.014120456878816594,0.009641362623805518,0.08967811905394929,0.1485224773003249,0.33490914578548986]",0.11910029817713709,25,False
proposal_not_validated_physical_stability_metric,rho,0.09423369315422116,False,0.07142698219017507,False,False,0.07142698296921256,fno_plain,0.014562695365729723,"[1.9433374091604267,1.077257032449649,0.002656647779677168,0.007515788506731036,0.006823593420863698,0.03464560200084956,0.040061844308346015,0.28422951975676736]",0.037353723154597784,50,False
proposal_not_validated_physical_stability_metric,rho,0.26155421842213317,False,0.213001198029863,False,False,0.21300120003993342,fno_plain,0.08601457638848621,"[9.70977645163481,0.62425248997132,0.0010371049307419723,0.004729640434007611,0.0116855962145424,0.08041806023357824,0.1307465240268762,0.8631746387088014]",0.10558229213022721,75,False
proposal_not_validated_physical_stability_metric,rho,0.09389417985863088,False,0.0843048168158278,False,False,0.0843048172740553,fno_plain,0.01102531106550874,"[1.2640394879327554,0.48879755990046114,0.0010632638280919451,0.006031406365718843,0.01036196449470276,0.018442346583288027,0.08741607846071996,0.36224542515154345]",0.05292921252200399,100,False
proposal_not_validated_physical_stability_metric,press,0.10321027108564024,False,0.10760762836437145,False,False,0.10760762521102983,fno_plain,0.02475406099706681,"[0.04536502788827729,1.1789052954937762,0.08905776279589805,0.25684944102814294,0.1295861524438889,0.20513233561175717,0.18327778839341588,0.23012552473328207]",0.19420506200258653,25,False
proposal_not_validated_physical_stability_metric,press,0.1278638275081306,False,0.11399269094503674,False,False,0.11399269184289575,fno_plain,0.04185793961539417,"[0.026453534476373722,0.9415634209981627,0.1094840623303582,0.14052540993114945,0.14616696528972797,0.22666495369622086,0.06346655073794111,0.1425650498242242]",0.1415452298776868,50,False
proposal_not_validated_physical_stability_metric,press,0.13150343614707602,False,0.1576776750128822,False,False,0.15767767078679074,fno_plain,0.0384417533552994,"[0.02533062895424685,2.600928594511302,0.1107335838963631,0.26085613565455734,0.2777265938584908,0.26403939946250904,0.0938981340864612,0.6170737371440784]",0.26244776755853316,75,False
proposal_not_validated_physical_stability_metric,press,0.09298546929122761,False,0.09004211243717522,False,False,0.09004211328764263,fno_plain,0.01700947098098729,"[0.015658049570378363,0.7098212946082076,0.08621997234828443,0.2592858539845199,0.5538528346543298,0.20331040862251348,0.10814801776622536,0.18727882118901443]",0.19529461490576394,100,False
proposal_not_validated_physical_stability_metric,vel1,0.6086413299388899,False,0.645386712096867,False,False,0.6453867009099786,fno_plain,0.6592455552598658,"[0.4895702261088675,0.5333296929627706,0.5537558426939133,0.3754637961064383,0.4247936733067084,0.4930325308871918,0.6652477372747695,0.4896042422225293]",0.49131838655486054,25,False
proposal_not_validated_physical_stability_metric,vel1,0.6601461869680714,False,0.6420470735952691,False,False,0.6420470632090984,fno_plain,0.5611727850938067,"[0.6826991600772825,0.7929285147025305,0.7041081870484559,0.36442729702471244,0.392465973021178,0.5111402950930953,0.44455429852104855,0.5063658433603385]",0.5087530692267169,50,False
proposal_not_validated_physical_stability_metric,vel1,0.7170510574442187,False,0.6679450651589143,False,False,0.6679450925415596,fno_plain,0.5281560072996051,"[0.753507304790346,0.6769138427009255,0.7016623918334847,0.35008572701939394,0.571443108055182,0.6598330483518969,0.43548321949826124,0.490202171998427]",0.6156380782035394,75,False
proposal_not_validated_physical_stability_metric,vel1,0.5643802542130114,False,0.6159189254830796,False,False,0.6159189663886494,fno_plain,0.457541950554028,"[0.6632856756957592,0.9255894727142556,0.7893911778764653,0.4454177397319291,0.2772613308008061,0.46517569769075146,0.5567431720681989,0.4875868890118283]",0.5221650305400136,100,False
proposal_not_validated_physical_stability_metric,vel2,0.9789157947502326,False,0.7653824536877482,False,False,0.3474371519346694,fno_plain,248.73128436290764,"[0.7819708125128395,0.5201001602536046,2.111281958392965,1.8875691068934508,2.7014546953521337,3.265311807769276,7.099302342421534,6.859028698642647]",2.406368326872549,25,False
proposal_not_validated_physical_stability_metric,vel2,1.0,False,0.8823478578153328,False,False,0.40053233000949945,fno_plain,381.14490897874657,"[0.5260167199643286,0.8008622098465851,3.7595158244992426,3.4915470318673587,4.3344763223214775,6.615483629605169,5.870274139385281,5.072773486787783]",4.0469960734103605,50,False
proposal_not_validated_physical_stability_metric,vel2,1.0,False,1.0079053408660337,False,False,0.4575277953365678,fno_plain,502.03728500201606,"[0.5197250098714955,1.166327209382529,3.3169423264991504,3.25393084513825,4.6274999029499515,6.725665112953047,2.581939509819354,7.638662131902828]",3.2854365858187,75,False
proposal_not_validated_physical_stability_metric,vel2,1.0,False,1.0039684613364037,False,False,0.4557407031796505,fno_plain,619.2531421556092,"[0.49243075766162286,0.8312319913314783,3.883684098450759,5.301734980348531,9.365838003300512,10.56321007696033,10.351689729777144,9.425325513638422]",7.3337864918245215,100,False
proposal_not_validated_physical_stability_metric,vel3,0.9111324464674915,False,0.598220079927615,False,False,0.0951352644058518,fno_plain,0.27648467771007074,"[2.962330182941959,0.5752312298712707,0.5448225758570826,0.5162337448918155,0.3760971637300095,0.5326836356329474,1.3738329292617069,0.32897213446778323]",0.538753105745015,25,False
proposal_not_validated_physical_stability_metric,vel3,0.9112707441360468,False,0.6219650163588325,False,False,0.0989114331536661,fno_plain,0.3390791607051768,"[2.856435883261209,0.5479680275946225,0.6673827989742448,0.6413121855724859,0.4764982501463967,0.3706860998886104,0.49194697421280986,0.1912145411880287]",0.5199575009037162,50,False
proposal_not_validated_physical_stability_metric,vel3,0.9048524205730837,False,0.6506442989062832,False,False,0.10347231768117132,fno_plain,0.34104746946080905,"[2.991250309239814,0.5841929652844682,0.5268684103156943,0.8199721728879976,0.6722801149842209,0.6603235036309922,0.10709472168985246,0.3967507359957194]",0.6222582344577302,75,False
proposal_not_validated_physical_stability_metric,vel3,0.9062023782619221,False,0.6486766279668613,False,False,0.10315940036482273,fno_plain,0.2913637564586596,"[2.9165678067138057,0.4888194865827438,0.620519737161875,0.8870279912115766,0.9175677492521555,0.7154737733354094,0.1773088533155154,0.7461667546104632]",0.7308202639729363,100,False
proposal_not_validated_physical_stability_metric,Bcc1,0.38195497076928736,False,0.30406984147089977,False,False,0.3040698344406507,fno_full,284.5551548791287,"[0.15225095625199525,0.07695624384203284,0.30117981163027313,0.7015241321252904,3.3255157281715944,1.745712748417143,7.607157717354112,12.778291025185121]",1.2236184402712167,25,False
proposal_not_validated_physical_stability_metric,Bcc1,0.3057647967973577,False,0.3105523477125742,False,False,0.3105523271061692,fno_full,186.17091084767006,"[0.13293067144300086,0.07087055710349732,0.39097866692822514,0.9033437796704024,2.7907073515485656,2.1722473705329075,8.413696644434324,15.168361758522348]",1.537795575101655,50,False
proposal_not_validated_physical_stability_metric,Bcc1,0.39568904555540635,False,0.38609604177301043,False,False,0.38609601529250354,fno_full,246.66379333907986,"[0.13111675182720023,0.12974064523097287,0.6768179672607405,0.7121756593634162,2.4356269307372047,3.2620350981594486,16.79233902830748,8.921481995596563]",1.5739012950503104,75,False
proposal_not_validated_physical_stability_metric,Bcc1,0.46996505385461584,False,0.44787683594729183,False,False,0.44787681655051964,fno_full,399.6628031050752,"[0.1598529594755018,0.13988524229074376,0.8059167920448072,0.49329851918512324,2.5079873472291907,3.1025827527566214,22.154806863809846,6.043672139180595]",1.6569520696369988,100,False
proposal_not_validated_physical_stability_metric,Bcc2,0.09729972720716148,False,0.08030789468955087,False,False,0.05727597740756519,fno_full,0.0011383975523325798,"[0.02288735885633238,0.10012424693581953,0.0967607606561389,0.508445229355156,6.060513277443289,25.435068415740844,75.91970366095337,71.44302397876223]",3.2844792533992226,25,False
proposal_not_validated_physical_stability_metric,Bcc2,0.08915339505220726,False,0.07703038514894411,False,False,0.05493844469756408,fno_full,0.0007661967967275543,"[0.06471225329738178,0.048219011953710575,0.08703436977215132,1.1480352877669282,9.687066940255683,11.651216227511393,43.80718006513658,90.9491906232405]",5.417551114011306,50,False
proposal_not_validated_physical_stability_metric,Bcc2,0.21201492562013824,False,0.2331316738790113,False,False,0.1662706416301027,fno_full,0.005534280714567685,"[0.08692501364112945,0.37784862286518367,0.5554898098440626,1.54052657799704,10.93968770711953,23.763765120762738,95.55694477355446,102.81136192018386]",6.240107142558285,75,False
proposal_not_validated_physical_stability_metric,Bcc2,0.2615979142202973,False,0.2633165565929023,False,False,0.1877986437108038,fno_full,0.007958457229376754,"[0.10043318835496878,0.3255348348001783,0.6469920389473395,1.2665213396437438,10.825703276974926,36.97734379513853,182.3201044029078,83.3359163328716]",6.046112308309334,100,False
proposal_not_validated_physical_stability_metric,Bcc3,1.0,False,0.8995457648723614,False,True,0.01132579395359481,fno_full,170.749163777972,"[0.6015405949645586,0.5957343626832143,0.6595165223022035,0.8827987418772099,1.5081606908187406,2.3378070269085445,10.256836482146145,39.43434239367373]",1.1954797163479753,25,False
proposal_not_validated_physical_stability_metric,Bcc3,1.0,False,0.990481001545077,False,True,0.012470720435553305,fno_full,170.99558031475797,"[0.6768708674011109,0.5781666518733305,0.7332306607003362,0.9545799347873929,1.6082008892093402,2.982453380275286,11.078012744285946,45.321729200644825]",1.2813904119983666,50,False
