channel,dynamic_span_ratio,global_std_ratio,global_variance_ratio,high_k_ratio,model,radial_profile_variance_ratio,reference_domain,severe_categories,shell_radial_variance_ratio,shell_std_ratio,step,total_variation_ratio
Bcc1,0.7627450051173256,0.7524225511201205,0.5661396954341104,0.5994816286007972,persistence,0.5341887597548678,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.5341887597548678,"[0.7599366983111767,0.6856903704109171,0.8249889556570981,0.9601382474195245,0.9691253578783536,0.9881529096841581,0.9984867949338598,1.0002985389255763]",1,0.7819411095914557
Bcc1,0.1822903988306776,0.21319734448593308,0.045453107695853624,0.04002368653751392,persistence,0.03329280176883697,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.03329280176883697,"[0.1831200015978651,0.30554937914335395,0.6822353603585515,0.8796101219096678,0.9093484345108376,0.9637836295384562,0.9947607250107076,1.000811537312408]",3,0.24219215370939595
Bcc1,0.14107126641076045,0.16933844557206112,0.028675509148761907,0.022509221934179147,persistence,0.01855309252171923,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.01855309252171923,"[0.14522913178449368,0.24456702250661536,0.5643727217435464,0.7716383937052312,0.8456779748545205,0.9365878616014314,0.9897447272287551,1.0011161001239877]",5,0.1920179307494863
Bcc1,0.10931977503422849,0.1303337038082405,0.016986874348374162,0.012770219509376915,persistence,0.011842424622584096,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.011842424622584096,"[0.11139736329362594,0.19413087631578949,0.44637988420088465,0.5355415738830089,0.45978351466290557,0.6596291599901944,0.9538806813037083,0.999802580408391]",10,0.1443797306111729
Bcc1,0.090102037061145,0.10737762452884411,0.011529954249457427,0.008694911074472142,persistence,0.008423594869699912,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.008423594869699912,"[0.09154476743646921,0.1625396304867614,0.3923819443308396,0.5340743062174954,0.4552955844633504,0.25457097384582067,0.4271777747774066,0.9114140274973052]",19,0.12004359818013914
Bcc2,1.1535544559490967,0.9616265236794473,0.924725571043819,0.7867445112917192,persistence,0.8357423950894557,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.8357423950894557,"[1.0505288502810126,1.011942142115404,1.3743598608652432,1.0771985185246529,1.0035729311770134,1.0057818397283758,1.0042403947301861,0.9982889399832439]",1,1.03942834036952
Bcc2,0.8877169964552017,1.2377736528671928,1.5320836157321938,0.8685431265238139,persistence,4.159082443128257,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",1.0245707164637434,"[0.7968228620083428,1.4218296012618838,3.13907433650803,1.423241512729882,0.969311240135151,1.0120142121686255,1.0124073623281309,0.9946069251673152]",3,1.1257156871975875
Bcc2,0.8877169964552017,1.203412151162969,1.4482008055666844,0.7791315810790154,persistence,6.973711690547228,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",1.0249067573715918,"[0.7587676689795748,1.357958399849624,5.24865403987095,1.5782405542415578,0.9840561558932495,1.004592516703509,1.0201016567609789,0.9902974458813575]",5,1.1834547796297885
Bcc2,0.8877169964552017,1.1824579858256195,1.398206888242781,0.845376975835468,persistence,3.036512452086794,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.9003008400270813,"[0.8401908883834585,1.1958612062050737,4.696115840481231,0.9187770320378774,0.4819021361028312,0.6858816390514744,1.0015265365309656,0.9779828451735908]",10,1.0880991455576154
Bcc2,0.8877169964552017,1.1579307077418257,1.3408035239314855,0.7998862320155162,persistence,3.0218365020336635,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.748849598947926,"[0.8609990366614407,0.9425126780448018,5.2036170351017565,1.3868101294444977,0.5010146545374321,0.3834332911821364,0.7705151700870908,0.869701015731224]",19,1.147511234462759
Bcc3,1.0,0.98439602203075,0.9690355281899649,0.972475051370065,persistence,1.222654210060287,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.8948524138567391,"[1.0012583100546886,0.9952112432226189,0.9931519987686931,0.943397668136973,0.9447272101209587,0.9456171907994587,0.9463154633514231,0.9341009146429039]",1,0.9754300453420958
Bcc3,1.0,0.9270561646322687,0.8594331323826919,1.5443567857840441,persistence,7.19596304778047,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.71078337593278,"[0.9979545415143032,0.9866599834759743,0.9160214306875093,0.8079775564964666,0.8264636375865468,0.8454773194491565,0.8406752370342718,0.811385092881024]",3,2.1832970295306913
Bcc3,1.0,0.8890973860952917,0.7904941619614799,1.474695408151891,persistence,6.725433709407032,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":false}",0.553076388851815,"[0.9979545415143032,0.9866599834759743,0.9124266137012664,0.7268968172751751,0.6849495884174878,0.7477016257178472,0.7396587433421702,0.6969030865882354]",5,2.4494356871706713
Bcc3,1.0,0.8395275113116358,0.7048064422491088,1.3469143662701122,persistence,8.325396843438591,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":true}",0.3960800708402672,"[0.9979545415143032,0.9866599834759743,0.910761533620946,0.7191088201975049,0.5244450842506649,0.42312591110769693,0.4626419721130914,0.4531505283244236]",10,2.563089681904387
Bcc3,1.0,0.8149399814182428,0.6641271733139658,1.2381292437030367,persistence,7.536520326839592,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":true}",0.39246692164240793,"[0.9979545415143032,0.9866599834759743,0.910761533620946,0.7174999296553118,0.5197381015756287,0.3267351473967031,0.16645700860729043,0.13671015077452497]",19,2.4816323323222735
rho,0.6033891988808892,0.6683670998579435,0.4467145801725182,0.7304606809391883,persistence,0.45527825091099755,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":true,""high_k_energy"":false,""shell_radial_variance"":true}",0.45527825091099755,"[0.7768264125232471,0.029103010891847338,0.6255388458038251,0.9121566137545705,0.9761649109179881,0.9811839113306271,1.0049876257378758,0.9985448204058492]",1,0.7553237392208839
