channel,domain,dynamic_span_q99_q01,element_count,evaluation_bounds_clamp_occupancy,exact_zero_occupancy,finite_count,gradient_energy,high_k_energy,inverse_clamp_occupancy,low_k_energy,maximum,mean,mid_k_energy,minimum,near_zero_occupancy,parseval_relative_error,q001,q01,q50,q99,q999,radial_profile_variance,rms,role,saturation_occupancy_abs_ge_0.90_gamma,shell_variance,sign_balance,snapshot,stage,std,total_variation,variance
Bcc1,physical,1.3487606072425842,262144,,0.0,262144,0.0017462130455131411,647.420462299784,,12012.744235031783,1.14725661277771,-0.0011060017606281721,947.9968095952261,-1.1472660303115845,0.0,2.6733800927038653e-16,-1.046252727508545,-0.6757556265592575,-4.180986070423387e-05,0.6730049806833267,1.0463085174560547,1.5274604768387784e-06,0.2278425766413107,control_input,,"[0.271806193660691,0.08544672754671875,0.04741220652678048,0.009089025100471704,0.0012488570620827692,0.00019830605423570727,5.668355013637748e-05,1.837829438587554e-05]",-0.00244140625,91,T0_raw_physical,0.22783989222841777,0.0069310179272725194,0.051911016490657026
Bcc1,nonlinear_representation,5.65909498103483,262144,,0.0,262144,0.1606452982487138,16850.961770441507,,811484.1308007821,3.0600389551869345,-0.008920635250524795,29907.459656470302,-3.0600425170790913,0.0,2.7128769489408767e-16,-3.0200515001293353,-2.8304318751899866,-0.017787667232512377,2.8286631058448437,3.0200746355391144,7.301977997358358e-05,1.8094239677199142,control_input,,"[7.026347171308882,5.751405927896053,5.262980880531758,3.6353511394034665,2.284980933024714,1.2826242415393787,0.6121405539438551,0.3353083728839137]",-0.00244140625,91,T1_forward_nonlinear,1.8094019777887953,0.051225510212007934,3.273935517226004
Bcc1,robust_z,3.5491890963353727,262144,,0.0,262144,0.06318766838139918,6628.099271288933,,319186.3734126954,1.9191508413461826,-0.005594714608899877,11763.697185692461,-1.9191530752420347,0.0,0.0,-1.894072089362649,-1.775149203717271,-0.011155811097436387,1.7740398926181018,1.8940865990933398,2.872134878862213e-05,1.1348082755990558,control_input,,"[2.763719198963874,2.2622382009342066,2.070122774846588,1.4299164977173997,0.8987665311576696,0.5045030020539851,0.24077725739302802,0.13188904065211207]",-0.00244140625,91,T2_robust_normalized_unclipped,1.1347944842730544,0.03212687239001402,1.2877585215365475
Bcc1,canonical_normalized,3.4491952382273796,262144,,0.0,262144,0.0616032481899738,6353.272684755778,0.0,307651.71916432807,1.8562736797505686,-0.005475846557700375,11309.605950496209,-1.8562756998281034,0.0,1.7892729470851479e-16,-1.8335661170436786,-1.7251064502995574,-0.011155798157905863,1.7240887879278222,1.8335792717312458,2.8045418820737738e-05,1.1140047987282091,control_input,0.0,"[2.625804582604433,2.1673511410672583,1.9911474154417266,1.3904159504834648,0.8832457525460544,0.4994454917836686,0.23906144338934882,0.13121121384337137]",-0.00244140625,91,T3_forward_softclip_canonical_normalized,1.1139913404932529,0.031523682807373166,1.2409767066939545
Bcc1,canonical_normalized,3.4491952382273796,262144,,0.0,262144,0.0616032481899738,6353.272684755778,0.0,307651.71916432807,1.8562736797505686,-0.005475846557700375,11309.605950496209,-1.8562756998281034,0.0,1.7892729470851479e-16,-1.8335661170436786,-1.7251064502995574,-0.011155798157905863,1.7240887879278222,1.8335792717312458,2.8045418820737738e-05,1.1140047987282091,control_input,0.0,"[2.625804582604433,2.1673511410672583,1.9911474154417266,1.3904159504834648,0.8832457525460544,0.4994454917836686,0.23906144338934882,0.13121121384337137]",-0.00244140625,91,T4_decode_input_no_forward_hard_clamp,1.1139913404932529,0.031523682807373166,1.2409767066939545
Bcc1,robust_z,3.5491890963353727,262144,,0.0,262144,0.06318766838139918,6628.099271288933,0.0,319186.3734126954,1.9191508413461826,-0.005594714608899886,11763.697185692461,-1.919153075242035,0.0,0.0,-1.8940720893626488,-1.7751492037172707,-0.011155811097436387,1.7740398926181018,1.89408659909334,2.8721348788622155e-05,1.1348082755990558,control_input,,"[2.763719198963874,2.2622382009342066,2.0701227748465874,1.4299164977173993,0.8987665311576696,0.5045030020539852,0.24077725739302802,0.1318890406521121]",-0.00244140625,91,T5_inverse_input_clamp_then_inverse_softclip,1.1347944842730544,0.03212687239001402,1.2877585215365475
Bcc1,nonlinear_representation,5.65909498103483,262144,,0.0,262144,0.16064529824871382,16850.961770441507,0.0,811484.1308007821,3.0600389551869345,-0.008920635250524793,29907.459656470302,-3.0600425170790913,0.0,2.7128769489408767e-16,-3.020051500129335,-2.8304318751899866,-0.017787667232512377,2.8286631058448437,3.020074635539115,7.301977997358358e-05,1.8094239677199142,control_input,,"[7.026347171308882,5.751405927896053,5.262980880531758,3.6353511394034657,2.284980933024714,1.2826242415393787,0.6121405539438551,0.3353083728839138]",-0.00244140625,91,T6_inverse_robust_normalization,1.8094019777887953,0.051225510212007934,3.273935517226004
Bcc1,physical,1.3487608885765074,262144,,0.0,262144,0.0017462129329681932,647.4204379494049,0.0,12012.744110863041,1.1472556591033936,-0.0011060015206718898,947.9967571877269,-1.1472663879394531,0.0,2.67338013217674e-16,-1.046252727508545,-0.6757556694746018,-4.1809858885244466e-05,0.6730052191019058,1.046307921409607,1.5274596405402454e-06,0.22784257495811994,control_input,,"[0.27180618858697303,0.0854467269254583,0.04741220613813735,0.009089025060641617,0.0012488570588538046,0.00019830605334129547,5.668355258822051e-05,1.837829383835528e-05]",-0.00244140625,91,T7_inverse_nonlinear_canonical_oracle,0.227839890546372,0.006931017809806672,0.051911015724182774
Bcc1,physical,1.3487608885765074,262144,0.0,0.0,262144,0.0017462129329681932,647.4204379494049,,12012.744110863041,1.1472556591033936,-0.0011060015206718898,947.9967571877269,-1.1472663879394531,0.0,2.67338013217674e-16,-1.046252727508545,-0.6757556694746018,-4.1809858885244466e-05,0.6730052191019058,1.046307921409607,1.5274596405402454e-06,0.22784257495811994,control_input,,"[0.27180618858697303,0.0854467269254583,0.04741220613813735,0.009089025060641617,0.0012488570588538046,0.00019830605334129547,5.668355258822051e-05,1.837829383835528e-05]",-0.00244140625,91,T8_evaluation_bounds_clamp_then_decode,0.227839890546372,0.006931017809806672,0.051911015724182774
Bcc2,physical,0.19108648881316187,262144,,0.0,262144,6.470665149323821e-05,4.899805223778936,,364.13086060568804,0.10061140358448029,-0.01738632756573036,7.498648301928499,-0.17282423377037048,0.005039215087890625,4.529003458225167e-16,-0.16768358139693737,-0.14792219653725625,-0.00033834020723588765,0.04316429227590562,0.09875491261482239,0.0007951699127370639,0.041696879155010705,control_input,,"[0.0035968479086028837,0.002258072401275955,0.0006827203493186319,3.350270239277549e-06,9.612155471444666e-08,1.1594943172008715e-08,1.8383853034984033e-09,1.655926618182251e-10]",-0.6792449951171875,91,T0_raw_physical,0.03789914702265331,0.001547670759063653,0.001436345345044691
