channel,fidelity_error_64,fidelity_error_96,fidelity_error_gain,z64_residual_l2,z96_residual_l2,z64_residual_cosine,z96_residual_cosine,z64_shell_skill,z96_shell_skill,z64_radial_skill,z96_radial_skill,residual_gain,shell_skill_change,radial_skill_change,fidelity_vs_residual_gain_spearman,fidelity_vs_shell_skill_change_spearman,fidelity_vs_radial_skill_change_spearman,association_semantics
Bcc1,0.29998233627878496,0.3034254961739926,-0.011477875457332929,0.7375577711661483,0.8469043094099687,0.6783863756991302,0.6545898654230917,-43.45410497769272,-40.16843415102016,-43.04849137787342,-25.7382651968331,-0.14825487916822203,3.2856708266725647,17.310226181040317,0.07142857142857144,-0.38095238095238104,-0.5476190476190477,rank association only; not causal evidence
Bcc2,0.5370014306325629,0.40047706491368595,0.25423464060059864,0.7961024433541122,0.8189596374300316,0.6522948835684826,0.6431617746536278,-28.871422996963858,-497.91294649525236,-0.4130954789394684,-2.8615272676295707,-0.02871137284746709,-469.0415234982885,-2.4484317886901024,0.07142857142857144,-0.38095238095238104,-0.5476190476190477,rank association only; not causal evidence
Bcc3,0.43515638837859677,0.3736565221719632,0.1413281933784393,0.6023149365198377,0.7065151289108083,0.8013948279458492,0.7742413153160753,-1.014442233300695,-642.10757022178,-0.0806609848789781,-5.0505784803006275,-0.17299951582312892,-641.0931279884793,-4.969917495421649,0.07142857142857144,-0.38095238095238104,-0.5476190476190477,rank association only; not causal evidence
rho,0.538794636075677,0.41313589457357586,0.2332219608148653,1.002795447278758,1.3589642957730057,0.23102959698092718,0.08506543052806105,-919.1569886907832,-1.5089590130149662e+45,-17.40279288159977,-9.04140781482217e+21,-0.3551759727876384,-1.5089590130149662e+45,-9.04140781482217e+21,0.07142857142857144,-0.38095238095238104,-0.5476190476190477,rank association only; not causal evidence
press,0.5453217129571674,0.44908413181556683,0.17647854258310006,0.994374519965799,1.0589364584716614,0.22465538837331503,0.16884736699499847,-224762.81666878168,-1.2489124500448997e+25,-194.41855729746771,-118590592941.42203,-0.06492718508925895,-1.2489124500448997e+25,-118590592747.00346,0.07142857142857144,-0.38095238095238104,-0.5476190476190477,rank association only; not causal evidence
vel1,0.4677121969698138,0.37475432101075157,0.1987501642277286,1.0465187898837194,1.0959769481531416,0.08526251691552328,0.0018542913087724391,-3.639534985538486,-2.261034778724653,-0.505518423659016,-0.3115979395536519,-0.04725969447229669,1.378500206813833,0.1939204841053641,0.07142857142857144,-0.38095238095238104,-0.5476190476190477,rank association only; not causal evidence
vel2,0.3316775754234771,0.32253112764891056,0.027576322465842268,0.9598155942847565,0.9269380728063568,0.5229637152703541,0.4399928104923065,-1.8503336439284084,-1.9249835430348474,-2.985985747596717,-2.164370200457565,0.034253998032715526,-0.07464989910643904,0.8216155471391517,0.07142857142857144,-0.38095238095238104,-0.5476190476190477,rank association only; not causal evidence
vel3,0.5943937487299193,0.4784779383190457,0.19501519095474784,0.9953319489772864,1.0566957979352392,0.34068573741514463,0.17538293502067628,-0.5335711757997375,0.0051881081840470245,-0.4867797844084871,-0.8441306408411804,-0.06165164196829484,0.5387592839837845,-0.35735085643269326,0.07142857142857144,-0.38095238095238104,-0.5476190476190477,rank association only; not causal evidence
