resolution,step,ground_truth_available,normalized_gt_error,physical_gt_error,residual_cosine,shell_skill,radial_skill,finite,rho_press_positive,physical_range_explosion,above_Rout
64,1,True,0.24164958038372727,3.0667838770503284,0.8832225143910961,-2.9718848991078204,0.05007717361225705,True,True,True,False
96,1,True,0.2713324448789374,1.52021699891007e+21,0.8727158253638742,-289.00695868231156,-1.9241415394114303,True,True,True,False
64,2,True,0.2589714124698174,7616.028742287918,0.7417500641143955,-8.103512726533967,-5.085161307106974,True,True,True,False
96,2,True,0.29419665490543934,4.561831470138388e+21,0.7760875546327188,-6.797898701658381,-1.262808512458534,True,True,True,False
64,3,True,0.4431932326012445,22798059030986.656,0.35823976683147324,-516599506910.5325,-253292.93167291145,True,True,True,False
96,3,True,0.45212568906053646,1.4365798145444322e+22,0.568381276311191,-50812.13411221356,-94.77612700676075,True,True,True,False
64,5,True,6.443260205344884,5.2914071597096374e+36,0.1561525363993255,-74.86828423074813,-11.997925546596017,True,True,True,True
96,5,True,1.277424991365729,1.2238788844677652e+29,0.1460111413513831,-1.9494312238823996e+30,-1358811367145393.8,True,True,True,True
64,10,True,93.16015344870155,7.31044039751509e+37,0.08628614587301506,-0.1316009870857524,-0.24578353289555088,True,True,True,True
96,10,True,17.71894079300776,2.970657760975886e+37,-0.08056922085177004,-0.875764957779184,-0.7331007410998234,True,True,True,True
64,19,True,129.37088809452734,9.348820268867772e+37,-0.19916090840663309,-0.027164232497011165,-0.0489248184267832,True,True,True,True
96,19,True,43.924902940853215,6.891917926006806e+37,-0.30065724700799695,-0.04609040303056733,-0.03973373763728261,True,True,True,True
64,25,True,149.5896034039855,1.0347384041773118e+38,-0.33440560161249255,-0.02365570530663863,-0.07217603861791999,True,True,True,True
96,25,True,54.153267877660724,7.514736067801235e+37,-0.3624889902997349,-0.017193016731941846,-0.008430395127720924,True,True,True,True
64,42,True,361.24392080746816,1.314683323138657e+38,-0.19368169168420435,-0.005148505561288985,-0.035076583474396905,True,True,True,True
96,42,True,88.52571203308759,9.511538376197677e+37,-0.3630211802845541,-0.009379230383994352,-0.01509501737842589,True,True,True,True
64,50,False,,,,,,True,True,True,True
96,50,False,,,,,,True,True,True,True
64,75,False,,,,,,True,True,True,True
96,75,False,,,,,,True,True,True,True
64,100,False,,,,,,True,True,True,True
96,100,False,,,,,,True,True,True,True
