region,sampling_error_64,sampling_error_96,sampling_gain,z64_residual_relative_l2_arithmetic_average,z96_residual_relative_l2_arithmetic_average,gain_residual_relative_l2_arithmetic_average,z64_residual_relative_l2_global,z96_residual_relative_l2_global,gain_residual_relative_l2_global,z64_residual_variance_structure_relative_l2_median,z96_residual_variance_structure_relative_l2_median,gain_residual_variance_structure_relative_l2_median,z64_residual_radial_profile_relative_l2_median,z96_residual_radial_profile_relative_l2_median,gain_residual_radial_profile_relative_l2_median
inner,0.44360202273396504,0.3323640787800465,0.2507606779345767,0.8901965718313751,0.9952813251716617,-0.11804668391847296,0.6834097196483871,0.7503808031708395,-0.09799550927796122,0.5587594400255367,0.5059450918183857,0.09452072649499628,1.8551439706831454,2.267469662138388,-0.22226075063241912
middle,0.3644246358208748,0.2663181744892211,0.2692091908404234,1.0644714933315393,1.0109015583134555,0.050325382458503265,1.0020144622442122,0.9742402340097318,0.027718390583180246,0.9140838337414676,0.8525511429769049,0.06731624441130432,1.4369983046169905,1.7023729656808984,-0.18467291172945352
outer,0.42273226636403505,0.3839287481225897,0.09179218462597737,4.572143273624407,9.039981725662017,-0.9771868869052055,5.597824219270245,10.721798216983204,-0.9153510001392902,0.9990377083890515,7.307251607985359,-6.314290087977063,2.3583255944937394,7.412487217233604,-2.1431144344701223
