split,batch,source_index,target_index,case,component,batch_size,epoch,finite,gradient_nonzero,gradient_norm,roi_ramp,weighted_value
train,0,11,12,isolated_vel1,bounds,1,0,True,True,1.0812053830022705e-07,0.0,1.532249704894184e-08
train,0,11,12,isolated_vel1,envelope,1,0,True,True,0.00018803536659106612,0.0,0.04634273797273636
train,0,11,12,isolated_vel1,dissipation,1,0,True,False,0.0,0.0,0.0
train,0,11,12,isolated_vel1,total,1,0,True,True,0.1009766012430191,0.0,6.581241130828857
train,0,11,12,isolated_vel3,base,1,0,True,True,0.0022552809678018093,0.0,0.33333587646484375
train,0,11,12,isolated_vel3,h1,1,0,True,True,0.10001488775014877,0.0,6.201562404632568
train,0,11,12,isolated_vel3,roi,1,0,True,False,0.0,0.0,0.0
train,0,11,12,isolated_vel3,bounds,1,0,True,True,1.0812053830022705e-07,0.0,1.532249704894184e-08
train,0,11,12,isolated_vel3,envelope,1,0,True,True,0.00018803536659106612,0.0,0.04634273797273636
train,0,11,12,isolated_vel3,dissipation,1,0,True,False,0.0,0.0,0.0
train,0,11,12,isolated_vel3,total,1,0,True,True,0.1009766086935997,0.0,6.581241130828857
train,1,12,13,normalized_target,base,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,normalized_target,h1,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,normalized_target,roi,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,normalized_target,bounds,1,1,True,True,1.0806551387076979e-07,0.0026666666381061077,1.530688820139403e-08
train,1,12,13,normalized_target,envelope,1,1,True,True,0.0001871437270892784,0.0026666666381061077,0.04590450972318649
train,1,12,13,normalized_target,dissipation,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,normalized_target,total,1,1,True,True,0.0001871437270892784,0.0026666666381061077,0.04590452462434769
train,1,12,13,persistence_normalized_input,base,1,1,True,True,0.005147644784301519,0.0026666666381061077,1.6592857837677002
train,1,12,13,persistence_normalized_input,h1,1,1,True,True,0.5210116505622864,0.0026666666381061077,108.33611297607422
train,1,12,13,persistence_normalized_input,roi,1,1,True,True,1.8803213606588542e-05,0.0026666666381061077,0.004503089934587479
train,1,12,13,persistence_normalized_input,bounds,1,1,True,True,1.0812053830022705e-07,0.0026666666381061077,1.532249704894184e-08
train,1,12,13,persistence_normalized_input,envelope,1,1,True,True,0.00018803536659106612,0.0026666666381061077,0.04634273797273636
train,1,12,13,persistence_normalized_input,dissipation,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,persistence_normalized_input,total,1,1,True,True,0.5243453979492188,0.0026666666381061077,110.0462417602539
train,1,12,13,zero_tensor,base,1,1,True,True,0.022736890241503716,0.0026666666381061077,31.196033477783203
train,1,12,13,zero_tensor,h1,1,1,True,True,0.9300759434700012,0.0026666666381061077,539.9835205078125
train,1,12,13,zero_tensor,roi,1,1,True,True,1.8803077182383277e-05,0.0026666666381061077,0.02133333310484886
train,1,12,13,zero_tensor,bounds,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,zero_tensor,envelope,1,1,True,True,0.00013139451039023697,0.0026666666381061077,0.022633323445916176
train,1,12,13,zero_tensor,dissipation,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,zero_tensor,total,1,1,True,True,0.939911961555481,0.0026666666381061077,571.2235717773438
train,1,12,13,deterministic_random,base,1,1,True,True,0.025670140981674194,0.0026666666381061077,39.783138275146484
train,1,12,13,deterministic_random,h1,1,1,True,True,3.7826809883117676,0.0026666666381061077,2998.777587890625
train,1,12,13,deterministic_random,roi,1,1,True,True,1.8803269995260052e-05,0.0026666666381061077,0.02258378081023693
train,1,12,13,deterministic_random,bounds,1,1,True,True,1.5590019756928086e-05,0.0026666666381061077,0.00031856875284574926
train,1,12,13,deterministic_random,envelope,1,1,True,True,0.00024569674860686064,0.0026666666381061077,0.07912436872720718
train,1,12,13,deterministic_random,dissipation,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,deterministic_random,total,1,1,True,True,3.795839309692383,0.0026666666381061077,3038.662841796875
train,1,12,13,isolated_Bcc1,base,1,1,True,True,0.0027063381858170033,0.0026666666381061077,0.4000030755996704
train,1,12,13,isolated_Bcc1,h1,1,1,True,True,0.10001488775014877,0.0026666666381061077,6.201562404632568
train,1,12,13,isolated_Bcc1,roi,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,isolated_Bcc1,bounds,1,1,True,True,1.0806551387076979e-07,0.0026666666381061077,1.530688820139403e-08
train,1,12,13,isolated_Bcc1,envelope,1,1,True,True,0.0001871437270892784,0.0026666666381061077,0.04590450972318649
train,1,12,13,isolated_Bcc1,dissipation,1,1,True,False,0.0,0.0026666666381061077,0.0
train,1,12,13,isolated_Bcc1,total,1,1,True,True,0.10117432475090027,0.0026666666381061077,6.647469997406006
train,1,12,13,isolated_Bcc3,base,1,1,True,True,0.0027063381858170033,0.0026666666381061077,0.4000030755996704
train,1,12,13,isolated_Bcc3,h1,1,1,True,True,0.10001488775014877,0.0026666666381061077,6.201562404632568
