accumulation_count,clipping_triggered,decoded_press_minimum,decoded_rho_minimum,diagnostic_h1_mode,epoch,input_norm,learning_rate,loss.disabled_components,loss.metadata.channel_weights,loss.metadata.enabled_priors,loss.metadata.reduction,loss.metadata.schema_version,loss.metadata.space,loss.model_bound_clamp_fraction.combined,loss.model_bound_clamp_fraction.press,loss.model_bound_clamp_fraction.rho,loss.model_inverse_clamp_fraction_by_channel.Bcc1,loss.model_inverse_clamp_fraction_by_channel.Bcc2,loss.model_inverse_clamp_fraction_by_channel.Bcc3,loss.model_inverse_clamp_fraction_by_channel.press,loss.model_inverse_clamp_fraction_by_channel.rho,loss.model_inverse_clamp_fraction_by_channel.vel1,loss.model_inverse_clamp_fraction_by_channel.vel2,loss.model_inverse_clamp_fraction_by_channel.vel3,loss.normalized_per_channel_squared_error.Bcc1,loss.normalized_per_channel_squared_error.Bcc2,loss.normalized_per_channel_squared_error.Bcc3,loss.normalized_per_channel_squared_error.press,loss.normalized_per_channel_squared_error.rho,loss.normalized_per_channel_squared_error.vel1,loss.normalized_per_channel_squared_error.vel2,loss.normalized_per_channel_squared_error.vel3,loss.target_bound_clamp_fraction.combined,loss.target_bound_clamp_fraction.press,loss.target_bound_clamp_fraction.rho,loss.target_inverse_clamp_fraction_by_channel.Bcc1,loss.target_inverse_clamp_fraction_by_channel.Bcc2,loss.target_inverse_clamp_fraction_by_channel.Bcc3,loss.target_inverse_clamp_fraction_by_channel.press,loss.target_inverse_clamp_fraction_by_channel.rho,loss.target_inverse_clamp_fraction_by_channel.vel1,loss.target_inverse_clamp_fraction_by_channel.vel2,loss.target_inverse_clamp_fraction_by_channel.vel3,loss.total,loss_finite,microbatch,mode,model_saturation_Bcc1,model_saturation_Bcc2,model_saturation_Bcc3,model_saturation_press,model_saturation_rho,model_saturation_vel1,model_saturation_vel2,model_saturation_vel3,nonfinite,nonfinite_count,optimizer_seconds,optimizer_update,pair_index,parameter_update_norm,plain_squared_loss_Bcc1,plain_squared_loss_Bcc2,plain_squared_loss_Bcc3,plain_squared_loss_press,plain_squared_loss_rho,plain_squared_loss_vel1,plain_squared_loss_vel2,plain_squared_loss_vel3,prediction_norm,prediction_transformed_max_Bcc1,prediction_transformed_max_Bcc2,prediction_transformed_max_Bcc3,prediction_transformed_max_press,prediction_transformed_max_rho,prediction_transformed_max_vel1,prediction_transformed_max_vel2,prediction_transformed_max_vel3,prediction_transformed_min_Bcc1,prediction_transformed_min_Bcc2,prediction_transformed_min_Bcc3,prediction_transformed_min_press,prediction_transformed_min_rho,prediction_transformed_min_vel1,prediction_transformed_min_vel2,prediction_transformed_min_vel3,source_snapshot,target_norm,target_saturation_Bcc1,target_saturation_Bcc2,target_saturation_Bcc3,target_saturation_press,target_saturation_rho,target_saturation_vel1,target_saturation_vel2,target_saturation_vel3,target_snapshot,target_transformed_max_Bcc1,target_transformed_max_Bcc2,target_transformed_max_Bcc3,target_transformed_max_press,target_transformed_max_rho,target_transformed_max_vel1,target_transformed_max_vel2,target_transformed_max_vel3,target_transformed_min_Bcc1,target_transformed_min_Bcc2,target_transformed_min_Bcc3,target_transformed_min_press,target_transformed_min_rho,target_transformed_min_vel1,target_transformed_min_vel2,target_transformed_min_vel3,total_gradient_norm_clipped,total_gradient_norm_unclipped,total_loss,transformed_input_norm
4,False,1.8983955669682473e-05,0.000125033242511563,,0,22132.142578125,0.0005,"[""h1"", ""roi"", ""bounds_training_penalty"", ""radial_envelope"", ""dissipation""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],spatial_mean_per_channel_then_channel_sum_then_batch_mean,paper-plain-l2-v1,canonical_normalized_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5770057439804077,9.55659294128418,1012.4547119140625,0.9526774883270264,1.2025294303894043,0.8288248777389526,7.000933647155762,966.704345703125,0.0003662109375,0.000244140625,0.00048828125,0.0,0.062744140625,0.283203125,0.0,0.0,0.0,0.0341796875,0.296630859375,1999.277587890625,True,0,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.0,False,42,,0.5770058035850525,9.55659294128418,1012.4547119140625,0.9526774883270264,1.2025295495986938,0.8288248777389526,7.000933647155762,966.704345703125,299.3414001464844,0.42583131790161133,0.3857387900352478,0.5198870301246643,0.5083180069923401,0.5207598209381104,0.44571948051452637,0.3774016499519348,0.24904602766036987,-0.49994176626205444,-0.3740861415863037,-0.31529879570007324,-0.5107495188713074,-0.7474068403244019,-0.3894559442996979,-1.1058400869369507,-0.5471070408821106,53,22877.03515625,0.0,0.062744140625,0.283203125,0.0,0.0,0.0,0.0341796875,0.296630859375,54,1.4447487592697144,13.719817161560059,134.8009033203125,1.9946115016937256,2.539325475692749,3.901607036590576,5.999993324279785,147.5879669189453,-1.4447482824325562,-8.842772483825684,-134.8009796142578,-2.050196886062622,-1.9504469633102417,-1.2055108547210693,-5.999993324279785,-1.381503939628601,21.078306198120117,21.078306198120117,1999.277587890625,22126.220703125
4,False,1.6837446310091764e-05,0.00011321540659992024,,0,24612.38671875,0.0005,"[""h1"", ""roi"", ""bounds_training_penalty"", ""radial_envelope"", ""dissipation""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],spatial_mean_per_channel_then_channel_sum_then_batch_mean,paper-plain-l2-v1,canonical_normalized_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6116009950637817,10.68303108215332,1160.625244140625,0.9685448408126831,1.253479242324829,0.8961482048034668,7.118623733520508,1165.716064453125,0.00048828125,0.00048828125,0.00048828125,0.0,0.063232421875,0.308349609375,0.0,0.0,0.0,0.033447265625,0.32470703125,2347.873046875,True,1,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.0,False,48,,0.6116009950637817,10.68303108215332,1160.6251220703125,0.9685448408126831,1.253479242324829,0.8961482048034668,7.118623733520508,1165.7161865234375,334.3840637207031,0.4641503095626831,0.4249352812767029,0.546654999256134,0.578947901725769,0.6109244227409363,0.48370248079299927,0.4085958003997803,0.2498709261417389,-0.5306259989738464,-0.43743816018104553,-0.36066973209381104,-0.5534795522689819,-0.7840813994407654,-0.4398711621761322,-1.2108898162841797,-0.6023280024528503,59,24789.341796875,0.0,0.063232421875,0.308349609375,0.0,0.0,0.0,0.033447265625,0.32470703125,60,1.4720664024353027,14.007607460021973,143.6029815673828,2.0129318237304688,2.52822208404541,4.060279846191406,5.999992847442627,168.4984893798828,-1.472066879272461,-8.769922256469727,-143.60287475585938,-2.0932528972625732,-1.9832134246826172,-1.243591070175171,-5.999993324279785,-1.2646985054016113,46.61742401123047,46.61742401123047,2347.873046875,24607.060546875
4,False,1.4503017155220732e-05,0.0001124246628023684,,0,26232.080078125,0.0005,"[""h1"", ""roi"", ""bounds_training_penalty"", ""radial_envelope"", ""dissipation""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],spatial_mean_per_channel_then_channel_sum_then_batch_mean,paper-plain-l2-v1,canonical_normalized_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6665802001953125,12.806585311889648,1322.811279296875,0.9814046621322632,1.3150360584259033,0.9816886186599731,6.9954071044921875,1374.729736328125,0.000244140625,0.00048828125,0.0,0.0,0.068359375,0.344482421875,0.0,0.0,0.0,0.032470703125,0.337646484375,2721.28759765625,True,2,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.0,False,55,,0.6665802001953125,12.806585311889648,1322.8114013671875,0.9814046621322632,1.3150360584259033,0.9816886186599731,6.995406627655029,1374.729736328125,358.677734375,0.4849886894226074,0.4523635804653168,0.5544214844703674,0.6094433665275574,0.6617076992988586,0.5371913313865662,0.43032097816467285,0.2518842816352844,-0.5674315690994263,-0.46088024973869324,-0.3968440294265747,-0.6065502762794495,-0.7866682410240173,-0.46505504846572876,-1.3249088525772095,-0.6443019509315491,66,26686.50390625,0.0,0.068359375,0.344482421875,0.0,0.0,0.0,0.032470703125,0.337646484375,67,1.505328893661499,14.335736274719238,150.54595947265625,2.040863275527954,2.515580177307129,4.160248756408691,5.999990940093994,183.9866180419922,-1.5053290128707886,-9.725677490234375,-150.54605102539062,-2.1007070541381836,-1.88789963722229,-1.2902379035949707,-5.999991416931152,-1.328075885772705,76.20755004882812,76.20755004882812,2721.28759765625,26227.083984375
4,True,1.9527116819517687e-05,0.00011488971358630806,,0,25202.619140625,0.0005,"[""h1"", ""roi"", ""bounds_training_penalty"", ""radial_envelope"", ""dissipation""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],spatial_mean_per_channel_then_channel_sum_then_batch_mean,paper-plain-l2-v1,canonical_normalized_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5431337356567383,9.542320251464844,1113.19140625,0.850167453289032,1.1154751777648926,1.155686855316162,5.969315528869629,1170.9874267578125,0.00048828125,0.00048828125,0.00048828125,0.0,0.06494140625,0.312744140625,0.0,0.0,0.0,0.036376953125,0.39013671875,2303.35498046875,True,3,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.20832168600099976,True,17,0.41295087337493896,0.5431337356567383,9.542320251464844,1113.19140625,0.8501673936843872,1.1154751777648926,1.155686855316162,5.969316005706787,1170.9873046875,343.00091552734375,0.4851168096065521,0.4642525315284729,0.5621800422668457,0.5972523093223572,0.6214520335197449,0.4611735939979553,0.5047488808631897,0.26359784603118896,-0.5476153492927551,-0.48233166337013245,-0.3722386360168457,-0.5006957054138184,-0.7786625027656555,-0.5286489725112915,-1.1063278913497925,-0.6035264134407043,28,24549.69921875,0.0,0.06494140625,0.312744140625,0.0,0.0,0.0,0.036376953125,0.39013671875,29,1.4569414854049683,14.202878952026367,142.98692321777344,2.0038294792175293,2.54508113861084,4.22291898727417,5.999998092651367,166.5879364013672,-1.4569413661956787,-7.532337188720703,-142.9869384765625,-2.5208489894866943,-1.8378808498382568,-1.088107705116272,-5.999998092651367,-0.7394767999649048,0.9999999403953552,102.98848724365234,2303.35498046875,25197.41796875
4,False,3.797786484938115e-05,0.0001988165167858824,,0,15620.3720703125,0.0005,"[""h1"", ""roi"", ""bounds_training_penalty"", ""radial_envelope"", ""dissipation""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],spatial_mean_per_channel_then_channel_sum_then_batch_mean,paper-plain-l2-v1,canonical_normalized_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39157789945602417,2.3930954933166504,478.40692138671875,0.9508481025695801,1.0740110874176025,0.8806214332580566,4.9673004150390625,373.1108093261719,0.0020751953125,0.004150390625,0.0,0.0,0.02001953125,0.227294921875,0.0,0.0,0.0,0.0068359375,0.23095703125,862.1751708984375,True,4,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.0,False,2,,0.39157792925834656,2.3930954933166504,478.40692138671875,0.9508481621742249,1.074010968208313,0.8806214332580566,4.967300891876221,373.11083984375,212.8521728515625,0.3168257474899292,0.3481168746948242,0.3768109083175659,0.3104792833328247,0.34373751282691956,0.30642247200012207,0.23681500554084778,0.2492322325706482,-0.2789308726787567,-0.19041910767555237,-0.2030446082353592,-0.2629256546497345,-0.5753764510154724,-0.23515653610229492,-0.5999202132225037,-0.2708468437194824,13,15035.38671875,0.0,0.02001953125,0.227294921875,0.0,0.0,0.0,0.0068359375,0.23095703125,14,1.248920202255249,10.338903427124023,96.10543060302734,1.9018654823303223,2.492368221282959,5.6505327224731445,5.997743129730225,108.11203002929688,-1.249566674232483,-7.1277995109558105,-96.11188507080078,-2.755463123321533,-1.9879850149154663,-1.7436264753341675,-5.997743606567383,-1.3129247426986694,8.796792984008789,8.796792984008789,862.1751708984375,15611.978515625
4,False,2.3366170353256166e-05,0.000129196050693281,,0,21496.53125,0.0005,"[""h1"", ""roi"", ""bounds_training_penalty"", ""radial_envelope"", ""dissipation""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],spatial_mean_per_channel_then_channel_sum_then_batch_mean,paper-plain-l2-v1,canonical_normalized_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5282893776893616,8.316964149475098,884.0526123046875,0.9220861792564392,1.1457635164260864,0.8555365800857544,7.477141857147217,829.5614013671875,0.0003662109375,0.000244140625,0.00048828125,0.0,0.063232421875,0.2744140625,0.0,0.0,0.0,0.03564453125,0.29443359375,1732.8597412109375,True,5,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.0,False,32,,0.5282893776893616,8.316964149475098,884.0526733398438,0.922086238861084,1.1457635164260864,0.8555365204811096,7.477141857147217,829.5613403320312,279.1038513183594,0.417661190032959,0.4041416347026825,0.5129735469818115,0.46993571519851685,0.47821712493896484,0.43147000670433044,0.3240532875061035,0.25074052810668945,-0.4494660794734955,-0.34444573521614075,-0.2813323140144348,-0.4366648197174072,-0.7352966666221619,-0.3372117578983307,-0.936272144317627,-0.36172112822532654,43,21317.1171875,0.0,0.063232421875,0.2744140625,0.0,0.0,0.0,0.03564453125,0.29443359375,44,1.4082159996032715,13.50628662109375,126.21455383300781,1.9741326570510864,2.553920269012451,3.903571844100952,5.999995708465576,134.54998779296875,-1.4082157611846924,-7.75104284286499,-126.21461486816406,-1.9972002506256104,-1.968814730644226,-1.1518408060073853,-5.999995708465576,-1.0363575220108032,25.6010684967041,25.6010684967041,1732.8597412109375,21490.43359375
4,False,1.0766586456156801e-05,0.00010913526057265699,,0,32716.22265625,0.0005,"[""h1"", ""roi"", ""bounds_training_penalty"", ""radial_envelope"", ""dissipation""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],spatial_mean_per_channel_then_channel_sum_then_batch_mean,paper-plain-l2-v1,canonical_normalized_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8983086943626404,26.019577026367188,2064.032470703125,1.0177712440490723,1.5061578750610352,1.4749436378479004,6.842133045196533,2106.940185546875,0.000732421875,0.00146484375,0.0,0.0,0.30029296875,0.368408203125,0.0,0.0,0.0,0.042236328125,0.3388633728027344,4208.7314453125,True,6,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.0,False,70,,0.8983086943626404,26.019577026367188,2064.0322265625,1.0177712440490723,1.5061578750610352,1.4749435186386108,6.842132568359375,2106.93994140625,435.73968505859375,0.6173205375671387,0.5430921912193298,0.6535089612007141,0.7128473520278931,0.8029452562332153,0.7923496961593628,0.6623067259788513,0.27961304783821106,-0.727094829082489,-0.5640378594398499,-0.5300011038780212,-0.7121880054473877,-0.7976242303848267,-0.5602970123291016,-1.525610327720642,-0.6801652312278748,81,33211.1640625,0.0,0.30029296875,0.368408203125,0.0,0.0,0.0,0.042236328125,0.3388633728027344,82,1.62897527217865,15.935770034790039,171.01138305664062,2.2009809017181396,2.484407424926758,4.6220598220825195,5.999981880187988,222.5517120361328,-1.6289795637130737,-12.206212997436523,-171.01095581054688,-2.15289306640625,-1.9197123050689697,-1.3966050148010254,-5.999981880187988,-1.3528709411621094,66.73136901855469,66.73136901855469,4208.7314453125,32712.216796875
4,True,1.348470505035948e-05,0.00011513244680827484,,0,35687.8359375,0.0005,"[""h1"", ""roi"", ""bounds_training_penalty"", ""radial_envelope"", ""dissipation""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],spatial_mean_per_channel_then_channel_sum_then_batch_mean,paper-plain-l2-v1,canonical_normalized_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0879793167114258,41.830238342285156,2690.93994140625,1.0656273365020752,1.6824398040771484,1.7032676935195923,7.175983428955078,2328.086669921875,0.0025634765625,0.00244140625,0.002685546875,0.0,0.3427734375,0.4296875,0.0,0.0,0.0,0.059814453125,0.32177734375,5073.572265625,True,7,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.005556105999858119,True,75,0.4047148525714874,1.0879793167114258,41.830238342285156,2690.93994140625,1.0656274557113647,1.6824398040771484,1.7032676935195923,7.175983428955078,2328.08642578125,477.4376220703125,0.6007285118103027,0.542443573474884,0.7147594094276428,0.8016155362129211,0.8729100227355957,0.9524808526039124,0.82871413230896,0.3579561710357666,-0.6902536153793335,-0.6165088415145874,-0.5584207773208618,-0.6324030756950378,-0.7778835296630859,-0.6632391214370728,-1.4498313665390015,-0.8082688450813293,86,36464.2109375,0.0,0.3427734375,0.4296875,0.0,0.0,0.0,0.059814453125,0.32177734375,87,1.718660593032837,16.811677932739258,182.8374481201172,2.3615965843200684,2.7212162017822266,4.741011619567871,6.0,229.5459442138672,-1.7186604738235474,-14.479167938232422,-182.837646484375,-2.215707302093506,-1.9289679527282715,-1.3436017036437988,-6.0,-2.2416367530822754,0.9999999403953552,116.6379623413086,5073.572265625,35684.1640625
4,False,2.018860868702177e-05,0.0001096931446227245,,0,26825.03125,0.0005,"[""h1"", ""roi"", ""bounds_training_penalty"", ""radial_envelope"", ""dissipation""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],spatial_mean_per_channel_then_channel_sum_then_batch_mean,paper-plain-l2-v1,canonical_normalized_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5513800382614136,9.111284255981445,1433.70849609375,0.8679627180099487,1.0851116180419922,1.233405351638794,5.840262413024902,1390.052978515625,0.0025634765625,0.004638671875,0.00048828125,0.0,0.0771484375,0.321533203125,0.0,0.0,0.0,0.03515625,0.327392578125,2842.45068359375,True,8,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.0,False,11,,0.5513800382614136,9.111284255981445,1433.70849609375,0.8679627180099487,1.0851116180419922,1.233405351638794,5.840262413024902,1390.052978515625,355.29931640625,0.5095414519309998,0.5233696103096008,0.8379955291748047,0.5967863202095032,0.6630433201789856,0.48902034759521484,0.543900191783905,0.447230726480484,-0.6006029844284058,-0.4704071283340454,-0.6388943791389465,-0.4888191819190979,-0.7957432270050049,-0.434182733297348,-1.0788286924362183,-0.4691197872161865,22,27320.794921875,0.0,0.0771484375,0.321533203125,0.0,0.0,0.0,0.03515625,0.327392578125,23,1.531625509262085,14.630186080932617,154.04931640625,2.0543251037597656,2.548039436340332,4.806210994720459,5.999989986419678,180.5238800048828,-1.531625509262085,-8.35336971282959,-154.04937744140625,-2.754781484603882,-1.9871962070465088,-1.0857198238372803,-5.999989986419678,-0.7836584448814392,26.872739791870117,26.872739791870117,2842.45068359375,26820.14453125
4,False,1.2137375961174257e-05,0.00011739818000933155,,0,33761.9375,0.0005,"[""h1"", ""roi"", ""bounds_training_penalty"", ""radial_envelope"", ""dissipation""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[],spatial_mean_per_channel_then_channel_sum_then_batch_mean,paper-plain-l2-v1,canonical_normalized_state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9573807716369629,30.569194793701172,2256.81494140625,1.015937089920044,1.532013177871704,1.578116536140442,6.863272666931152,2198.4482421875,0.0009765625,0.001708984375,0.000244140625,0.0,0.322265625,0.381591796875,0.0,0.0,0.0,0.04638671875,0.33349609375,4497.779296875,True,9,plain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0.0,False,72,,0.9573807716369629,30.569194793701172,2256.81494140625,1.0159369707107544,1.532013177871704,1.578116536140442,6.863272666931152,2198.447998046875,441.090576171875,0.598706841468811,0.5939401984214783,0.8336029648780823,0.7323839664459229,0.8414694666862488,0.8190438747406006,0.8139477372169495,0.47655728459358215,-0.8070966005325317,-0.6371930241584778,-0.7039053440093994,-0.6697425246238708,-0.7706875205039978,-0.6382774710655212,-1.3868389129638672,-0.6861989498138428,83,34359.3125,0.0,0.322265625,0.381591796875,0.0,0.0,0.0,0.04638671875,0.33349609375,84,1.6582844257354736,16.251779556274414,174.1564178466797,2.2497706413269043,2.532654285430908,4.683102607727051,5.999975681304932,223.3441619873047,-1.658286452293396,-12.908935546875,-174.15692138671875,-2.1796562671661377,-1.92238187789917,-1.3885369300842285,-5.99997615814209,-1.527896523475647,70.2840576171875,70.2840576171875,4497.779296875,33758.0546875
