ood_score,snapshot,split,time
52.18460020303688,0,train,0.0
4.079212636709393,1,train,10.000659066192327
7.133601928792187,2,train,20.001318132387638
6.97845743502165,3,train,30.000182070407362
6.836511075198324,4,train,40.00084113660267
11.334183167519983,5,train,50.001500202797985
5.957157596253578,6,train,60.00036414081771
4.110383574913405,7,train,70.00102320701302
2.4978899330489344,8,train,80.00168227320833
2.3955747896084816,9,train,90.00054621122806
2.310039867538421,10,train,100.00120527742337
2.1063082290605135,11,train,110.00006921544309
2.048997044923516,12,train,120.0007282816384
5.565141510183326,13,train,130.0013873478337
9.037118951723233,14,train,140.00025128585344
7.487983048293797,15,train,150.00091035204875
4.533631146801249,16,train,160.00156941824406
4.565887831483042,17,train,170.00043335626378
2.0709191944175953,18,train,180.0010924224591
1.5684358950516801,19,train,190.0017514886544
1.6766693572662086,20,train,200.00061542667413
1.2712272219087315,21,train,210.00127449286944
1.1784108184891147,22,train,220.00013843088917
1.2069264821961712,23,train,230.00079749708448
1.143620567662294,24,train,240.0014565632798
1.0909612328150862,25,train,250.0003205012995
1.089837405441254,26,train,260.0009795674315
1.052027594521082,27,train,270.0016386334685
1.015830524775572,28,train,280.0005025713299
1.060506724587556,29,train,290.00116163736686
1.0588152139235572,30,train,300.0000255752283
1.113394168317774,31,train,310.00068464126525
1.0602830940043038,32,train,320.0013437073022
1.053823116363881,33,train,330.00020764516364
1.0250539192656036,34,train,340.0008667112006
1.028918186943525,35,train,350.0015257772376
1.0384116065271496,36,train,360.000389715099
1.0231883342190198,37,train,370.001048781136
1.0485373921044268,38,train,380.00170784717295
1.039677812553506,39,train,390.00057178503437
1.0827464641247377,40,train,400.00123085107134
1.1023639663418558,41,train,410.00009478893276
1.0614881327855694,42,train,420.00075385496973
1.0652913611817412,43,train,430.0014129210067
1.08050019422149,44,train,440.0002768588681
1.0640865326760351,45,train,450.0009359249051
1.0816838107992737,46,train,460.00159499094207
1.0984153019739136,47,train,470.0004589288035
1.0804359774776449,48,train,480.00111799484046
