af_vs_ad_max_abs_difference,af_vs_ad_pearson,af_vs_ad_relative_l2,effective_extent_phi,effective_extent_r,effective_extent_theta,r,r_index,stage_ad_nonzero_weight_count,stage_af_active_candidate_count,stage_af_nonzero_weight_count,target,theta,theta_index
0.12408680561075275,0.957809046651216,0.29830298806126465,0.2628843258409328,0.20227195590225433,0.1680995089651745,1.1456345721309733,0,215,59,118,inner_equator,1.5953400637954473,32
0.026665958608406367,0.989640026301352,0.14336666023714312,3.2679583380788437,3.4161368287002443,2.266653291924991,15.447733251866454,32,215,114,228,middle_equator,1.5953400637954473,32
0.12408680561075275,0.9698469999948388,0.24888126063834823,37.45255893857523,42.28530900158199,28.177140212860216,192.03331509030292,63,215,80,160,outer_equator,1.5953400637954473,32
0.5705827416995425,0.7733790136111252,0.8264551357671184,0.008161435381387621,0.20227195590225389,0.1680995089651745,1.1456345721309733,0,215,21,42,inner_near_pole,0.02454369328916073,0
0.28175234675175054,0.8660648891943452,0.5717415679396256,0.11004877104006205,3.3578858013964723,2.266653291924991,15.447733251866454,32,215,42,84,middle_near_pole,0.02454369328916073,0
0.3266588698060314,0.8188282190065334,0.6907885086025706,1.3680343892450024,41.74243117895065,28.177140212860216,192.03331509030292,63,215,31,62,outer_near_pole,0.02454369328916073,0
0.5705827416995425,0.7733790136111252,0.8264551357671184,0.008161435381387621,0.20227195590225389,0.1680995089651745,1.1456345721309733,0,215,21,42,corner_north_inner,0.02454369328916073,0
0.3266588698060314,0.8188282190065334,0.6907885086025706,1.3680343892450024,41.74243117895065,28.177140212860216,192.03331509030292,63,215,31,62,corner_north_outer,0.02454369328916073,0
0.5705832412514831,0.7733787714507048,0.8264557795830277,0.008161406316809268,0.2022719559022541,0.1680995089651745,1.1456345721309733,0,215,21,41,corner_south_inner,3.1170490477234125,63
0.3266591547737481,0.8188279972573543,0.6907890747689209,1.3680295173884185,41.74243117895065,28.177140212860216,192.03331509030292,63,215,31,61,corner_south_outer,3.1170490477234125,63
