af_vs_ae_max_abs_difference,af_vs_ae_pearson,af_vs_ae_relative_l2,effective_extent_phi,effective_extent_r,effective_extent_theta,r,r_index,stage_ae_active_basis_count,stage_ae_active_candidate_count,stage_af_active_candidate_count,stage_af_nonzero_weight_count,target,theta,theta_index
0.3122556632528053,0.8915933441944633,0.645412785115412,0.2628843258409328,0.20227195590225433,0.1680995089651745,1.1456345721309733,0,5,83,59,118,inner_equator,1.5953400637954473,32
0.2812579556759036,0.9299868505831981,0.5293658398483185,3.2679583380788437,3.4161368287002443,2.266653291924991,15.447733251866454,32,5,150,114,228,middle_equator,1.5953400637954473,32
0.24431334198121468,0.9335832993845767,0.47557789606648915,37.45255893857523,42.28530900158199,28.177140212860216,192.03331509030292,63,5,90,80,160,outer_equator,1.5953400637954473,32
0.8183892798467852,0.18891898001999596,1.8646233943985415,0.008161435381387621,0.20227195590225389,0.1680995089651745,1.1456345721309733,0,4,14,21,42,inner_near_pole,0.02454369328916073,0
0.8391376420653174,0.3595655757945956,1.8134171490818647,0.11004877104006205,3.3578858013964723,2.266653291924991,15.447733251866454,32,5,64,42,84,middle_near_pole,0.02454369328916073,0
0.8183892888827171,0.20642109526964922,1.7333206586733978,1.3680343892450024,41.74243117895065,28.177140212860216,192.03331509030292,63,4,14,31,62,outer_near_pole,0.02454369328916073,0
0.8183892798467852,0.18891898001999596,1.8646233943985415,0.008161435381387621,0.20227195590225389,0.1680995089651745,1.1456345721309733,0,4,14,21,42,corner_north_inner,0.02454369328916073,0
0.8183892888827171,0.20642109526964922,1.7333206586733978,1.3680343892450024,41.74243117895065,28.177140212860216,192.03331509030292,63,4,14,31,62,corner_north_outer,0.02454369328916073,0
0.8183893055004369,0.1889188605793139,1.8646237206425205,0.008161406316809268,0.2022719559022541,0.1680995089651745,1.1456345721309733,0,4,14,21,41,corner_south_inner,3.1170490477234125,63
0.8183893032197535,0.20642098103263973,1.7333208744566706,1.3680295173884185,41.74243117895065,28.177140212860216,192.03331509030292,63,4,14,31,61,corner_south_outer,3.1170490477234125,63
