channel,epoch,optimizer_updates,persistence_ratio,persistence_relative_l2,physical_relative_l2,radial_skill,residual_cosine,residual_relative_l2,shell_skill,state_relative_l2
Bcc1,2,84,1.047206293296641,0.323328573506534,0.7092762862981241,-99.8306348369986,-0.0009681432984134592,1.0472062933415747,-55.73479327623824,0.33859171697866797
Bcc2,2,84,1.000167401527144,0.5612767165103862,0.44375541056562573,0.08132344110841189,-0.003446727606417972,1.0001674014902888,0.024474607783370794,0.5613706750898805
Bcc3,2,84,0.9998413085019647,0.30795050740141605,0.21453466941248206,-0.07712475991383072,0.0192267502178801,0.9998413084250706,-0.12476882337129847,0.3079016382740758
rho,2,84,3.2450801056233036,0.15490373767862164,19.081589644345833,-230.66639650290534,0.00809176643892244,3.2450801057443037,-2687.890175572812,0.502675037427586
press,2,84,2.1468833448246007,0.14467580377795203,17.308407511432044,-134.96506320603072,0.010204989721842085,2.146883344762465,-7006.562855893275,0.31060207352999725
vel1,2,84,1.9606556766630288,0.09622849176929547,0.18601427276136306,-12.527172800415244,-0.017199990128059384,1.9606556764976397,-44.892466136446245,0.1886709386441907
vel2,2,84,1.046719071557915,0.7525195952519917,0.939481396929801,-12.337038126221277,0.002038181693151904,1.046719071564663,-4.875863684699755,0.7876766120713028
vel3,2,84,1.0305986550398492,0.1413763843103537,0.14129009197653755,-1.6449979805985904,-0.00024078182738261676,1.0305986548073895,0.001197569939638543,0.14570231152464735
Bcc1,10,420,1.0093705229150134,0.323328573506534,0.7121033575680848,-106.1707947914932,0.09979401765449739,1.0093705230555206,-58.108021973990276,0.32635833131365555
Bcc2,10,420,0.9796292423397415,0.5612767165103862,0.5290026367725031,-0.12920013070528247,0.24395969767549547,0.9796292423464869,-3.1125573449890607,0.5498430845380076
Bcc3,10,420,0.9538736298407046,0.30795050740141605,0.2082269783740356,-0.05000567247666565,0.39001291242361946,0.9538736298178271,-0.27373407746289535,0.29374586830627547
rho,10,420,3.935572066016235,0.15490373767862164,2.9634337800302374e+23,-2.7887555801279384e+24,-0.1675439281309955,3.9355720662002414,-9.290618440934766e+47,0.6096348229294899
press,10,420,1.7971039946613008,0.14467580377795203,875938931976122.4,-5277524635699631.0,-0.06556864365701634,1.797103995667903,-2.30203770258958e+31,0.2599974649001921
vel1,10,420,2.5262236710322727,0.09622849176929547,0.2243308727283129,-5.384719066496746,-0.06146335381393933,2.526223670755372,-28.70721043295508,0.24309469373532847
vel2,10,420,1.0206574550707466,0.7525195952519917,0.9018433277426782,-2.327496149760578,0.0010683568554731486,1.0206574550588297,-2.1128676042108667,0.7680647349807661
vel3,10,420,1.0294576996197031,0.1413763843103537,0.14113367323640585,-0.08909718379956788,-0.03477409373835074,1.0294576997596805,-0.3228044735351543,0.14554100737268783
Bcc1,30,1260,0.8245240062115158,0.323328573506534,0.7333059814047238,-70.16827661559918,0.6339431929241434,0.8245240061243424,-75.28344597826904,0.266592170750262
Bcc2,30,1260,0.8380869861589472,0.5612767165103862,0.7799699272546701,-0.563386129299502,0.5479951340073321,0.8380869861433949,-9.735984537932381,0.47039871174137937
Bcc3,30,1260,0.6151639367090175,0.30795050740141605,1.0024820435349626,-0.3376280778357269,0.7972140175522596,0.6151639367093563,-9.201897538379484,0.18944004644459453
rho,30,1260,4.523242788432904,0.15490373767862164,2.6718516805322333e+23,-2.429964743585532e+24,-0.07696436374388275,4.523242788406951,-7.943499148480718e+47,0.7006672143561277
press,30,1260,2.4611768291206957,0.14467580377795203,1267052747328249.5,-1.2467869591804432e+16,0.012865057173286143,2.4611768291918765,-3.980841415375543e+31,0.35607273599270794
vel1,30,1260,2.8019517897941593,0.09622849176929547,0.28763753852091023,-5.766704317041183,-0.010723508202731833,2.8019517899509228,-64.5468704551821,0.26962759474216996
vel2,30,1260,0.9551802805579441,0.7525195952519917,0.79576475405208,-2.1146386349384807,0.38891993355231097,0.9551802805490415,-3.151359390388403,0.718791878118148
vel3,30,1260,1.0392767546150394,0.1413763843103537,0.14247981812997457,-0.26732510717031543,0.18381487160801482,1.039276754450229,-0.3903869119521003,0.14692918986527298
Bcc1,75,3150,0.7520918867303753,0.323328573506534,0.6431575518684669,-60.65616013313035,0.6769278411334252,0.7520918867780384,-43.60926876779125,0.24317279688236998
Bcc2,75,3150,0.7851853886834504,0.5612767165103862,2.5725569176385,-0.407011054657462,0.6523688819830542,0.7851853886673881,-20.544504697870913,0.44070627681217844
Bcc3,75,3150,0.6236825129035056,0.30795050740141605,0.5037528842132191,-0.25582822791800286,0.7894995536331756,0.6236825128640938,-1.5638839282597519,0.19206334630602476
rho,75,3150,1.0885172944634616,0.15490373767862164,1843636.760804934,-2405.7493612094418,0.1689437560753562,1.088517294567106,-43416328.08527623,0.168615397440211
press,75,3150,0.9395303311679191,0.14467580377795203,3141.7202264589973,-191.39127162415176,0.3490636584393564,0.9395303314496894,-398538.33476817864,0.13592730583548415
vel1,75,3150,1.049768454749206,0.09622849176929547,0.07586901472131602,-0.26819739881812055,0.04160858101151502,1.0497684553129811,-2.359699839172774,0.1010176351075
vel2,75,3150,0.9499874498912823,0.7525195952519917,0.7989234867036348,-3.9990299082298457,0.49411019176473653,0.9499874498727936,-3.4358469547123307,0.7148841712866595
vel3,75,3150,1.0181551338328965,0.1413763843103537,0.13958414622523269,-0.42769695965923504,0.2700625201294442,1.0181551339203776,-0.3741097616450122,0.14394309148831919
Bcc1,150,6300,0.7375577711293547,0.323328573506534,0.6271743033104239,-43.04849137787342,0.6783863756991302,0.7375577711661483,-43.45410497769272,0.23847350201791295
Bcc2,150,6300,0.7961024433410403,0.5612767165103862,1.8752269359195584,-0.4130954789394684,0.6522948835684826,0.7961024433541122,-28.871422996963858,0.4468337654043549
Bcc3,150,6300,0.6023149365419262,0.30795050740141605,2.521775931056251,-0.0806609848789781,0.8013948279458492,0.6023149365198377,-1.014442233300695,0.18548319032353788
rho,150,6300,1.0027954470468068,0.15490373767862164,13.97939120824721,-17.40279288159977,0.23102959698092718,1.002795447278758,-919.1569886907832,0.15533676287465467
press,150,6300,0.9943745195147569,0.14467580377795203,2362.2280680027666,-194.41855729746771,0.22465538837331503,0.994374519965799,-224762.81666878168,0.1438619328671123
vel1,150,6300,1.0465187914949927,0.09622849176929547,0.07502681008911893,-0.505518423659016,0.08526251691552328,1.0465187898837194,-3.639534985538486,0.10070492491378895
vel2,150,6300,0.9598155942606392,0.7525195952519917,0.7758333592001933,-2.985985747596717,0.5229637152703541,0.9598155942847565,-1.8503336439284084,0.7222800425095661
vel3,150,6300,0.9953319493418067,0.1413763843103537,0.13645519779149196,-0.4867797844084871,0.34068573741514463,0.9953319489772864,-0.5335711757997375,0.14071643218652077
Bcc1,300,12600,0.7353817447825282,0.323328573506534,0.6255694063937344,-24.341076263217857,0.6979968509345665,0.7353817448885677,-37.12007175270887,0.23776993052328088
Bcc2,300,12600,0.8454683866641777,0.5612767165103862,4.929454186940306,-1.9269617217829313,0.6494044687998755,0.8454683866160224,-76.86124154575546,0.4745417199802033
Bcc3,300,12600,0.6302190907348137,0.30795050740141605,1.9801243542923639,-0.03266566558791972,0.799761463316256,0.6302190907426211,-2.2475428946309597,0.19407628876584496
rho,300,12600,1.0258397482191535,0.15490373767862164,40675.35621103278,-438.15530165701466,0.26747938759789186,1.0258397480843766,-1089102.9991774766,0.15890641125844301
press,300,12600,0.9969414170196607,0.14467580377795203,15696991282802.371,-9427.838840047218,0.25693153733937485,0.9969414174347442,-1086250198.0646057,0.14423330082684988
vel1,300,12600,1.0438310019546997,0.09622849176929547,0.07485358017055359,-0.2713507590747579,0.12792136101121307,1.043831001386757,-2.750205072170354,0.10044628298013326
