Rout_fraction,epoch,first_10x_step,label,normalized_relative_l2,optimizer_updates,persistence_ratio,physical_relative_l2,radial_skill,residual_global_cosine,residual_relative_l2,shell_skill,source,train_pairs
,,,Persistence,0.31028247627581884,,1.0,0.571583742525456,0.0,0.0,1.0,0.0,frozen expanded validation baseline,
0.0,,1,small-600,0.33346200544293,600,1.0747046028680853,6.41753105136317e+21,-0.0380139501417357,0.3192414699250897,1.1667954156244438,-0.006208509865304412,Stage S formal best checkpoint,79
0.0,,1,full-600,0.34318607521836586,600,1.1060440129828604,15.006444175241459,-0.0584655572131032,0.07730085478770239,1.2240386445956801,-0.0290467453999258,Stage S formal best checkpoint,168
0.0,,,small-1260,0.2968695250710338,1260,0.9567718055954217,9.83671042218609e+21,-0.4115993291503458,0.7379773264932932,1.1388117214603297,-5.049027092421081,Stage T final matched-update checkpoint,79
0.0,,1,full-1260,0.2971245937428131,1260,0.9575938586963276,1.1440856081380523e+22,-0.3749524256459619,0.7418393850134447,1.15347036848824,-3.53788567209913,Stage S formal best checkpoint,168
0.0,2,,full-2epoch,0.39289887544254354,84,1.2662618919325777,4.878043660465226,-0.15124207822893265,0.0033822988336647095,1.5596439820791743,-0.0049222731365972106,Stage T fixed checkpoint,168
0.0,10,,full-10epoch,0.3995350010095504,420,1.2876492601354401,3.704292235987033e+22,-0.09732701805104282,0.3290181948575742,1.6564860353327324,-0.43612623503554926,Stage T fixed checkpoint,168
0.0,30,1,full-30epoch,0.38981494275133277,1260,1.2563227786180722,3.3398146165034508e+22,-0.3088103933403883,0.7050806416426175,1.7573254214407643,-2.390193494571081,Stage T fixed checkpoint,168
0.0,75,1,full-75epoch,0.2675412526448434,3150,0.8622506042107851,230847.9018594243,-0.3354174080497826,0.7356726402987955,0.9008648066790585,-1.4294483794422974,Stage T fixed checkpoint,168
0.0,150,1,full-150epoch,0.26671131913718105,6300,0.8595758366324685,297.77736896854765,-0.3480888795195025,0.7406020960063326,0.8918514314288021,-1.6794721761992293,Stage T fixed checkpoint,168
0.0,300,1,full-300epoch,0.2776228842572882,12600,0.8947423895460387,1962123915435.7834,-0.24289676174832697,0.7385648749787823,0.9190763782351261,-1.428044387587371,Stage T fixed checkpoint,168
0.0,600,1,full-600epoch,0.2683234520270592,25200,0.864771530921195,1132807302036.2996,-0.38104686153601375,0.7380407989922659,0.9100697725998297,-2.6994903549737375,Stage T fixed checkpoint,168
0.0,900,,full-900epoch,0.26736566579277576,37800,0.8616847106605753,1602046457708.0623,-0.6359616899075186,0.7380327974577586,0.9014876917433663,-2.9216802000823066,Stage T fixed checkpoint,168
0.0,1200,1,full-1200epoch,0.2677528914051489,50400,0.8629326883647009,1962078132098.7576,-0.5445468981747613,0.7372210625704042,0.9033832998855122,-2.857336016581321,Stage T fixed checkpoint,168
