clipping_fraction,cumulative_runtime_seconds,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate,learning_rate_start,microbatches_completed,microbatches_this_epoch,model,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,train_loss_max,train_loss_mean,train_loss_median,train_loss_min
1.0,11.360231417999785,1,11.360231417999785,515.2626953125,706.0,0.9999999347187224,195.28775024414062,31.66970089503697,1.3333333333333335e-05,3.174603174603175e-07,168,168,cnn,0,42,42,2620.0830078125,108.13387667352245,6.299160957336426,0.7245258092880249
1.0,22.345780501999798,2,10.985549084000013,515.2626953125,706.0,0.9999999262037731,248.2799530029297,32.87346090589251,2.666666666666667e-05,1.3650793650793652e-05,336,168,cnn,0,84,42,2616.1845703125,107.64325101726821,5.767274856567383,0.40325644612312317
1.0,33.99764832699975,3,11.651867824999954,515.2626953125,706.0,0.9999999077547164,198.8170928955078,34.670656612941194,4e-05,2.6984126984126987e-05,504,168,cnn,0,126,42,2613.511962890625,107.1227375103072,5.58169412612915,0.19982200860977173
1.0,45.56698979899966,4,11.569341471999905,515.2626953125,706.0,0.9999999148505074,233.86143493652344,43.29066207295372,5.333333333333334e-05,4.031746031746032e-05,672,168,cnn,0,168,42,2604.5869140625,106.37115112727597,5.5554986000061035,0.15977321565151215
1.0,57.3032938209999,5,11.73630402200024,515.2626953125,706.0,0.9999999176888239,369.92742919921875,55.77334066799709,6.666666666666667e-05,5.3650793650793654e-05,840,168,cnn,0,210,42,2609.87548828125,104.8935097032005,5.396599054336548,0.1267295777797699
1.0,68.88571783899988,6,11.582424017999983,515.2626953125,706.0,0.9999999432336717,528.8487548828125,82.40069398425874,8e-05,6.698412698412698e-05,1008,168,cnn,0,252,42,2630.131103515625,102.80803809660885,5.402120113372803,0.17056897282600403
1.0,80.5026816909999,7,11.616963852000026,515.2626953125,706.0,0.9999999432336717,609.1222534179688,79.00909100260053,9.333333333333333e-05,8.031746031746032e-05,1176,168,cnn,0,294,42,2650.752685546875,101.86225531729204,5.306787729263306,0.12739278376102448
1.0,92.05960525399996,8,11.556923563000055,515.2626953125,706.0,0.9999999503294627,560.1271362304688,79.16589430400303,0.00010666666666666668,9.365079365079364e-05,1344,168,cnn,0,336,42,2610.828369140625,101.12763514609209,5.657979249954224,0.14906951785087585
1.0,103.61394614599976,9,11.5543408919998,515.2626953125,706.0,0.9999999474911463,536.9889526367188,76.5065993695032,0.00012,0.000106984126984127,1512,168,cnn,0,378,42,2597.2333984375,100.39677856170705,5.270903587341309,0.1295998990535736
1.0,115.22802025899955,10,11.614074112999788,515.2626953125,706.0,0.9999999531677791,814.4683837890625,81.81454274767921,0.00013333333333333334,0.00012031746031746032,1680,168,cnn,0,420,42,2640.84228515625,99.70288869907104,5.2753825187683105,0.10904645919799805
1.0,126.79576421899992,11,11.56774396000037,515.2626953125,706.0,0.9999999701976776,910.4998168945312,87.05665883563813,0.00014666666666666666,0.00013365079365079365,1848,168,cnn,0,462,42,2610.756103515625,98.95349326818472,5.158420085906982,0.12722530961036682
1.0,138.3564151659998,12,11.560650946999885,515.2626953125,706.0,0.9999999560060955,621.731201171875,84.33815170469738,0.00016,0.000146984126984127,2016,168,cnn,0,504,42,2548.1748046875,98.09182276204228,5.1469244956970215,0.10671643167734146
1.0,150.03196176300025,13,11.675546597000448,515.2626953125,706.0,0.9999999432336717,1071.231689453125,100.02805550893147,0.00017333333333333334,0.00016031746031746033,2184,168,cnn,0,546,42,2551.46142578125,97.44092277641452,5.007460832595825,0.11907647550106049
1.0,161.63046872300038,14,11.598506960000122,515.2626953125,706.0,0.9999999517486209,1369.266845703125,104.93131228855678,0.00018666666666666666,0.00017365079365079368,2352,168,cnn,0,588,42,2588.9892578125,96.99573918924268,5.077255487442017,0.10167398303747177
1.0,173.18082392600036,15,11.550355202999981,515.2626953125,706.0,0.9999999616827283,1616.6109619140625,99.95841923214141,0.0002,0.00018698412698412697,2520,168,cnn,0,630,42,2577.615478515625,96.2442312905831,4.9483935832977295,0.09347802400588989
1.0,184.76883258800035,16,11.588008661999993,515.2626953125,706.0,0.9999999701976776,1252.3341064453125,106.52918381918045,0.00021333333333333336,0.00020031746031746032,2688,168,cnn,0,672,42,2520.912109375,95.49253697170033,4.8481199741363525,0.11428239941596985
1.0,196.38195156300026,17,11.613118974999907,515.2626953125,706.0,0.9999999631018865,1057.609619140625,100.7534917195638,0.00022666666666666666,0.00021365079365079367,2856,168,cnn,0,714,42,2509.52978515625,94.74226266340841,4.872545003890991,0.130126953125
1.0,207.97137069600058,18,11.58941913300032,515.2626953125,706.0,0.9999999489103045,1572.9576416015625,112.31889505613418,0.00024,0.00022698412698412697,3024,168,cnn,0,756,42,2514.86669921875,94.22950654920368,5.059448719024658,0.1120963990688324
1.0,219.56767035100074,19,11.596299655000166,515.2626953125,706.0,0.9999999616827283,1585.2227783203125,115.63762712478638,0.00025333333333333333,0.00024031746031746032,3192,168,cnn,0,798,42,2493.744873046875,93.52253412818979,5.045106410980225,0.10428379476070404
1.0,231.19168933700075,20,11.62401898600001,515.2626953125,706.0,0.9999999531677791,3675.762939453125,154.09636293138777,0.0002666666666666667,0.00025365079365079364,3360,168,cnn,0,840,42,2630.158447265625,93.57774376292669,4.613480806350708,0.11102055013179779
1.0,242.7107949120009,21,11.51910557500014,515.2626953125,706.0,0.9999999574252537,1297.27685546875,117.5363142149789,0.00028,0.000266984126984127,3528,168,cnn,0,882,42,2498.80029296875,92.69307655672587,4.826239109039307,0.10897555202245712
1.0,254.33591673900082,22,11.62512182699993,515.2626953125,706.0,0.9999999531677791,936.30322265625,88.46540894962493,0.0002933333333333333,0.00028031746031746034,3696,168,cnn,0,924,42,2452.61328125,91.46840407051856,4.763171672821045,0.0885477215051651
1.0,266.11959142400065,23,11.783674684999824,515.2626953125,706.0,0.9999999545869374,2737.966552734375,140.28794955071947,0.0003066666666666667,0.00029365079365079364,3864,168,cnn,0,966,42,2515.1376953125,91.27300334943547,4.7209601402282715,0.12356579303741455
1.0,277.7195442900006,24,11.599952865999967,515.2626953125,706.0,0.9999999517486209,859.1004638671875,85.84629690079461,0.00032,0.000306984126984127,4032,168,cnn,0,1008,42,2414.705078125,89.97416969060544,4.625468730926514,0.10824886709451675
1.0,289.2720215490008,25,11.55247725900017,515.2626953125,706.0,0.9999999687785194,3816.626220703125,193.02948690596082,0.0003333333333333333,0.00032031746031746034,4200,168,cnn,0,1050,42,2637.3544921875,90.68409308170278,4.442005634307861,0.0814821720123291
1.0,300.85962162900114,26,11.587600080000357,515.2626953125,706.0,0.9999999545869374,1457.3187255859375,120.08049560728527,0.00034666666666666667,0.00033365079365079364,4368,168,cnn,0,1092,42,2451.713134765625,88.93754283888708,4.602120637893677,0.10417284071445465
1.0,312.4101764350012,27,11.550554806000036,515.2626953125,706.0,0.9999999631018865,749.1876220703125,83.1440829549517,0.00036,0.000346984126984127,4536,168,cnn,0,1134,42,2421.42431640625,87.77885892632462,4.281668663024902,0.0851026251912117
1.0,323.98068659600085,28,11.570510160999675,515.2626953125,706.0,0.9999999446528298,569.3717041015625,82.11376090276809,0.0003733333333333333,0.00036031746031746034,4704,168,cnn,0,1176,42,2382.1484375,86.59381879369418,4.230059385299683,0.0848143994808197
1.0,335.60635275100094,29,11.62566615500009,515.2626953125,706.0,0.9999999631018865,539.1701049804688,87.35177412487212,0.00038666666666666667,0.0003736507936507937,4872,168,cnn,0,1218,42,2361.6484375,85.83767814082759,4.347273588180542,0.09035883843898773
1.0,347.16702039400116,30,11.560667643000215,515.2626953125,706.0,0.9999999645210448,799.6353149414062,100.62309094837734,0.0004,0.00038698412698412704,5040,168,cnn,0,1260,42,2334.720458984375,84.85809241199777,4.252007722854614,0.08710791170597076
1.0,358.76868136400117,31,11.601660970000012,515.2626953125,706.0,0.9999999560060955,862.062255859375,110.85653739883786,0.00041333333333333337,0.00040031746031746033,5208,168,cnn,0,1302,42,2327.06689453125,84.38061279439856,4.628964185714722,0.08291997015476227
1.0,371.1309869810011,32,12.362305616999947,515.2626953125,706.0,0.9999999517486209,2086.528564453125,146.16041692097983,0.0004266666666666667,0.00041365079365079363,5376,168,cnn,0,1344,42,2342.19189453125,83.80934289208658,4.433399200439453,0.09277838468551636
