J_A_cross_Bcc1,J_A_cross_Bcc2,J_A_cross_Bcc3,J_A_cross_press,J_A_cross_rho,J_A_cross_vel1,J_A_cross_vel2,J_A_cross_vel3,J_A_gain,J_A_inner_shell_gain,J_A_outer_shell_gain,J_A_radial_profile_gain,alpha,analytic_numeric_relative_difference,basis,epsilon,epsilon_consistent_20pct,epsilon_relative_difference,gain_reduction_vs_alpha1,state,used_backward
0.0,1.0000056514791942,0.0,0.0,0.0,0.0,0.0,0.0,1.0000056514791942,0.5000224025559247,0.4999943354116861,1.0000056488711793,0.0,9.318620059807168e-05,channel_Bcc2,0.001,True,3.5966048644230263e-06,0.8730938605449822,train_early,False
1.5290098416656748,1.9110280786024776,5.111787159039814,1.1975431148586186,1.8378575168614444,1.4946413939634218,1.9983922538117533,4.35120091882911,7.879883950245354,7.567721044560369,1.3681141608453178,0.8702191127958707,1.0,0.0,channel_Bcc2,0.001,False,0.8644783699958305,0.0,train_early,False
0.0,1.0000020548540036,0.0,0.0,0.0,0.0,0.0,0.0,1.0000020548540036,0.5000051351878306,0.49999958882113205,1.0000020548450934,0.0,7.886323200654318e-06,channel_Bcc2,0.01,True,3.5966048644230263e-06,0.06357617584827678,train_early,False
0.1768071621480133,0.23877565294263223,0.7120849723628924,0.15262448108975604,0.21857846208288478,0.19059984876336755,0.24988422775963037,0.6125506739420125,1.0678947171809452,1.020429300371553,0.19604634763418216,0.17366606203986076,1.0,0.0,channel_Bcc2,0.01,False,0.8644783699958305,0.0,train_early,False
0.0,0.0,0.9999302008898787,0.0,0.0,0.0,0.0,0.0,0.9999302008898787,0.49986224908126914,0.4999995653374856,0.9999301951042758,0.0,0.00023009130587037057,channel_Bcc3,0.001,True,7.233930965697965e-05,0.8765101722571396,train_early,False
1.5379569036856418,1.825575571572438,5.39786867986482,1.239844756342928,1.777572380653114,1.5029737775483156,2.0039197324296825,4.445122971439735,8.09726776015922,7.7685020958300335,1.394276328142362,0.7123848110220451,1.0,0.0,channel_Bcc3,0.001,False,0.857852120070285,0.0,train_early,False
0.0,0.0,1.0000025403833053,0.0,0.0,0.0,0.0,0.0,1.0000025403833053,0.5000050342948886,0.4999999693245831,1.0000025398425219,0.0,6.198928673928574e-05,channel_Bcc3,0.01,True,7.233930965697965e-05,0.13119519180251624,train_early,False
0.20158193890818824,0.23320516573469366,0.7776828695231613,0.1527249828750833,0.21566234008820057,0.1847310974594546,0.2543674139514275,0.6755358208814907,1.1510094453298647,1.1069326009504623,0.19583281695191634,0.13695376118982808,1.0,0.0,channel_Bcc3,0.01,False,0.857852120070285,0.0,train_early,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999309424804222,0.9999309424804222,0.49987658919501526,0.4999942167239066,0.9999309383566094,0.0,0.00023255575285953566,channel_vel3,0.001,True,6.85804446553917e-05,0.8642635883923719,train_early,False
1.4428645777025682,1.7212731232459144,4.8517193483927405,1.0753895430588682,1.6924907507682925,1.3952918968924342,1.9123714060310786,4.007445858115281,7.366711191473906,7.005719340556957,1.4329913851257325,0.784517691858794,1.0,0.0,channel_vel3,0.001,False,0.8385724174927823,0.0,train_early,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999995228923574,0.9999995228923574,0.49999974392302843,0.49999958137053563,0.999999522601242,0.0,5.6689090936322056e-05,channel_vel3,0.01,True,6.85804446553917e-05,0.15909215140806288,train_early,False
