alpha,channel,decoder_derivative_finite,decoder_derivative_maximum,decoder_derivative_median,derivative_over_train_q999,evaluation_clamp_occupancy,fraction_outside_train_min_max,fraction_outside_train_q001_q999,gate_0_passed,gate_1_floor_reference,gate_2_failed,gate_3_passed,global_variance_retention,high_k_retention,inverse_clamp_occupancy,inverse_clamp_policy,legacy_flags,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,normalized_relative_l2,normalized_state_norm,physical_finite,physical_maximum,physical_minimum,physical_relative_l2_to_p3_oracle,physical_relative_l2_to_raw,radial_transport_skill,residual_cosine,residual_norm,residual_over_true_residual,residual_sign_agreement,rho_press_positive,rout_failure,shell_radial_variance_retention,shell_transport_skill,source_index,split,stage_p_primary_driver,target_index,true_residual_norm
0.0,Bcc1,True,0.511219239224603,0.018437032782856466,0.26853992640456936,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,0.0,0.0,0.14606461459989645,15289.2666015625,True,0.13160766661167145,-0.13160766661167145,0.14375006673260313,0.14375004508677897,,0.0,0.0,0.0,0.5306777954101562,True,True,,,11,train,False,12,44.18395188785646
0.0,Bcc2,True,0.005108908505369724,0.0002924510610431679,0.26234633274831565,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,2.195566843833638,1.5366350454798254,0.0,no_softclip,,0.0,0.0,0.0,0.2684831121567946,15289.2666015625,True,0.01824052631855011,-0.007580220233649015,0.5784188987990068,0.5784187533487265,2.9604241524872066e-07,0.0,0.0,0.0,0.549560546875,True,True,1.1621884771042024,3.98351525876528e-07,11,train,True,12,326.8346459253717
0.0,Bcc3,True,0.00436187393250392,0.00027282756235000083,0.17719329280407664,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,0.9470812854207119,0.9606508928980386,0.0,no_softclip,,0.0,0.0,0.0,0.12764977926067814,15289.2666015625,True,0.15044867992401123,-0.15044865012168884,0.13134465559514968,0.13134465905411907,4.184896695291762e-06,0.0,0.0,0.0,0.537109375,True,True,0.9232232588547389,-1.6781827638645552e-07,11,train,True,12,1472.801314018836
0.0,rho,True,3.23142322933613,0.0017013021008923052,0.8689576392767595,0.0,0.0,0.00439453125,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,0.008448004722595215,0.0018808039489125418,0.0742647949833415,15289.2666015625,True,1.0077409744262695,3.7620750390487956e-06,0.015233003397397915,0.01523296449358667,,0.0,0.0,0.0,0.49317169189453125,True,True,,,11,train,False,12,39.29098783332952
0.0,press,True,0.05613781049563789,0.00017450034792198754,1.0077673282779864,0.00390625,0.001953125,0.005126953125,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,2.384185791015625e-07,0.024935483932495117,0.00540468458879927,0.13018716976090208,15289.2666015625,True,0.018160317093133926,2.0342165285569536e-08,0.22425475506812204,0.22425414504256583,,0.0,0.0,0.0,0.4042243957519531,True,True,,,11,train,False,12,66.16465909463577
0.0,vel1,True,0.859552995080234,0.18494507010849648,2.247154860309683,0.0,0.0,0.0009765625,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,0.9943166141510034,0.17138899519006123,0.4609482632275171,15289.2666015625,True,1.7602980136871338,0.004259854555130005,0.33961294663960334,0.33961295902170097,,0.0,0.0,0.0,0.462646484375,True,True,,,11,train,False,12,200.2505034730771
0.0,vel2,True,0.11000763374790938,0.0022889067953879827,1.0850165728636914,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,,,,,0.0810546875,canonical,,0.0,0.0,0.0,0.3269595690185355,15289.2666015625,True,0.03573155030608177,-0.03573150932788849,0.3548752496175958,0.36542531293947994,,0.0,0.0,0.0,0.4990234375,True,True,,,11,train,False,12,460.5759912167238
0.0,vel3,True,0.006249537981890898,0.006249537981890898,1.0,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,0.9655221505406696,0.9617204812087164,0.0,no_softclip,,0.0,0.0,0.0,0.06350341928278501,15289.2666015625,True,0.6206037402153015,-0.002596247009932995,0.06263456815543295,0.06263457529959585,-1.1915574813503582e-06,0.0,0.0,0.0,0.633087158203125,True,True,0.964353177753125,-3.3308281703892106e-06,11,train,True,12,655.5476373543361
0.125,Bcc1,True,1.4388974506562464,0.015805695047972624,0.7558428671210207,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,Bcc1:possible_high_frequency_ripple,0.0,0.0,0.0,0.16420329008754653,15212.8203125,True,0.14378328621387482,-0.36409497261047363,0.4569364561707286,0.45693651556395615,,0.07771026848749372,26.384771958568834,0.5971573576201643,0.5828971862792969,True,True,,,11,train,False,12,44.18395188785646
0.125,Bcc2,True,0.004627107559538675,0.00029344193816649417,0.23760548817836608,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,1.694487367188782,1.259436056749985,0.0,no_softclip,,0.0,0.0,0.0,0.2328319224323676,15212.8203125,True,0.016426028683781624,-0.006382711231708527,0.4065205861781834,0.40652047139805897,0.3338769423082859,0.5020291072331674,143.17632069683646,0.438069594156578,0.4872322082519531,True,True,1.1706308946809285,0.3839240811177038,11,train,True,12,326.8346459253717
