Bcc1_physical_relative_l2,Bcc1_plain_loss,Bcc1_radial_error,Bcc1_residual_cosine,Bcc1_residual_relative_l2,Bcc1_shell_error,Bcc1_state_relative_l2,Bcc2_physical_relative_l2,Bcc2_plain_loss,Bcc2_radial_error,Bcc2_residual_cosine,Bcc2_residual_relative_l2,Bcc2_shell_error,Bcc2_state_relative_l2,Bcc3_physical_relative_l2,Bcc3_plain_loss,Bcc3_radial_error,Bcc3_residual_cosine,Bcc3_residual_relative_l2,Bcc3_shell_error,Bcc3_state_relative_l2,decoder_extreme_tail_fraction,display_name,formal_best_epoch,physical_relative_l2,plain_residual_loss,press_physical_relative_l2,press_plain_loss,press_radial_error,press_residual_cosine,press_residual_relative_l2,press_shell_error,press_state_relative_l2,radial_error,residual_cosine,residual_cosine_error,residual_global_relative_l2,residual_relative_l2,rho_physical_relative_l2,rho_plain_loss,rho_press_physical_tail_contribution,rho_radial_error,rho_residual_cosine,rho_residual_relative_l2,rho_shell_error,rho_state_relative_l2,shell_error,source_snapshot,split,state_relative_l2,target_snapshot,variant,vel1_physical_relative_l2,vel1_plain_loss,vel1_radial_error,vel1_residual_cosine,vel1_residual_relative_l2,vel1_shell_error,vel1_state_relative_l2,vel2_physical_relative_l2,vel2_plain_loss,vel2_radial_error,vel2_residual_cosine,vel2_residual_relative_l2,vel2_shell_error,vel2_state_relative_l2,vel3_physical_relative_l2,vel3_plain_loss,vel3_radial_error,vel3_residual_cosine,vel3_residual_relative_l2,vel3_shell_error,vel3_state_relative_l2
0.6121423079742577,0.6591869234829854,216.46624672316585,0.8334684303071923,0.5545209975499559,48.7337990560897,0.209044301549005,1.4347987870885004,173.58185041277204,0.7825398714726157,0.7951732689105379,0.63018475650496,34.63566244657763,0.36736194127810584,0.20427009103037258,130.77549284142688,0.6724657422166009,0.9313070713119677,0.36558785568036684,0.2647358127720652,0.13621813862070595,0.17879724502563477,Direction,150,2.2868095174869632e+21,311.06193724264824,202012406771705.1,0.048184186359212455,371073036446161.0,0.3205017929513381,1.0963178605619737,1.8138373307303782e+30,0.17439467276234133,0.7825398714726157,0.8849991550002307,0.11500084499976926,0.46693595013876993,0.8190165610768353,1.8294475937883298e+22,0.039444594354500366,1.0,2.1054326948275184e+22,0.391038326950597,1.1072447321659398,9.549665922878577e+45,0.201307576290311,4.816651123298214,169,validation,0.2467977281993564,170,direction,0.0682870820978999,0.05141544042970671,2.9581019780786875,0.18857599153295856,1.1163042864778225,1.0518213256106415,0.09735914397108535,0.7168755110265551,3.134918574007007,10.642789017836748,0.6991010153686928,0.7349190681581306,2.9917920526282806,0.6505160830217317,0.13405192057586007,2.771444269815939,2.2418096709646154,0.46225510708780043,0.9470529315155332,4.816651123298214,0.13817996810156494
0.6117551701919127,0.5579389739336548,86.01253494746338,0.8508734984878549,0.5259924344857474,26.880392177646716,0.19210951263554923,0.6152129031739944,152.5133417977146,1.7974631393762037,0.8307018587181023,0.5595493047152593,4.168554947569696,0.33995405629869996,0.1371512505102782,82.65624472414515,1.18873032940928,0.9559496682549015,0.29543531602715706,0.6663129939227799,0.10773033001770327,0.17943239212036133,Direction,150,18753538785039.938,240.99308359085077,131493655539611.39,0.043339290809031636,364557157208187.8,0.3699718016766046,1.053266779678724,5.1215543134413585e+29,0.1648578523597038,1.7974631393762037,0.9128009596469229,0.08719904035307713,0.4084136287533036,0.7730968749412805,18534654740705.863,0.03513688798058614,1.0,9998232314593.785,0.4437183353576425,1.0559413778013593,1.8602402468063957e+27,0.1895545918530343,4.168554947569696,170,validation,0.22752842788986455,171,direction,0.06471000777630273,0.04479327066673453,3.0371878528944136,0.24872997446909761,1.094483217329122,1.0475283019285795,0.09097230711911929,0.6845999111411072,2.715601100258609,2.832252019983191,0.7294723448605631,0.6989509368834963,4.879968101365429,0.6055620326636236,0.12559833416101085,2.426687545342411,3.87169651417733,0.5233644500099824,0.9011556326093789,4.785127904995174,0.12948674017148293
0.6227949750338602,0.6532777616568419,155.00125532931241,0.8106642632701947,0.5867593442401593,50.188062671729334,0.2077080809991073,1.2860263090757762,173.5673573555822,0.5974516384561038,0.8191752458614525,0.5786664105508664,26.946184214709838,0.36426868950449814,0.19544654044131296,158.23538056040172,1.8999565125429332,0.9104817785930717,0.4141237307761011,3.8315562221493784,0.1481579850574508,0.17939043045043945,Direction,150,1.1756009825508679e+21,338.52324681377974,184015630035163.22,0.047090826507872614,1151149571191947.0,0.3218771232073479,1.1233202151266837,9.09992199312713e+29,0.17160645904202712,1.8999565125429332,0.876669942449599,0.12333005755040105,0.4829612226581139,0.8396773310672475,9.404807676391313e+21,0.03748523975816928,1.0,1.3582630184370425e+22,0.4162952788121795,1.1167451265652821,2.3515498874947472e+45,0.19570459975123533,3.8315562221493784,171,validation,0.24630488686950985,172,direction,0.06574395663554586,0.046143380722209526,2.676439095628508,0.20460275561461336,1.1607938470046582,1.038049498860554,0.09223253459268824,0.7017615452575332,3.039941103517641,4.971829794354983,0.6889160188715893,0.7566125455792613,0.9446463756574446,0.6491881832329917,0.13730008948322106,2.8965705856331025,3.393016573371957,0.4452706395042995,0.9803974286949687,3.0383056579446537,0.14157256277608027
0.6190297601863132,0.6128910825556685,84.69486363985098,0.8032277346984565,0.5997933509067476,29.813897449884834,0.20101486998359502,0.5144123139481027,136.10020644589923,1.557026833460797,0.8140717375068963,0.5875806762502349,3.1170787126140937,0.3212841810303726,0.189297527674143,154.31588486483022,1.6055840572053723,0.9048218369298487,0.42843717103914664,0.022488452643000725,0.14585817640135076,0.17929458618164062,Direction,150,1.1182626533201391e+21,296.198987184709,176303619861042.94,0.04109160393102455,516954490507730.3,0.34056612977605927,1.079798435013732,1.2856460842817709e+30,0.15986415676327106,1.6055840572053723,0.8750511442329012,0.1249488557670988,0.4879102557460338,0.8210340684249087,8.946101050257493e+21,0.03134915824181832,1.0,8.393150524811567e+21,0.4374714128713196,1.069889554972728,1.283444464867681e+45,0.1786841497749797,3.1170787126140937,172,validation,0.22755596642711456,173,direction,0.06132287537312339,0.03865973671950379,2.2949849962912645,0.23612615371039297,1.1257243357337723,1.0664254796531512,0.0843494076851996,0.6672906548037236,2.541122644643444,9.498874607731507,0.704570213136597,0.7344799501750192,3.9759778006440816,0.5976768686279672,0.1277432338524058,2.5177816478880777,2.854720650164409,0.4707174707663349,0.9425690733078886,8.921889269799772,0.1317159211501806
0.6236922676798518,0.639247090501565,405.2150523284253,0.7655832599646126,0.647529606097178,39.37155021311159,0.20511357062116742,0.6680621532208303,146.6871564565007,1.7848741824131138,0.7599414151657828,0.6696603472644305,15.33009147111253,0.33531663036461407,0.16133534385341444,194.86290978987415,1.3990022319359046,0.8637554321346781,0.5066520313471584,1.9780615394639678,0.16323205427817136,0.1794877052307129,Direction,150,1.850484441253741e+21,347.515285295442,169488737930971.47,0.03722337599089488,423976443895067.2,0.33112590404986597,1.0686615071779237,2.6500051272437825e+30,0.15227820496370892,1.7848741824131138,0.8306832510814807,0.16931674891851933,0.5634190129619315,0.8564600303573792,1.480387536054119e+22,0.02802859466336562,1.0,1.6531540462061991e+22,0.4267549544148331,1.0703528255462098,2.4630938567478974e+45,0.1690044009140018,5.830286059185522,173,validation,0.23158799738559163,174,direction,0.05861253855729351,0.03409598506906843,1.9104902070943564,0.22484053265731183,1.1252143999273079,1.1994049346796742,0.07905887315753224,0.6725752062956148,2.666187139705638,3.7327580175170554,0.6416955062102244,0.8027062319517673,0.9853719016795964,0.6160421231950403,0.1286552818286786,2.5604368631367005,2.767984223862804,0.42476360184498874,0.9609032935470577,5.830286059185522,0.13265812159049695
0.6188576425637157,0.589413006834866,293.878721581932,0.7649225052589128,0.6482489151768155,35.03608163170212,0.1968199463926111,0.6288625974638198,146.26448862777724,1.4950438523220062,0.7216389768619752,0.7232650338425654,12.53640493860644,0.33299080299919626,0.1583018924543664,187.19192453758077,0.6624637892962277,0.8603688651319854,0.5114105038624971,0.9294784632567296,0.15884175637557577,0.17987871170043945,Direction,150,7992428518223.791,338.792334978118,63335464908345.32,0.03215584225435793,218999548656834.75,0.36232568733649884,1.0422086612889583,1.73939935648829e+29,0.14127128222388538,1.4950438523220062,0.8188812689948313,0.18111873100516873,0.5811561762458574,0.8582962679652884,603963237442.7869,0.02470456605170499,1.0,1089330727576.2435,0.44338993796818826,1.0605068015180592,1.1773907760279987e+25,0.1586357036624948,0.9294784632567296,174,validation,0.22098497158097186,175,direction,0.05613396843743997,0.029786150834791865,1.8352009059806997,0.23333017231640174,1.1341628481944694,1.409238466290072,0.07365767468385272,0.637270013897183,2.3613071057719544,3.7066978973834934,0.6505403223849522,0.7892127418630649,4.170187974094878,0.5819312548092456,0.12006912971970486,2.2985551410123235,1.5500723698325836,0.4390195321691446,0.9573546379758772,0.4446941147938787,0.12373135150091323
0.624196493406567,0.5361188801147794,195.0945675262448,0.7549417220662111,0.6679209547375464,34.40895921773723,0.18758566714077649,0.5081662689713837,135.4135778928213,2.4103632511388846,0.7550092938215963,0.6605650120998506,28.72685243842348,0.3190709563828446,0.1487818875807487,164.72875352487154,0.8442827984500645,0.8611974277856586,0.5137250433105071,0.8236588812690704,0.14863846886368187,0.1796131134033203,Direction,150,9.894524186423299e+20,305.44252996213197,155000348226371.3,0.027871991961338303,259925005458004.72,0.3653208229680935,1.0599400921455853,2.764181689127922e+31,0.1309624345961897,1.2252097262349309,0.8256516613423734,0.17434833865762656,0.5694407471830994,0.8581058200047799,7.915619194138291e+21,0.021363381790196048,1.0,6.442840183721912e+21,0.4553626616304572,1.0837373480580188,5.679712276366022e+44,0.14739008205532542,3.0809977046185653,175,validation,0.21331370674670186,176,direction,0.05374232341979335,0.025978869473304047,1.8549458929937732,0.2553696098169615,1.1251372759439526,1.7382195258528235,0.06856662859843075,0.6272187698804006,2.3099848741771343,2.4309762475613907,0.622928711614577,0.8130784164418474,1.047295616524346,0.5774462977600721,0.12304938876402292,2.378880546922402,1.2252097262349309,0.43889650830773036,0.9407424173009306,3.0809977046185653,0.12684911857629388
0.6277997968187535,0.582067566769352,243.18977219160348,0.6717657198866545,0.7621138842364679,33.2758115847181,0.1953301220000362,0.6302428514409969,134.8991783408501,1.2294726860272591,0.7026343465296708,0.7250105161602606,81.25345218420655,0.3192777284982904,0.1544219000383343,216.26553035652967,0.8293915557763318,0.766438740857985,0.6603482315712205,0.9422376283385622,0.16987167386487997,0.17964506149291992,Direction,150,1.0010507538726085e+21,355.87695911110836,139946908694852.94,0.023914296588720733,209753989084225.3,0.339719749058126,1.0866341475103387,8.235994968151285e+29,0.12119839363023797,1.2294726860272591,0.7437668932860477,0.2562331067139523,0.6849547997295653,0.917265276127263,8.00840589103396e+21,0.01901216131620201,1.0,9.239691855667644e+21,0.4219584264870219,1.1296506259504018,1.1619734752356268e+45,0.13900181478631504,2.3688153619745798,176,validation,0.20999481197489123,177,direction,0.051723100754095384,0.023319426137303957,1.5942001251112052,0.21508902950993058,1.138155509172273,1.9423755321766205,0.06471435202046313,0.6085035369448573,2.1024321193055258,3.942658701623495,0.5750064709268002,0.8653074889443323,0.6392512170629594,0.5553308452960024,0.11177765285320183,1.9615048436115199,2.814602348649112,0.4062373169680537,0.9709018054728089,2.3688153619745798,0.11523356570290492
0.6256590754391311,0.46561474629455923,355.3402726451637,0.6906758084506388,0.7377796029911607,31.874145341520627,0.17459324205803003,0.419069267418214,95.9641938695396,1.5435360626738155,0.694654191279024,0.7318121583401492,8.917098711517541,0.26896051768353074,0.13074495353136528,150.33764707257114,1.1128859038704515,0.7966747723389116,0.6208643495476712,1.0390482845097588,0.1410890440140513,0.17958736419677734,Direction,150,469516333.0725896,250.24504228882836,7550318.102253988,0.02020339498799027,41262992.82079678,0.3467054210048137,1.05736118488,2009835193686421.5,0.11117777881388209,1.5435360626738155,0.7640999781875359,0.23590002181246406,0.6602537198088908,0.9011629438448214,3748580344.6111217,0.01528646703854952,1.0,2159959935.8722258,0.44010070163626913,1.0935234223755563,7.634693997186666e+19,0.12448410079323163,1.0390482845097588,177,validation,0.18610107639050527,178,direction,0.04783815132412042,0.019366811668726842,1.2675784217675548,0.2391572424076137,1.1008580203835103,1.8575377319457802,0.058771538447111804,0.5402454371532223,1.7107957737987738,3.632091661630047,0.5357285529133856,0.8996950910233655,0.7902025159626681,0.5027663074842974,0.1037843164354047,1.7119341529290153,2.2006958701533383,0.3993411107671655,0.9674097212171584,0.7530980465688738,0.10696608182990716
0.624622377396646,0.39757338689569144,144.5877058972379,0.561358865195175,0.8748059972396433,37.49732626153467,0.16126379080749623,0.3396397078342457,73.4814119397584,0.9871226771286815,0.656456035054722,0.7801165534254599,12.790707257549823,0.23532079074580092,0.12191751448537641,134.42556269586294,1.2976121815622876,0.656367437775992,0.8573462050030523,1.1068827337859632,0.13274703686423261,0.17946720123291016,Direction,150,20721615.632998798,211.08277280178504,39498197.74027159,0.013534443151883837,124437363.03364201,0.2579992719304501,1.1823062075942656,2.8658569154143692e+16,0.09069904114120433,1.2976121815622876,0.650569038247656,0.349430961752344,0.8295128973567659,1.025534059980791,126274725.61982648,0.01065658679807437,1.0,137517580.37640837,0.3458112087012852,1.337996414893168,2.4408528349053632e+17,0.10382186768465149,1.7874091966645242,178,validation,0.1642116565944305,179,direction,0.044412767208803675,0.01590978341489238,1.3123254182873465,0.16177111376693756,1.116738160219255,1.6134342630520002,0.05301402501805817,0.47777508953346476,1.2809813558625778,2.465875624748888,0.41506884633212254,1.0292427025799362,0.7261050365668973,0.43837833984848845,0.09552484860329996,1.4571426100405847,2.3393781313077997,0.28684476900075345,1.0257202388915465,1.7874091966645242,0.09844836064551181
