channel,gate0_passed,gate1_floor_limited,gate2_failed,gate2_failure_steps,gate3_passed,radial_sign_agreement,radial_skill,shell_sign_agreement,shell_skill
Bcc2,False,False,False,,False,0.25,-13.721597186558345,0.375,-19.748242755903934
Bcc3,False,False,True,3;5,False,0.46875,-6.460108556611735,0.625,-1.8826713845048975
vel3,False,False,False,,False,0.53125,-7.913691328061686,0.625,-7.343446934298738
