E_model_oracle,E_model_raw,E_norm,E_oracle_raw,channel,excess_absolute,source
0.1052135690179069,0.10521371150652152,0.06918829591132131,7.039665287182059e-07,Bcc1,0.1052130075399928,p3_persistence
0.33283533066799326,0.3328353822213412,0.316462433254866,3.0670744646867807e-07,Bcc2,0.3328350755138947,p3_persistence
0.11293321003874132,0.11293322507611929,0.17735783303081304,2.990755831058846e-07,Bcc3,0.11293292600053619,p3_persistence
0.31590494068746156,0.3159049938310539,0.11630872275466138,1.4184203194238466e-06,rho,0.3159035754107345,p3_persistence
0.1537711518133895,0.15377125770352362,0.12949292137482452,1.1056845413913002e-06,press,0.15377015201898223,p3_persistence
0.13015463700404273,0.13021332080564763,0.14043734787901932,0.002301833765517567,vel1,0.12791148704013006,p3_persistence
0.40994761690103665,0.6373135643383275,0.36947157458994223,0.5668103043715379,vel2,0.07050325996678963,p3_persistence
0.12255868570745232,0.12255868444842903,0.12340624890221268,6.216224331435119e-08,vel3,0.12255862228618572,p3_persistence
0.21041489272975306,0.23884301749137044,0.18026567221220757,0.07113950426921474,arithmetic_average,0.1677035132221557,p3_persistence
0.25190217772450535,0.2519089713700551,0.16827490806676704,0.0019117862216673045,global_relative_l2,,p3_persistence
