channel,residual_relative_l2,zero_residual_relative_l2
Bcc1,2.413806610231471,1.0
Bcc2,1.0484552134612795,1.0
Bcc3,1.0044651482621103,1.0
rho,2.0410165906658624,1.0
press,1.5103660622894794,1.0
vel1,1.229474441432683,1.0
vel2,1.0576117150630826,1.0
vel3,1.0051353511128995,1.0
