channel,p3_persistence_normalized_l2,stage_o_direct_normalized_l2,stage_o_model_to_oracle,stage_r_model_to_oracle,stage_r_over_persistence,stage_r_over_stage_o,stage_r_residual_normalized_l2,stage_r_residual_relative_l2
Bcc1,0.06918829591132131,1.2351180252581522,1.5703293679218278e+21,3846.702132839006,2.4138066101101465,0.13521555235832464,0.1670071660130042,2.413806610231471
Bcc2,0.316462433254866,0.6551658168563063,0.8083771592811451,0.5177962810522279,1.0484552134653287,0.5064316230722381,0.33179668801198786,1.0484552134612795
Bcc3,0.17735783303081304,0.3470175955398667,0.6252486403167822,0.11875247286998813,1.0044651481420368,0.5133738586145546,0.17814976202944624,1.0044651482621103
rho,0.11630872275466138,1.5235901726802001,0.9847128124309628,327.2796595489844,2.0410165906871485,0.15580832499483654,0.23738803278389575,2.0410165906658624
press,0.12949292137482452,1.3847718934306164,0.9979493091782237,7.212505404296277,1.5103660625838398,0.14123749529956214,0.19558171378937245,1.5103660622894794
vel1,0.14043734787901932,0.9329977461394336,0.8230905218273815,0.1591021951661028,1.229474441577716,0.18506382311711242,0.1726641298602127,1.229474441432683
vel2,0.36947157458994223,1.9961424737142912,1.6860458168014876,0.45511049497062706,1.057611714966491,0.1957563003538233,0.3907574656334386,1.0576117150630826
vel3,0.12340624890221268,0.3020848693151454,0.30001012807303995,0.12318806753054028,1.0051353509108416,0.4106130292991053,0.1240399832949162,1.0051353511128995
