adjacent_pair_residual_cosine_mean,channel,count,fraction_below_numerical_tolerance,high_k_energy_fraction,low_k_energy_fraction,maximum_magnitude,mean,mid_k_energy_fraction,q001,q01,q50,q99,q999,radial_residual_profile,residual_state_norm_ratio_mean,residual_state_norm_ratio_median,rms,shell_residual_variance,split,std
0.5246380941450631,Bcc1,20709376,0.00728863100462322,0.0019129834161701414,0.9175357375547354,2.1306142807006836,-4.349497027929223e-05,0.0805512790290944,-0.5476270914077759,-0.10704505443572998,0.0,0.10733622312545776,0.5429877787828445,"[9.59694738458559e-06, 8.923383621216008e-06, 8.338973732205414e-06, 7.248762663442028e-06, 5.1958311446411885e-06, 6.020090489683649e-07, -6.129595862194613e-06, -2.4357601455737e-05, -4.6143754233629737e-05, -5.9232933784222016e-05, -6.46289840857852e-05, -7.073046896338486e-05, -7.233500006885703e-05, -7.464711390777574e-05, -7.42034504191561e-05, -7.191687611247047e-05, -6.784643612056382e-05, -6.216746680388784e-05, -5.4665345073138994e-05, -4.512555858438438e-05, -4.1821502417739876e-05, -8.047864089866943e-05, -0.0002191540225892454, -4.939819080281947e-05, -1.999378800283472e-05, -0.00022820577448581827, -6.422130242158289e-05, -3.785208020958577e-05, -0.00018353043144816758, -5.344172605913903e-05, -0.0001154979900528487, -7.544602686157074e-05, -8.08146823077596e-05, -7.425898186024997e-05, -6.471019145309686e-05, -5.58751289300065e-05, -5.2109372495291196e-05, -4.3826524452475795e-05, -3.769961302721272e-05, -3.28743363591261e-05, -2.9087132778714257e-05, -2.8218724856984246e-05, -2.6807003312661678e-05, -1.4995709039518445e-05, -1.6721473348067626e-05, -1.9069980790166632e-05, -2.2648492257401444e-05, -2.870545439334451e-05, -3.486257718048111e-05, -3.52348578089041e-05, -1.6353727104416655e-05, -1.2378141242393961e-05, -9.297173152796134e-06, -5.869881730519939e-06, -5.878462579795325e-06, -5.847294810675009e-06, -6.3744661901033805e-06, -8.631278347985104e-06, -1.0901729587218335e-05, -1.2351478115200313e-05, -1.2919213812232408e-05, -1.4589261591014736e-05, -1.8290600334675512e-05, -2.2208998494060693e-05]",0.050687098351968655,0.021673127731016175,0.06087627094478234,"[0.005905331254465815, 0.008232066745593599, 0.007637777858427074, 0.005888907080809418, 0.0014351934636769356, 0.0003449976686387279, 0.0001868925185135901, 1.6172384819148078e-05]",train,0.06087625542463455
0.4347595075547561,Bcc2,20709376,0.009697636471518988,0.0003126055104613481,0.9608573104264044,21.937419891357422,-0.06354637332459193,0.03883008406313418,-6.024627387523651,-2.0828880667686462,-0.00038295984268188477,1.3215550780296326,8.554407119750977,"[-0.015768694996673913, -0.048995081330770206, -0.09703377184186011, -0.1562873833416556, -0.20704168337500892, -0.21848323202854622, -0.2204622243886511, -0.21881282044685438, -0.21460820231364963, -0.20864273651249035, -0.20187920100704415, -0.19322037040595355, -0.18518635826827057, -0.17708051741234918, -0.1687132502270115, -0.16074032969878385, -0.15334627879953205, -0.14639416592566865, -0.13972019029812502, -0.1327456754968784, -0.12404434980351053, -0.11147854833480747, -0.09442037241251743, -0.08086183675855717, -0.07089859475021242, -0.06302927466507857, -0.055041504561779246, -0.046893495967922236, -0.03914815471843431, -0.03205770311088928, -0.025659066476332038, -0.02005678333503804, -0.01531330214060696, -0.010689693144299022, -0.007877618105892178, -0.005619664557385373, -0.003953795951154139, -0.0026379083764160676, -0.0015907390672259393, -0.0007010823279901897, 0.00011211222266998056, 0.0007294300724970238, 0.0010275253966635974, 0.001212427015697001, 0.001842392053170362, -0.0003191744255696282, -0.0013977785830907642, -0.0006651266086942375, 0.0018023055771997942, 0.001597537019469074, 0.0013585119671961942, 0.0011649306676950295, 0.0009834037581974452, 0.0005282502237536437, 0.00014286385602288278, -1.9097592036204438e-05, 4.206186243704273e-06, 4.158661070079366e-06, 9.582460492472105e-06, 1.1149811362435074e-05, 1.4107336166397303e-05, 9.325099372175298e-06, 8.788223037955976e-06, 5.9335093570967455e-06]",0.15854065568686343,0.0833541933260228,0.7525622981644567,"[3.516478813607022, 0.6738501648556742, 0.19521716653019983, 0.06395567317757167, 0.00630979395756788, 0.00036690551773440374, 4.7727643339132576e-05, 3.5532658070453143e-07]",train,0.7498745701702642
0.607541908034539,Bcc3,20709376,0.009740563887584059,0.001142676452913229,0.9283623769778645,106.25291442871094,0.0032091804182962647,0.07049494656922227,-21.640482425689697,-5.857706069946289,0.0,5.893937110900879,21.76806879043579,"[0.005615557868127959, 0.012948825474993526, 0.02060703398907392, 0.01860984091800225, 0.008901937539052643, 0.008624164270431604, 0.01450167234347473, 0.011794460476877145, 0.009713313463836602, 0.0076925503307381715, 0.007763887221756969, 0.008052260241808504, 0.005639336872931542, 0.004309049812508408, 1.3264657331713846e-05, 0.0008225387102264662, 0.003199872671458148, 0.0024156234145220304, 0.001322668263499716, -0.0003336734239555766, -0.0008746592797873331, -0.0009814844935348607, -0.000525930947961984, 0.0007445000127650537, 0.0019006805834961493, 0.0028782863465703686, 0.003399923841222299, 0.0036012334510510885, 0.0036344605619072217, 0.003600194316581433, 0.0035327496826184123, 0.0033617607412633936, 0.00320542192167462, 0.002958130964210525, 0.002744858798226652, 0.002533363786279919, 0.002335715133817113, 0.0021578803991865363, 0.0019825547043451253, 0.001817530293146972, 0.0016741554265962892, 0.0015456768186589353, 0.0014629592213147844, 0.0006110734924062915, 0.0005616939952454144, 0.0004990903045489798, 0.0004348336458340271, 0.00037693681488053856, 0.00031771941698499335, 0.0002571528098893802, 0.0002520556020200716, 0.0002185404870905583, 0.00018696634074514737, 0.00015904022156700408, 0.000133671003112211, 0.00010305620998617521, 8.246792390017392e-05, 7.646732885364647e-05, 6.923990848807572e-05, 5.488170220152584e-05, 3.6581735608936436e-05, 2.532602449571841e-05, 1.6076079043763796e-05, 1.052832371271895e-05]",0.052588919186828606,0.029760046759733556,2.3700250281821327,"[27.242159224203814, 14.112623390083792, 2.7156389975657875, 0.7805138706055199, 0.07704729293574128, 0.007126839033660237, 0.0007793795331892761, 5.06926469116757e-05]",train,2.3700228548926656
0.6596672796751779,rho,20709376,0.2693803038778184,0.0007315089007007312,0.917660214064713,2.6054041385650635,0.006225407305666621,0.08160827703458635,-0.26448488235473633,-0.11812710762023926,0.0,0.20823237299919128,0.8892108798027039,"[-0.0005457022107984351, -0.0005429083996458285, -0.0004991166786544166, -0.00042665163456621474, -0.0003373542534558786, -0.0002394718430417625, -0.0001028157248238361, 8.026401899516276e-05, 0.00030789920276243096, 0.0005061726451113148, 0.000609273889195616, 0.0005969256160801418, 0.0005260428134315128, 0.0004193871451966918, 0.0002919510698581079, 0.00014476119989162322, 2.6215082079598007e-05, 4.570434058349966e-05, 0.00022865132295455363, 0.0005189412134852111, 0.0038611369193404244, 0.007009400858912239, 0.009022715633870542, 0.010019366490176922, 0.010651083338623583, 0.011185597384021145, 0.01171553032898235, 0.012223624939987174, 0.012656836661013193, 0.013030524839738478, 0.01328085196167459, 0.013489023973882387, 0.013792045707005752, 0.014161263449324583, 0.01444964375696145, 0.01478075235695254, 0.015123460366028874, 0.015588527032147645, 0.016131723274248784, 0.016759687122119636, 0.01751051095506446, 0.0181079603170002, 0.018808926729549588, 0.019181103207324957, 0.014015263647557225, 0.009554766512159219, 0.006150133605600947, 0.003973754684023023, 0.0033763465798983816, 0.002814011549058774, 0.001941553098086969, 0.0010207042656544172, 0.0013541072451205972, 0.0027777596132400966, 0.003715095476291947, 0.003658277550049563, 0.0033675810538418, 0.0030665953140151378, 0.0029122657037584723, 0.00260463424444735, 0.0024099441483186536, 0.0020522561548366154, 0.0018659469169045833, 0.0016456037812094097]",0.04826177896366336,0.03208589910623843,0.06898343451719338,"[0.0005846772409640976, 0.0006433471739281366, 0.006982279370185284, 0.01645500217589996, 0.00731405417898322, 0.0017123349363159378, 0.002313757699430651, 0.0014777035005919257]",train,0.06870195442371746
0.6167144748128086,press,20709376,0.09569708908660503,0.0035114243598774056,0.831440124825716,1.6920812129974365,0.0025486172036252833,0.16504845081440656,-0.3419075608253479,-0.14584672451019287,2.384185791015625e-07,0.19843518733978271,0.7869132161140442,"[-5.86098850604524e-05, -7.148066652007401e-05, -5.633282531170717e-05, -2.464147091583832e-05, 2.4165513872204323e-05, 8.889059447742338e-05, 0.00020628700311342845, 0.0003755517544142336, 0.000562386830408079, 0.0006852240713911508, 0.0007203912415506342, 0.0006196063042830535, 0.00048350344472446866, 0.00033537504396584074, 0.0001816737933063738, 3.059088864770447e-05, -7.567557788459891e-05, 3.258084288512392e-05, 0.0005582397365448937, 0.002357479429761791, 0.004677569397037725, 0.006387054864038113, 0.007424911278379321, 0.007807742402463456, 0.008006522558536911, 0.008052539132802539, 0.007992594654926011, 0.007695681437375058, 0.007217814367668094, 0.006724020076156113, 0.006229616330321871, 0.005755827219903189, 0.005402705373404687, 0.005007704399114245, 0.004697502476246191, 0.00436971632976404, 0.004024629569116021, 0.0037446882339696183, 0.0034974578017647243, 0.0032426981724884055, 0.0029487448753871557, 0.0022046986457524647, 0.0011090637566569426, 0.00022385077330840477, -0.0011315903935103996, -0.0005524894661016621, -0.0005758116824870717, -0.0012601839794403036, -0.0010797197695105348, -0.0009737265820517735, -0.0018550823070550974, -0.0029711835292651305, -0.0017877340315298848, 0.0023081761713381384, 0.004845331051450258, 0.004983539009301723, 0.004649003675499271, 0.004377810646267018, 0.00419820298458622, 0.004006209537577359, 0.0038521610391698334, 0.003674760365805624, 0.0035261591423753815, 0.0034571089553641215]",0.04864671312758602,0.02815742730218821,0.06251666022061864,"[0.000338046072859519, 0.00035033771443226345, 0.004423254891379405, 0.008367779298660378, 0.004212308033257513, 0.0015273936874741591, 0.005454663585511345, 0.00649328459231556]",train,0.06246468885927916
0.5839875434279177,vel1,20709376,0.0006814787659464003,0.0021509180918780225,0.8164677551273045,6.720123291015625,0.0032398562135142212,0.18138132678081725,-0.9711370468139648,-0.43989869952201843,5.042552947998047e-05,0.4441857933998108,1.4650074243545532,"[0.018153720884468764, 0.01808215675532377, 0.017774135329246644, 0.017192421090798337, 0.016393021087214025, 0.01536524988227219, 0.014293437260319111, 0.013354689918379938, 0.012602109663842821, 0.01171166378915952, 0.010580730932487173, 0.009102850951854516, 0.008016842422021116, 0.007062620775936734, 0.00622590743450205, 0.005504828146205357, 0.004910964080951561, 0.004459760650876479, 0.00409310663915588, 0.0036880426230880667, 0.0035075914213106027, 0.0036606168333129306, 0.0030885832337185382, 0.0024505142560128745, 0.0019222450167674225, 0.0015144103783304413, 0.0010278370963039633, 0.0001654940148846781, -0.0008875210449392093, -0.0018610169355335524, -0.0026478166252487324, -0.003484198347170829, -0.0030161056495137902, -0.0014895199937958624, -0.0005172844508421179, -2.768957807647088e-05, -0.00013177451659764382, -0.0007043928835916136, -0.0017584332157426455, -0.0031334421245924494, -0.004549769639636179, -0.005567877297999421, -0.005697774052506144, -0.005769125657373399, -0.006142423494163233, -0.005095634535803272, -0.006338153427810839, -0.008466495211214812, -0.01034592325429659, -0.01106853590589466, -0.010930902208846292, -0.010502444703382059, -0.005765950494024546, 0.005706518324126292, 0.010121637554577687, 0.009749164032459531, 0.00901731857447885, 0.008379666644699843, 0.007934200919544958, 0.007578594698317449, 0.007424463289824624, 0.0071837148563581995, 0.007141516082028138, 0.0071086553683454455]",0.11502606099768503,0.060198951340429394,0.16112793390816357,"[0.011604247559173633, 0.01290052950253219, 0.026304480965525248, 0.03264646435640239, 0.01876275684730264, 0.00982531181697537, 0.03851211469844716, 0.056677524561009905]",train,0.16109535810274128
0.28154604511145753,vel2,20709376,0.005995883217340783,0.00023178010018471069,0.9825931081982504,11.999724388122559,-0.000250984422109623,0.0171751117015648,-9.49280858039856,-3.115549147129059,2.2590938897337765e-08,3.1149420738220215,9.482561349868774,"[-0.00028387247200239643, -0.00013942465642386093, -0.00010056404824906708, -0.0004366174144257756, -0.0009667437921973631, -0.0011291666752513956, -0.0011902900170315648, -0.0013631482797560998, -0.001620237112351615, -0.0016709565152578025, -0.0016349803029617207, -0.0014857861102957285, -0.0015009196967058196, -0.0011549422170567514, -0.000960077124707109, -0.0005855517047396611, -0.0003200175295455953, -9.506697069428534e-05, 4.5078650822389034e-05, 7.677736917092353e-05, 5.647429916179354e-05, 6.287211211984649e-05, -2.9315967675399947e-05, 3.3395357824062984e-05, 6.148037330379489e-05, 8.2612526711945e-05, 0.00010033922219420248, -4.277261601835481e-05, -0.00016256471887941246, -4.917920211592221e-05, -6.410843788723434e-05, 9.628756671087172e-06, 9.566301933986486e-05, 0.00014075166968521881, 8.128375952297355e-05, 7.527841627167957e-05, 6.986389035497453e-05, 2.1400706943115692e-05, -4.6253983438544e-05, -8.657613862650825e-05, -9.261967744852538e-05, -9.17491675702681e-05, -9.327267542875942e-05, 7.231116766393549e-05, 6.842339356034003e-05, 4.263934876813506e-05, 1.8830754891329393e-05, -1.4153566950616423e-05, -3.0447627625778607e-05, -9.531808392632194e-05, 0.00013415456788776027, 5.3552972275023816e-05, 0.00014452962648952636, 1.1457939319519724e-05, -1.4379609583333547e-05, -2.101303566919485e-05, -1.0937332170853303e-05, -1.775574167178562e-07, -2.1762303926149783e-06, -6.908570423341036e-06, -7.300348629962269e-06, -7.443391472706658e-06, -5.8355816444074885e-06, -8.936755320875993e-06]",0.24811259850619227,0.13461889165304988,0.970695116016084,"[2.037703638315777, 1.744377538911132, 2.0944188858542048, 1.2241742532810067, 0.3579856525023185, 0.05699714855246018, 0.01960294653374123, 0.0027297479225781964]",train,0.9706950836167805
0.6178338814222509,vel3,20709376,0.008528262754029866,4.160439158718982e-05,0.9686943647395977,53.528045654296875,0.1799373980389796,0.031264030868815115,-11.704338073730469,-3.8666470050811768,0.0021269023418426514,5.360222816467285,23.11430597305298,"[1.2184071758927046, 1.0964017892551101, 0.9906167624329653, 0.9010710855562806, 0.8196891377196659, 0.7427505901366284, 0.6649631930683162, 0.57772210640597, 0.4831547461946707, 0.39751693636465957, 0.3296942183580218, 0.27221548864663075, 0.23545639959181094, 0.20668929096644184, 0.1838691143442518, 0.16492156911477604, 0.14926742460418702, 0.13740556760350517, 0.12806304568259086, 0.12014047914285757, 0.11504829222904052, 0.10441642356341571, 0.10385159599059943, 0.10059469267853964, 0.096654601690313, 0.09244842657313665, 0.0875486090088411, 0.0824241682634514, 0.07768072018725318, 0.07320275187203727, 0.06888346670740834, 0.0645743540285654, 0.060502939428640934, 0.05563240419395916, 0.051577994633486085, 0.0474301749932986, 0.04322762306690239, 0.03901348286204159, 0.035028136326321985, 0.031456045581624584, 0.02867103102054115, 0.02679134201776787, 0.02393471632125557, 0.022078778955341178, 0.019067044718742435, 0.016786736004926556, 0.015027679470734521, 0.01340911405687517, 0.011943003519931314, 0.010141375269224135, 0.008382683504592772, 0.008431450183246553, 0.009048016657588153, 0.00829627214293223, 0.0074259349635040165, 0.006710936008581668, 0.00582927422693743, 0.005171728204476483, 0.0044087829124012535, 0.003700701550769736, 0.0031133340492292346, 0.002445043155925696, 0.002052729733022025, 0.0019127408852253648]",0.04763467257918941,0.02594211209120442,1.8534685132368605,"[20.5286439732529, 4.458473036440591, 1.1404566011026138, 0.347373828962287, 0.09408578420943403, 0.028432985071500536, 0.010062293775367506, 0.0028820566721471557]",train,1.8447135447107912
0.2789852584367704,Bcc1,4980736,0.0004011455335115132,0.004935900818871471,0.7496200754114509,2.623929977416992,4.496075028361334e-05,0.24544402376967758,-0.910353870689869,-0.20742833614349365,-5.8710575103759766e-06,0.21110643148422303,0.8766266107559204,"[-7.549871684444185e-05, -7.349118516829453e-05, -7.080539025513357e-05, -6.70671181165074e-05, -5.662804285652543e-05, -3.628442860453537e-05, 1.3738695997744799e-05, 0.00011111117170290335, 0.00017735320618253594, 0.0002102990631675838, 0.00022594196764801286, 0.00023327316433240317, 0.00023317781329081444, 0.0002299177691671311, 0.0002197728141541838, 0.0002054866360451438, 0.0001846413069870323, 0.00016202934248691521, 0.0001707501260649511, 0.0003271082911707804, 0.00011886088606460314, 0.001217702575989901, 0.001042107066543969, -9.096498328481653e-06, 1.0470326263825164e-05, 0.00029249127539132083, 0.0008312340871366599, 0.00012729220179608092, 0.0004237138087582456, 0.00025082014383913604, 0.0002800571091938764, 0.0002691053806828629, 0.0002213571031844415, 0.00012554392589280675, 6.95060417025448e-05, 6.180092896101996e-05, 7.054474324257554e-05, 7.312988753638867e-05, 0.00010526635608249834, 0.00018246563499097217, 0.00028760239647932683, 0.00024894831202752695, 0.00011480961840884687, -0.0001633227067558389, -0.00021223638376747993, -0.00028655730841963207, -0.0007357391858883938, -0.0007263461287182413, -0.000495135027449578, -0.0005931618706151647, -0.0004227875052540759, -0.0006390309417359898, -0.0004544840114105778, -0.0002155092882419826, -0.00013157051848554003, -0.00012821254284445835, -0.00014916545349383101, -0.00018011608092126008, -0.00019101179757279553, -4.944846263075114e-05, -6.9000703948212935e-06, -2.619886407429524e-05, -3.227325731514659e-05, -2.386437425253749e-05]",0.0643943945606658,0.05467411715079152,0.09152901583659925,"[0.0045517625999222985, 0.008684955993930262, 0.020608541474947523, 0.004429934738800132, 0.005036803765130213, 0.020333546973919623, 0.003146581472122123, 0.00022785109755797862]",validation_confirmatory,0.0915290047915399
0.06564453165375399,Bcc2,4980736,0.0011624787983141448,0.002102989138503986,0.9466872221502675,44.00354766845703,0.234917484230162,0.051209788711228395,-19.332815704345702,-3.056311845779419,0.0017995238304138184,7.491194128990176,38.53900615692064,"[0.818271331985383, 0.9310221946124282, 1.1045144214693114, 1.3060075035073648, 1.3757451511605483, 1.328793796159995, 1.2564874401746478, 1.170953118886437, 1.0719228822685851, 0.9614489818490447, 0.8397881179350263, 0.6858357531482876, 0.5509204011543357, 0.4175788316606486, 0.3143695870138273, 0.26711176427780675, 0.2401675841589933, 0.2183253107966601, 0.19061354637309896, 0.14890725836372248, 0.10887450371649864, 0.07244927423658067, 0.03955155160995099, 0.02878260413770381, 0.019353227336332088, 0.011582996676559943, 0.00065433127823972, -0.013634685000373506, -0.021474626836690828, -0.02249839994796706, -0.024981142294181108, -0.04054871670541017, -0.0541971928141406, -0.05682902544234773, -0.05277291039426832, -0.04464289734709095, -0.03315494424747924, -0.022419857819278678, -0.017506312358196545, -0.017507464583367868, -0.015803958052497603, -0.015804812120524946, -0.01491755793243424, -0.01354821086025176, -0.009126012144358691, -0.0017622244100302371, 0.0058435437403156695, 0.009558233065993255, 0.0073908612792269865, 0.005754904265478744, 0.004048818918435197, 0.0036132308305241168, 0.0036376420030137524, 0.0031881367322057486, 0.0021352284702037365, 0.0009029065477079712, 5.3618772653862834e-05, 0.0004408050728287842, 0.0008488201492582448, 0.00036710751546228205, 2.89035413420367e-05, 3.945779769166716e-06, 4.4848696377716566e-07, -6.790781442664172e-07]",0.20523816555985253,0.10412380236624229,2.727700132524203,"[50.97299391788022, 4.766348488546386, 0.7676775499250535, 0.6822395442497933, 0.4511292216674574, 0.1057138077927421, 0.001057861133192892, 2.1544414153140374e-05]",validation_confirmatory,2.717565415922676
