clip_scale_mean,clipping_fraction,epoch,final_accumulation_count,microbatches,nonfinite_count,optimizer_steps,parameter_displacement,peak_allocated_mib,peak_reserved_mib,train_total_maximum,train_total_mean,train_total_median,train_total_q95,validation_arithmetic_average,validation_global,wall_seconds
0.5703380211693985,0.9,1,3,79,0,20,7.571260452270508,653.9853515625,782.0,125.46064758300781,10.652195422709744,2.946934223175049,47.58513412475566,0.22682510416104917,0.1683737673226119,11.652519069000846
0.5158312043798234,0.9,2,3,79,0,20,21.205970764160156,653.9853515625,782.0,124.0632095336914,10.3070875353451,2.6834049224853516,44.09142570495584,0.22686739645137885,0.16842050336378625,10.394305114001327
0.4783911385287434,0.8,3,3,79,0,20,32.92142868041992,654.43798828125,824.0,123.51852416992188,9.908123466787458,2.6591691970825195,38.29683265686012,0.2330932017772272,0.16833559727626612,10.375927970002522
0.3513608955690192,1.0,4,3,79,0,20,43.06800079345703,653.9853515625,824.0,122.36329650878906,9.532285648056224,2.602468490600586,33.306120872497296,0.2323745232014025,0.16842806104086472,10.306266065003001
0.25117604190421183,1.0,5,3,79,0,20,51.9588737487793,654.43798828125,824.0,122.09349060058594,9.201574419118181,2.0316944122314453,25.856262207030937,0.22925733271609655,0.16869221994591782,10.237682924998808
0.2791211162289876,1.0,6,3,79,0,20,59.739322662353516,653.9853515625,824.0,120.47603607177734,8.9933825972714,2.08260178565979,25.47423210144013,0.23302027947649995,0.16917473680700607,10.179905930999666
0.28997824688777296,1.0,7,3,79,0,20,66.5746078491211,654.43798828125,824.0,119.42167663574219,8.853362640625313,1.8864171504974365,25.359195327758478,0.22928951913316847,0.1693460941260246,10.186895013997855
0.3178275959161184,1.0,8,3,79,0,20,72.57257843017578,653.9853515625,824.0,119.7750244140625,8.659748894127109,1.8236932754516602,25.323970794677425,0.23126786980913042,0.1696713524789991,10.174315482996462
0.28432110796829196,1.0,9,3,79,0,20,77.8272933959961,654.43798828125,824.0,120.79475402832031,8.606729944484144,1.802880048751831,25.824985122680346,0.22467311767703424,0.1692520191623492,10.107308327998908
0.21669331309943826,1.0,10,3,79,0,20,82.41925811767578,653.9853515625,824.0,118.05188751220703,8.53980082914799,1.7004425525665283,25.77897338867156,0.23138781077122977,0.16964174687180836,10.117456652995315
0.19852943399651507,1.0,11,3,79,0,20,86.41961669921875,654.43798828125,824.0,116.16801452636719,8.398070735456068,1.5972628593444824,25.39169807434053,0.2314640484767547,0.1702445567676874,10.215473348005617
0.16279040770039174,1.0,12,3,79,0,20,89.9084243774414,653.9853515625,824.0,115.45125579833984,8.273346184363849,1.7042405605316162,25.23135643005342,0.22969002350546203,0.1698936063459619,10.14765428499959
0.21353873998668077,1.0,13,3,79,0,20,92.93981170654297,654.43798828125,824.0,114.1138687133789,8.211213470071177,1.611482858657837,25.520783615112,0.23033456170507105,0.17028545813954157,10.20207871999446
0.17909978830572465,1.0,14,3,79,0,20,95.56473541259766,653.9853515625,824.0,112.29948425292969,8.005209863374505,1.5668052434921265,24.944769859313677,0.23313356096622354,0.17092398450348503,10.493206601000566
