differential_output_norm,layer,model,spectral_output_norm,spherical_disco_output_norm
20913.515625,0,Stage AG,14646.107421875,50570.390625
23998.3125,1,Stage AG,16056.01953125,45795.35546875
29504.716796875,2,Stage AG,16889.341796875,61773.578125
34361.19140625,3,Stage AG,21845.052734375,78643.796875
20427.791015625,0,Stage AD,14059.1748046875,45951.00390625
24439.419921875,1,Stage AD,14448.9873046875,44504.3671875
34797.765625,2,Stage AD,19248.529296875,60307.1953125
37869.66015625,3,Stage AD,22209.953125,83210.9140625
