boundary_normalized_l2_error,direction,global_normalized_l2_error,lower_boundary_normalized_l2_error,maximum_absolute_error,padding,test,upper_boundary_normalized_l2_error
0.0016064975347950083,phi,0.001605662589204759,0.0016064975348026908,0.0016045624518252755,periodic,phi_seam_sin,0.0016064975347873426
1.0,phi,0.2497037018877312,1.0,0.9987954647173969,reflect,phi_seam_sin,1.0
0.5020075876049569,phi,0.1253603646834858,0.5020075897540855,0.5014028996070118,replicate,phi_seam_sin,0.5020075854558281
0.25180704257026926,phi,0.062895151230269,0.2518065984038924,0.2515041757336588,zeros,phi_seam_sin,0.2518074867358564
829.8582960370503,theta,5.091426683701287,829.8568192800825,20.36570640986326,periodic,theta_cosine,829.8597728019105
1.0,theta,0.006148422277430886,1.0,0.024541229205697054,reflect,theta_cosine,1.0
0.00040065738115502313,theta,0.0004015468392213237,0.0004015468726899408,0.0004014259346797333,replicate,theta_cosine,0.00039976590412224463
414.9293483467206,theta,2.54571459467428,414.92860996823777,10.18285812123182,zeros,theta_cosine,414.9300867291476
30.757061956477123,r,11.915083627681922,30.7569685886669,26.847102328150267,periodic,radial_log,33.277175184247284
1.0,r,0.3873947543293218,1.0,0.8728786860367864,reflect,radial_log,1.0
0.5200475036017598,r,0.20146553927424843,0.5200488937311786,0.453939595034956,replicate,radial_log,0.4794004002540732
0.34837355502520456,r,0.1349614395913996,0.28260725006512444,0.24668184510131586,zeros,radial_log,34.147810675521455
