absolute_difference,channel,increment_profile,profile_cosine,profile_relative_l2,r,radial_index,reference_increment_profile,reference_semantics,resolution,source_snapshot,target_snapshot,reproduction_scope
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,8.061393092604032,24,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,8.744136564305812,25,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,9.484703620938475,26,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,10.287991514709972,27,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,11.159312260752715,28,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,12.104427764635117,29,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,13.12958792492707,30,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,14.241571962785574,31,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,15.447733251866454,32,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,0.0,-0.39081696994768456,1.6511628858292369,16.756047945015283,33,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
2.2771100045278277e-45,Bcc1,2.2771100045278277e-45,-0.39081696994768456,1.6511628858292369,18.17516771929809,34,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
2.5938622353672283e-38,Bcc1,-2.595237189420424e-38,-0.39081696994768456,1.6511628858292369,19.714476988166325,35,-1.3749540531955105e-41,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
2.2677947392409904e-31,Bcc1,2.23716135203645e-31,-0.39081696994768456,1.6511628858292369,21.384154959091035,36,-3.0633387204540314e-33,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.4439907833519355e-24,Bcc1,-1.3277110693873345e-24,-0.39081696994768456,1.6511628858292369,23.195242947043564,37,1.1627971396460092e-25,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
8.92319498469238e-17,Bcc1,-9.443117252419707e-17,-0.39081696994768456,1.6511628858292369,25.159717388956086,38,-5.1992226772732685e-18,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
6.003445206137591e-10,Bcc1,-2.706122386682809e-10,-0.39081696994768456,1.6511628858292369,27.290569041994974,39,3.297322819454782e-10,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
6.59363817556445e-07,Bcc1,6.139610736778703e-07,-0.39081696994768456,1.6511628858292369,29.60188888937262,40,-4.540274387857466e-08,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
2.470199919526539e-06,Bcc1,1.5870117528017998e-06,-0.39081696994768456,1.6511628858292369,32.108961321779226,41,-8.83188166724739e-07,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.330393270582784e-06,Bcc1,-1.7450269526835975e-07,-0.39081696994768456,1.6511628858292369,34.82836521062847,42,-1.5048959658511439e-06,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.365078079722906e-33,Bcc1,-5.751790000660036e-22,-0.39081696994768456,1.6511628858292369,37.77808354149836,43,-5.751790000673687e-22,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.1233901502751644e-21,Bcc1,-2.003551578183546e-21,-0.39081696994768456,1.6511628858292369,40.97762233275594,44,-8.801614279083816e-22,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.807927943786302e-21,Bcc1,1.7787052390627278e-22,-0.39081696994768456,1.6511628858292369,44.44813962575559,45,-1.6300574198800294e-21,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.2078776746860018e-22,Bcc1,1.035673357220291e-22,-0.39081696994768456,1.6511628858292369,48.212585399602744,46,2.2435510319062927e-22,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
5.008021669664898e-23,Bcc1,3.3767647740544e-23,-0.39081696994768456,1.6511628858292369,52.29585333571705,47,-1.6312568956104983e-23,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.1790453132071552e-24,Bcc1,-1.3534876905846438e-23,-0.39081696994768456,1.6511628858292369,56.72494543578993,48,-1.4713922219053594e-23,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.4251652146479325e-23,Bcc1,1.1984278394131546e-23,-0.39081696994768456,1.6511628858292369,61.52915058172892,49,-2.2673737523477787e-24,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
5.292573456579747e-24,Bcc1,9.386658721281381e-24,-0.39081696994768456,1.6511628858292369,66.74023821837727,50,4.094085264701634e-24,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
2.99746636504926e-24,Bcc1,-4.830304298930958e-24,-0.39081696994768456,1.6511628858292369,72.39266843980191,51,-1.832837933881698e-24,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
6.0580818552260806e-24,Bcc1,2.7385724814753844e-25,-0.39081696994768456,1.6511628858292369,78.5238198684169,52,-5.784224607078542e-24,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.2592249251795297e-24,Bcc1,-1.9568694721607573e-24,-0.39081696994768456,1.6511628858292369,85.17423683387099,53,-3.216094397340287e-24,HIGHER_RES_SAMPLING_REFERENCE,64,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
