absolute_difference,channel,increment_mean,r_edge_left,r_edge_right,radial_cells,reference_increment_mean,reference_semantics,resolution,shell,shell_vector_cosine,shell_vector_relative_l2,source_snapshot,target_snapshot,reproduction_scope
0.0,Bcc1,8.077935549077846e-28,14.832397134933096,28.278692841905322,16,8.077935549077846e-28,HIGHER_RES_SAMPLING_REFERENCE,128,4,1.0000000000000002,0.0,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,7.199780051661553e-21,28.278692841905322,53.91471530676722,16,7.199780051661553e-21,HIGHER_RES_SAMPLING_REFERENCE,128,5,1.0000000000000002,0.0,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,-2.117582368135751e-22,53.91471530676722,102.79104988552615,16,-2.117582368135751e-22,HIGHER_RES_SAMPLING_REFERENCE,128,6,1.0000000000000002,0.0,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc1,-4.342698215903395e-22,102.79104988552615,195.97617972105846,16,-4.342698215903395e-22,HIGHER_RES_SAMPLING_REFERENCE,128,7,1.0000000000000002,0.0,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,0.0,1.1456345721309733,2.1731385678184307,8,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,0,-0.9999455178028783,3.1034590778478885,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,0.0,2.1731385678184307,4.122196859122056,8,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,1,-0.9999455178028783,3.1034590778478885,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,0.0,4.122196859122056,7.819338903185626,8,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,2,-0.9999455178028783,3.1034590778478885,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
0.0,Bcc2,0.0,7.819338903185626,14.832397134933096,8,0.0,HIGHER_RES_SAMPLING_REFERENCE,64,3,-0.9999455178028783,3.1034590778478885,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
1.0392648381823316e-09,Bcc2,-1.0359645481881965e-09,14.832397134933096,28.135371479901284,8,3.3002899941350615e-12,HIGHER_RES_SAMPLING_REFERENCE,64,4,-0.9999455178028783,3.1034590778478885,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
4.399363993585258e-05,Bcc2,-2.9818764874690607e-05,28.135371479901284,53.36960176502269,8,1.4174875061161976e-05,HIGHER_RES_SAMPLING_REFERENCE,64,5,-0.9999455178028783,3.1034590778478885,0,1,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
