channel,high_frequency_fraction_absolute_difference,index_grid_high_frequency_energy_fraction,index_grid_low_frequency_energy_fraction,radial_increment_relative_l2,reference_high_frequency_energy_fraction,reference_low_frequency_energy_fraction,reference_resolution,reference_semantics,residual_cosine,residual_relative_difference,resolution,shell_increment_relative_l2,source_snapshot,target_snapshot,temporal_increment_loss_inner,temporal_increment_loss_middle,temporal_increment_loss_outer,reproduction_scope
Bcc1,0.08766427676229988,0.5546294284913991,0.44537057150860093,1.6511628858292369,0.4669651517290992,0.5330348482709009,128,HIGHER_RES_SAMPLING_REFERENCE,0.8765475515022496,0.54360637864589,64,1.8327433980772059,0,1,0.0,0.4844657736502832,0.5442408245534499,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc1,0.06164706206789056,0.3275352925786041,0.6724647074213959,1.8416938596463401,0.38918235464649464,0.6108176453535054,128,HIGHER_RES_SAMPLING_REFERENCE,0.6945173968738022,0.7257662533061658,96,1.9326545022709256,0,1,0.0,0.2789134348043816,0.7332428333044673,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc1,0.0,0.2396896810385413,0.7603103189614587,0.0,0.2396896810385413,0.7603103189614587,128,HIGHER_RES_SAMPLING_REFERENCE,0.9999999999999999,0.0,128,0.0,0,1,0.0,0.0,0.0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc2,0.31126768531367066,0.23469003092021104,0.765309969079789,1.139639002007962,0.5459577162338817,0.4540422837661183,128,HIGHER_RES_SAMPLING_REFERENCE,-0.4169917386588095,1.1885768510543258,64,3.1034590778478885,0,1,0.0,0.347404942063289,1.2030041369905946,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc2,0.10825697408414392,0.5451882293962398,0.4548117706037602,0.35456844773534907,0.6534452034803837,0.3465547965196163,128,HIGHER_RES_SAMPLING_REFERENCE,0.8956989171067972,0.4547784239036606,96,0.9023963449538568,0,1,0.0,0.26219124631308705,0.461605472290001,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc2,0.0,0.6072202248743779,0.3927797751256221,0.0,0.6072202248743779,0.3927797751256221,128,HIGHER_RES_SAMPLING_REFERENCE,0.9999999999999999,0.0,128,0.0,0,1,0.0,0.0,0.0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc3,0.025039499185256303,0.05440463600014003,0.94559536399986,1.0083731617375018,0.07944413518539634,0.9205558648146037,128,HIGHER_RES_SAMPLING_REFERENCE,0.9355099000480679,0.3559182286586162,64,1.5996674530471062,0,1,0.0,0.4710400102325448,0.32970859025551913,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc3,0.005017292233742789,0.03449394624260969,0.9655060537573903,2.280616236817364,0.039511238476352475,0.9604887615236475,128,HIGHER_RES_SAMPLING_REFERENCE,0.9604685284988699,0.2795527404415227,96,8.057888273865558,0,1,0.0,0.2581095132415884,0.29310000766874955,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc3,0.0,0.0181961606508939,0.9818038393491061,0.0,0.0181961606508939,0.9818038393491061,128,HIGHER_RES_SAMPLING_REFERENCE,1.0,0.0,128,0.0,0,1,0.0,0.0,0.0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
rho,0.0671185626005254,0.6276610882932298,0.37233891170677025,0.8979121730471402,0.6947796508937552,0.30522034910624485,128,HIGHER_RES_SAMPLING_REFERENCE,0.8247784571924787,0.5661023023431676,64,2.6047621867714157,0,1,0.16650865353597782,0.7236981043319269,0.5664369903539341,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
