baseline,section,metric,channel,value,numerator_squared_sum,denominator_squared_sum
oracle,squared_error_numerator_decomposition,oracle_raw_squared_error,rho,5.518012671998234e-05,,
oracle,squared_error_numerator_decomposition,cross_term,rho,0.0,,
oracle,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,rho,5.518012671998234e-05,,
oracle,squared_error_numerator_decomposition,reconstruction_residual,rho,0.0,,
oracle,squared_error_numerator_decomposition,relative_reconstruction_residual,rho,0.0,,
oracle,squared_error_numerator_decomposition,model_raw_squared_error,press,1.4508983592517734e-06,,
oracle,squared_error_numerator_decomposition,model_oracle_squared_error,press,0.0,,
oracle,squared_error_numerator_decomposition,oracle_raw_squared_error,press,1.4508983592517734e-06,,
oracle,squared_error_numerator_decomposition,cross_term,press,0.0,,
oracle,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,press,1.4508983592517734e-06,,
oracle,squared_error_numerator_decomposition,reconstruction_residual,press,0.0,,
oracle,squared_error_numerator_decomposition,relative_reconstruction_residual,press,0.0,,
oracle,squared_error_numerator_decomposition,model_raw_squared_error,vel1,9.96915261328709,,
oracle,squared_error_numerator_decomposition,model_oracle_squared_error,vel1,0.0,,
oracle,squared_error_numerator_decomposition,oracle_raw_squared_error,vel1,9.96915261328709,,
oracle,squared_error_numerator_decomposition,cross_term,vel1,0.0,,
oracle,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,vel1,9.96915261328709,,
oracle,squared_error_numerator_decomposition,reconstruction_residual,vel1,0.0,,
oracle,squared_error_numerator_decomposition,relative_reconstruction_residual,vel1,0.0,,
oracle,squared_error_numerator_decomposition,model_raw_squared_error,vel2,439.98035287642455,,
oracle,squared_error_numerator_decomposition,model_oracle_squared_error,vel2,0.0,,
oracle,squared_error_numerator_decomposition,oracle_raw_squared_error,vel2,439.98035287642455,,
oracle,squared_error_numerator_decomposition,cross_term,vel2,0.0,,
oracle,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,vel2,439.98035287642455,,
oracle,squared_error_numerator_decomposition,reconstruction_residual,vel2,0.0,,
oracle,squared_error_numerator_decomposition,relative_reconstruction_residual,vel2,0.0,,
oracle,squared_error_numerator_decomposition,model_raw_squared_error,vel3,431015.72228596814,,
oracle,squared_error_numerator_decomposition,model_oracle_squared_error,vel3,0.0,,
oracle,squared_error_numerator_decomposition,oracle_raw_squared_error,vel3,431015.72228596814,,
oracle,squared_error_numerator_decomposition,cross_term,vel3,0.0,,
oracle,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,vel3,431015.72228596814,,
oracle,squared_error_numerator_decomposition,reconstruction_residual,vel3,0.0,,
oracle,squared_error_numerator_decomposition,relative_reconstruction_residual,vel3,0.0,,
oracle,clamp_masks,value_count,Bcc1,4980736,,
oracle,clamp_masks,target_clamp_count,Bcc1,0,,
oracle,clamp_masks,target_clamp_fraction,Bcc1,0.0,,
