record_type,split,channel,stage,scope,index,shell,gamma_mode,paper_canonical,metric,value
snapshot_clamp,train,Bcc1,,,14,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,14,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,14,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,14,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,15,,,True,snapshot_index,15
snapshot_clamp,train,Bcc1,,,15,,,True,time,150.00091035204875
snapshot_clamp,train,Bcc1,,,15,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,15,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,15,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,15,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,16,,,True,snapshot_index,16
snapshot_clamp,train,Bcc1,,,16,,,True,time,160.00156941824406
snapshot_clamp,train,Bcc1,,,16,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,16,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,16,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,16,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,17,,,True,snapshot_index,17
snapshot_clamp,train,Bcc1,,,17,,,True,time,170.00043335626378
snapshot_clamp,train,Bcc1,,,17,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,17,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,17,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,17,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,18,,,True,snapshot_index,18
snapshot_clamp,train,Bcc1,,,18,,,True,time,180.0010924224591
snapshot_clamp,train,Bcc1,,,18,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,18,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,18,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,18,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,19,,,True,snapshot_index,19
snapshot_clamp,train,Bcc1,,,19,,,True,time,190.0017514886544
snapshot_clamp,train,Bcc1,,,19,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,19,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,19,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,19,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,20,,,True,snapshot_index,20
snapshot_clamp,train,Bcc1,,,20,,,True,time,200.00061542667413
snapshot_clamp,train,Bcc1,,,20,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,20,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,20,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,20,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,21,,,True,snapshot_index,21
snapshot_clamp,train,Bcc1,,,21,,,True,time,210.00127449286944
snapshot_clamp,train,Bcc1,,,21,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,21,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,21,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,21,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,22,,,True,snapshot_index,22
snapshot_clamp,train,Bcc1,,,22,,,True,time,220.00013843088917
snapshot_clamp,train,Bcc1,,,22,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,22,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,22,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,22,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,23,,,True,snapshot_index,23
snapshot_clamp,train,Bcc1,,,23,,,True,time,230.00079749708448
snapshot_clamp,train,Bcc1,,,23,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,23,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,23,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,23,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,24,,,True,snapshot_index,24
snapshot_clamp,train,Bcc1,,,24,,,True,time,240.0014565632798
