split,mode,channel,residual_mean,residual_std,residual_median,residual_mad,q0.001,q0.999,q_span,inner_two_shell_bias,outer_two_shell_bias,dynamic_range,reconstruction_relative_l2,envelope_violation_fraction,finite
train,appendix_literal_press_proxy,rho,-1.558955107396809,1.6019383497464716,-2.182304412126541,0.5026159584522247,-2.887245833873749,3.4491734828948974,6.336419316768646,-1.9326800905596087,0.38881570014051153,6.591528475284576,3.384815344065166,0.8366546630859375,True
train,appendix_literal_press_proxy,press,-1.0367430719719772,1.0385722314590002,-1.2650152146816254,0.6095420643687248,-2.3452885150909424,2.3505504992604256,4.6958390143513675,-0.6803514144443397,-0.043426829410283974,4.929344952106476,3.327608875891659,0.43761544227600097,True
train,spherical_logr_channelwise,rho,-0.009237336973068718,1.0595835530495792,-0.13186325086280704,0.6383600230328739,-2.035542328774929,2.4093987345695496,4.444941063344478,0.3536175753493239,0.370462608587658,4.872638590633869,0.9976955943795502,0.1994598388671875,True
train,spherical_logr_channelwise,press,0.0027399018859800284,0.6704152631387985,-0.09359897673130035,0.40561020374298096,-1.5534542798995972,1.874661922454834,3.428116202354431,0.2573996663964863,0.2916576789666106,3.5199873447418213,0.8235514791754229,0.052740478515625,True
validation,appendix_literal_press_proxy,rho,-0.7176166662437602,1.4597834315805176,-0.7940714359283447,0.9387897253036499,-2.88724315649271,3.4538196415901194,6.341062798082829,-0.7465328922077106,0.5205120084800695,6.595176994800568,0.9823272850625528,0.4192068099975586,True
validation,appendix_literal_press_proxy,press,-0.6655664853521116,1.0702622533522792,-0.8627917468547821,0.7118122279644012,-2.4156216428279875,2.357260471105577,4.772882113933564,-0.031022429499944326,0.057915146284633234,5.064256876707077,0.9983527109253917,0.3092672348022461,True
validation,spherical_logr_channelwise,rho,0.83210110417998,1.2245492580979216,1.137109737843275,0.8383914902806282,-1.9780760655999183,3.4625851290673086,5.440661194667227,1.5397647737012221,0.5021589169272159,5.6753895208239555,0.9999506330448763,0.4241668701171875,True
validation,spherical_logr_channelwise,press,0.37391648850584597,0.7721803132752199,0.27098557353019714,0.5773824043571949,-1.0361454030275346,2.602441693186769,3.6385870962143034,0.9067286513408817,0.39299965466152775,3.95335054397583,0.9998231977813578,0.09711227416992188,True
