split,snapshot_index,canonical_fraction,raw_fraction,jaccard,disagreement_fraction,canonical_clamp_overlap,raw_clamp_overlap
train,11,0.20000076293945312,0.20000076293945312,0.806401598676957,0.04286956787109375,0.38476797192393525,0.49194148276717087
train,12,0.20000076293945312,0.20000076293945312,0.7996430165104864,0.04453277587890625,0.38940281142116007,0.4970722310171852
train,13,0.20000076293945312,0.20000076293945312,0.6988756035125239,0.07089996337890625,0.3308092849377253,0.49829292948559006
train,14,0.20000076293945312,0.20000076293945312,0.7613424487259167,0.05419921875,0.33594003318773963,0.4665547693070629
train,15,0.20000076293945312,0.20000076293945312,0.8265398550724637,0.03798675537109375,0.36889889183467167,0.45776192565183393
train,16,0.20000076293945312,0.20000076293945312,0.8388397867564534,0.03505706787109375,0.4201682275076771,0.4895000858303611
train,17,0.20000076293945312,0.20000076293945312,0.7770132863340564,0.05019378662109375,0.4018577504816037,0.5175761506036736
train,18,0.20000076293945312,0.20000076293945312,0.7024060785141409,0.06992340087890625,0.3383814301245494,0.5007343264223998
train,19,0.20000076293945312,0.20000076293945312,0.7828142002176278,0.04872894287109375,0.3493677163401934,0.46874821186747795
train,20,0.20000076293945312,0.20000076293945312,0.7704724276500186,0.05185699462890625,0.434568654752141,0.5556657575006199
train,21,0.20000076293945312,0.20000076293945312,0.7152438126707343,0.06640625,0.4970722310171852,0.6423353487573671
train,22,0.20000076293945312,0.20000076293945312,0.6957161569933858,0.07177734375,0.5297831352877225,0.6774876499647142
train,23,0.20000076293945312,0.20000076293945312,0.706312140985794,0.06884765625,0.5568864559690248,0.6957981269907876
train,24,0.20000076293945312,0.20000076293945312,0.6995915456431535,0.07070159912109375,0.5617692498426443,0.6997081767723969
train,25,0.20000076293945312,0.20000076293945312,0.6992334991654378,0.07080078125,0.5459001697533807,0.6936046844303725
train,26,0.20000076293945312,0.20000076293945312,0.6974730060058602,0.0712890625,0.5410173758797612,0.6945774285223827
train,27,0.20000076293945312,0.20000076293945312,0.7098736241337138,0.06787109375,0.5422380743481661,0.6774876499647142
train,28,0.20000076293945312,0.20000076293945312,0.7337632275132275,0.06142425537109375,0.5581071544374296,0.6726048560910947
train,29,0.20000076293945312,0.20000076293945312,0.7444642233276215,0.05859375,0.5627419939346545,0.6801770012779187
train,30,0.20000076293945312,0.20000076293945312,0.7130860970429669,0.06699371337890625,0.5151347536668638,0.66552861965706
train,31,0.20000076293945312,0.20000076293945312,0.7279064019115102,0.06298828125,0.523679642945698,0.654542333441416
train,32,0.20000076293945312,0.20000076293945312,0.7192090766002098,0.06533050537109375,0.5080585172328291,0.6530736805966164
train,33,0.20000076293945312,0.20000076293945312,0.7098736241337138,0.06787109375,0.5065898643880296,0.6530736805966164
train,34,0.20000076293945312,0.20000076293945312,0.7242694818542088,0.06396484375,0.5163554521352687,0.6506322836598066
train,35,0.20000076293945312,0.20000076293945312,0.737066180733869,0.060546875,0.531251788132522,0.6542943790650213
train,36,0.20000076293945312,0.20000076293945312,0.737066180733869,0.060546875,0.5471208682217856,0.6606458257834404
train,37,0.20000076293945312,0.20000076293945312,0.7389098024908376,0.06005859375,0.5617692498426443,0.6677220622174751
train,38,0.20000076293945312,0.20000076293945312,0.7500542417010198,0.05712890625,0.5495622651585954,0.6616185698754506
train,39,0.20000076293945312,0.20000076293945312,0.7685613088210491,0.05234527587890625,0.5334452306929371,0.643556047225772
train,40,0.20000076293945312,0.20000076293945312,0.7808763586956522,0.04921722412109375,0.5251482957904976,0.6374525548837475
train,41,0.20000076293945312,0.20000076293945312,0.7632379895407692,0.0537109375,0.5139140551984589,0.6286597112285186
train,42,0.20000076293945312,0.20000076293945312,0.7556802009208874,0.0556640625,0.512693356730054,0.6262183142917088
