channel,fraction_outside_train_min_max,fraction_outside_train_q001_q999,maximum,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,minimum,radial_profile_variance,relative_l2_to_physical_loop_output,shell_variance,state_norm,std,step
Bcc1,0.2663383483886719,0.32924652099609375,6.341093063354492,6.167367696762085,6.3901588916778564,2.008898480914844,-7.981100559234619,0.13750450881845291,0.0,3.07506574609274;3.0754812904457167;3.0751969729683233;3.0756120899782697;3.075504389725732;3.075497161373692;3.075376428903298;3.075419321265442,41245.9453125,1.7536801808073998,1
Bcc2,0.007568359375,0.016445159912109375,25.168231964111328,7.482662200927734,10.068222577095035,0.3295942667771372,-20.420652389526367,14.295616934815794,0.0,23.63662663628336;23.635430959310497;23.633650688230997;23.63482337201559;23.635019051198793;23.635958918536836;23.635095823334833;23.63446610988261,41245.9453125,4.861597880126595,1
Bcc3,0.004638671875,0.039794921875,209.0830841064453,25.877593994140625,65.13401698303224,0.20719605294546786,-222.2461395263672,0.6513741787322411,0.0,3570.410519320834;3570.4021906663756;3570.406225339283;3570.3318132431723;3570.3552842663935;3570.415117032928;3570.4020245224187;3570.40365246931,41245.9453125,59.75274766373959,1
rho,0.20344924926757812,0.2560615539550781,9.34888744354248,8.31666874885559,8.325132012367249,1.8534484388011137,-10.304762840270996,0.4683337247563057,0.0,3.4410697452379955;3.4414547785635725;3.4413295627183476;3.4414005843729036;3.441351982933451;3.441329518430712;3.4413866671277535;3.441499051649229,41245.9453125,1.8550883371146745,1
press,0.102020263671875,0.1430206298828125,8.360946655273438,5.8073179721832275,6.477802872657776,1.404042586456828,-4.325183868408203,0.9898887879193157,0.0,2.6294725733066673;2.62963462149044;2.6297031333485537;2.6299132327301233;2.629774549377945;2.6296840915047457;2.629569793365353;2.6294367861093466,41245.9453125,1.6216191287044504,1
vel1,0.1373138427734375,0.22478103637695312,8.770052909851074,8.537865996360779,8.82486367225647,1.5211296844001185,-10.300094604492188,1.1154388180106527,0.0,3.8065018737804133;3.8067831740944054;3.806056454272584;3.805920472026063;3.806244861245151;3.8062113944981766;3.8062329452460224;3.806296072271068,41245.9453125,1.9509692224650788,1
vel2,0.06912612915039062,0.06912612915039062,15.573851585388184,10.058849334716797,10.058858871459961,0.8382395716342476,-16.058849334716797,0.5616693919520295,0.0,8.41886509960829;8.418423954358264;8.418053581760375;8.417462611935496;8.417784004748519;8.417812548937487;8.418154323852852;8.417439274451478,41245.9453125,2.9013788835662226,1
vel3,0.00244140625,0.082275390625,248.2896270751953,13.398590087890625,56.37335726928745,0.291547859644881,-5.592510223388672,1870.7251718812965,0.0,2168.970588870936;2168.997727294092;2169.0824196997814;2168.961486951048;2169.0079717508816;2169.034948313595;2169.0130654797485;2169.025218242892,41245.9453125,46.57264946669846,1
Bcc1,0.2542762756347656,0.31982421875,6.267096996307373,5.600286245346069,5.823077440261841,1.8306229347796368,-7.4140191078186035,0.13381680474413102,0.022893354352411664,2.9699888150558635;2.9702302910790293;2.9699777001498946;2.9708826922521707;2.970251449550187;2.9700913199131174;2.970412051398345;2.969895068084484,41209.60546875,1.7234315119482904,2
Bcc2,0.006103515625,0.015533447265625,24.647401809692383,6.961832046508789,9.54739242267609,0.31254432260410475,-17.74343490600586,14.090507988067367,0.010485638137156845,22.991570144618272;22.99265459365988;22.990944424706086;22.98976378113075;22.99316981635193;22.992575856052955;22.99119376364841;22.992243694892707,41209.60546875,4.794972837501597,2
Bcc3,0.005615234375,0.042018890380859375,215.37831115722656,28.801254272460938,68.05767726135255,0.21649642927538504,-225.1697998046875,1.5686922966951178,0.0046307756731772285,3472.397156699137;3472.462715159995;3472.6257030897377;3472.473162752244;3472.496387834068;3472.356326605878;3472.4858384571116;3472.515044834825,41209.60546875,58.92772303406014,2
rho,0.19665145874023438,0.24267196655273438,7.985908031463623,6.315813302993774,6.324276566505432,1.4079921509140003,-8.30390739440918,0.48231449309253,0.023344924046270844,3.3489570135933606;3.349850845428672;3.3491377431472094;3.3487579178437077;3.347467559180579;3.3485945980920304;3.3488312587376603;3.3470797872501654,41209.60546875,1.8299138215710897,2
press,0.09784317016601562,0.13738250732421875,9.063913345336914,6.510284662246704,7.180769562721252,1.556408317417203,-4.514660358428955,0.9249663804089375,0.03197263964193388,2.5079509486980123;2.507852658099926;2.5076124053274294;2.507366500220243;2.5073870008026287;2.5074285262991927;2.5077237457863926;2.5076221926710316,41209.60546875,1.583546020338774,2
vel1,0.11964797973632812,0.2000274658203125,9.687067031860352,6.177460551261902,6.464458227157593,1.1142698253580685,-7.9396891593933105,1.1003603320961735,0.018277321441231783,3.7137051798800194;3.713161733598387;3.7128088806250856;3.7126676247584993;3.7121220952473895;3.713324460110518;3.7138154240948804;3.7121713041612625,41209.60546875,1.9269073909539292,2
vel2,0.0683441162109375,0.0683441162109375,16.11825180053711,10.11825180053711,10.118261337280273,0.8431897849874258,-13.66073989868164,0.496937316379095,0.02612812502046748,7.8748235181254875;7.877433650174242;7.87621486418509;7.8753943956096215;7.87490892935413;7.875995148098967;7.875654494447991;7.874536622672215,41209.60546875,2.8063535432640747,2
vel3,0.003662109375,0.09644317626953125,252.35821533203125,17.467178344726562,60.44194552612339,0.31258950512273614,-6.465068340301514,1934.6486878716762,0.004702165425850458,2267.9271515549012;2267.9884246069732;2268.029550249539;2267.9959497187947;2268.051954711176;2267.8819647704904;2267.9823476881274;2267.9805865537223,41209.60546875,47.62331090229867,2
Bcc1,0.252197265625,0.3187675476074219,6.188393592834473,8.858474969863892,9.081266164779663,2.8549120784724495,-10.672207832336426,0.1637116027225235,0.031235320098557836,3.2106323641772994;3.211264963728536;3.2117733769387597;3.211066679016407;3.2128358730692526;3.209367669793112;3.2094031793585027;3.211398290582391,41443.4921875,1.7919173576164524,3
Bcc2,0.008098602294921875,0.01611328125,25.307785034179688,7.622215270996094,10.207775647163395,0.334162689003948,-18.321392059326172,13.73027070428726,0.015429023144936469,23.267733215255824;23.269383357011314;23.268840912566056;23.2668573421654;23.268387314016216;23.265723977842487;23.26644372034744;23.265344130776924,41443.4921875,4.8236230441545525,3
Bcc3,0.0094757080078125,0.041622161865234375,227.7232208251953,42.33624267578125,81.59266566467286,0.25955221339140555,-238.7047882080078,10.045915682322157,0.007864981029968868,3470.145548577544;3470.539484164625;3470.48973086809;3470.4382097485895;3470.177724049214;3470.0506078994963;3470.265517630268;3470.056926307134,41443.4921875,58.90900159762452,3
rho,0.2173614501953125,0.2604026794433594,9.80770206451416,7.519751787185669,7.528215050697327,1.6760284896318938,-9.507845878601074,0.5524941014577143,0.03439258918805166,3.917666922037209;3.9176623606319736;3.914811223658411;3.91501179588835;3.9123725463862;3.914531544664023;3.917194988251636;3.9140438900235566,41443.4921875,1.9787399843830111,3
press,0.110137939453125,0.15022659301757812,9.409993171691895,6.856364488601685,7.526849389076233,1.6314199878968594,-4.745811939239502,1.0562587768339233,0.03782501531135371,2.8258665449519422;2.826600556117542;2.825793406942242;2.826206950341095;2.8250991377890218;2.8253722005439137;2.825948619222155;2.824763607559895,41443.4921875,1.6809837604227396,3
vel1,0.11495208740234375,0.19505691528320312,12.149887084960938,6.455447196960449,7.823598421096804,1.3485429621501792,-5.7545166015625,1.1077674212569812,0.027882515621137752,4.094064665722782;4.094420701536429;4.093249468630258;4.092598201841252;4.089361022654598;4.092865552324874;4.0958498686411975;4.090169094709331,41443.4921875,2.02307249817922,3
vel2,0.06831741333007812,0.06832122802734375,16.3267879486084,10.326787948608398,10.326797485351562,0.8605678249483505,-13.754654884338379,0.5660937143127975,0.028911213376881226,8.054371245448857;8.05912603343975;8.056264886399727;8.05697996664738;8.050601508069054;8.054323898964487;8.058963161473791;8.052401228971643,41443.4921875,2.8381999858327966,3
vel3,0.00634002685546875,0.11253738403320312,260.9282531738281,26.037216186523438,69.01198336792027,0.3569114385835406,-7.560778617858887,1952.7547293197536,0.00682329594285406,2332.6245230635795;2332.833612996308;2332.796966068896;2332.8733778906408;2332.832332122621;2332.5706873035533;2332.73008074026;2332.6701337660415,41443.4921875,48.298462348616795,3
Bcc1,0.2744178771972656,0.3340721130371094,9.543245315551758,12.151689767837524,12.374480962753296,3.8902125016890667,-13.965422630310059,0.45865060296203775,,4.315491021039305;4.318793664428582;4.3172171157835635;4.313704730131539;4.315932383101158;4.313284357433389;4.316300731606715;4.315508366958829,42370.12109375,2.0774453351882243,4
Bcc2,0.0103607177734375,0.0181884765625,29.0634765625,11.377906799316406,13.963467175483707,0.45710935471770847,-17.717729568481445,13.013233567343331,,23.90662855830223;23.912406220709144;23.914942389999077;23.913538563749803;23.903449201914174;23.906084281073536;23.912783062766387;23.90431094430838,42370.12109375,4.889710431351906,4
Bcc3,0.013439178466796875,0.046619415283203125,267.791748046875,71.423583984375,110.54451838684088,0.3516501660027792,-238.8346710205078,43.88857089742059,,3579.064158291496;3579.916290778799;3579.303555596071;3579.142462172379;3578.640974586382;3578.5216450321295;3579.619512310635;3578.5466941213263,42370.12109375,59.82553313378297,4
rho,0.258453369140625,0.2929496765136719,12.361061096191406,11.535131692886353,11.54359495639801,2.5699842378841162,-13.523225784301758,0.7418348352428752,,5.268753523320765;5.268180473326659;5.266696529905477;5.270411830127572;5.271621057810478;5.268954981243549;5.2697117255073085;5.269770913338434,42370.12109375,2.2954874726452137,4
press,0.13601303100585938,0.181793212890625,10.157381057739258,7.603752374649048,8.274237275123596,1.7934138678035347,-5.329291820526123,1.4460961060091764,,3.849812697207783;3.852116038895337;3.8494249273769325;3.847906902075307;3.8477416627589687;3.847450030162476;3.848613533166679;3.8470577035538573,42370.12109375,1.9618270790058339,4
vel1,0.1441802978515625,0.22240829467773438,15.749212265014648,10.05477237701416,11.422923601150515,1.9689537218541375,-9.333669662475586,1.3408695286483774,,5.235620819782958;5.236415686136072;5.2320403735783785;5.237960863052553;5.2354963299303705;5.231905883326872;5.23744812113752;5.232748297906557,42370.12109375,2.2880023107365814,4
vel2,0.0799713134765625,0.0799713134765625,16.138704299926758,10.782384872436523,10.782394409179688,0.8985342956134409,-16.782384872436523,0.9356639441436457,,9.692240037764805;9.702759422851313;9.68599096913437;9.695058072105105;9.684600704160946;9.693739434028924;9.703188206863437;9.68741290227514,42370.12109375,3.1133782264656795,4
vel3,0.009765625,0.13507080078125,279.1570129394531,44.26597595214844,87.24074313354527,0.4511856871130688,-8.951167106628418,1955.5384846704376,,2455.562850896603;2456.1861220089486;2455.4005144809107;2455.417693866121;2455.280405376504;2454.9131567394684;2455.845447471022;2455.461386627344,42370.12109375,49.5530872153584,4
Bcc1,0.3465995788574219,0.403045654296875,12.29684829711914,17.805901765823364,18.028692960739136,5.667748567078168,-19.6196346282959,1.0745790123273775,0.0649785800003177,6.920587853847086;6.924247429315281;6.926731091277805;6.925862264395311;6.917002712006145;6.920210435553292;6.925875402455001;6.918398824839495,44751.859375,2.631038720951811,5
Bcc2,0.0108642578125,0.020107269287109375,26.925277709960938,9.239707946777344,11.825268322944645,0.3871130790464107,-21.957849502563477,12.568614478108046,0.048958918869638234,26.089305778450154;26.0942520545451;26.09437969445608;26.094502428245463;26.069741487857726;26.093148153545197;26.110253692914444;26.08235600245678,44751.859375,5.10793427821529,5
Bcc3,0.01982879638671875,0.04793548583984375,295.047119140625,98.678955078125,137.79988948059088,0.4383514869678308,-244.3582763671875,74.33478251508404,0.023087507584251616,3929.099108020357;3930.291979287814;3928.344950887866;3928.7414909383197;3927.8704470118455;3927.8825437930127;3930.079284466923;3928.0083762083564,44751.859375,62.680058952949686,5
rho,0.3008995056152344,0.3434906005859375,15.945587158203125,16.382450342178345,16.390913605690002,3.649156936834159,-18.37054443359375,1.1780512642419023,0.08073978312063632,7.564138274798576;7.564437882432873;7.5669812798344545;7.564766841353853;7.57490458418569;7.562940908421879;7.557357963539742;7.569887336370277,44751.859375,2.75057757248293,5
press,0.18001556396484375,0.234527587890625,15.286803245544434,12.733174562454224,13.403659462928772,2.905199350809464,-8.162145614624023,1.8226355453144496,0.08278917576812407,5.313639796126461;5.308078973788344;5.31374060821179;5.311353712623166;5.309716162349425;5.307729846089371;5.309821299097388;5.309443386410588,44751.859375,2.3044393235040217,5
vel1,0.19716262817382812,0.2788276672363281,18.27165985107422,12.57721996307373,13.945371187210085,2.4037445631632526,-13.749417304992676,1.5358129751567016,0.06712320187204711,6.640424131075996;6.6461828560055976;6.6362212790071045;6.64329383055189;6.633776033851433;6.632141627248173;6.649840852299352;6.640301388843974,44751.859375,2.5768726747552675,5
vel2,0.10737228393554688,0.10737228393554688,20.92856788635254,17.60698127746582,17.606990814208984,1.4672515666509733,-23.60698127746582,1.5887833449773805,0.06437239514937612,13.659941531236623;13.668589397120012;13.638074426782511;13.660202977603007;13.637219885210296;13.651499781539517;13.68249176964359;13.655137697786047,44751.859375,3.6954898668552225,5
