channel,derivative_max,derivative_median,derivative_over_train_q999,feedback_max_discrepancy,feedback_relative_l2,incremental_gain,normalized_max,normalized_min,normalized_ood_q_fraction,normalized_ood_range_fraction,physical_max,physical_min,step
vel1,7.6580342180092345,0.0,20.02062573443884,16268.1533203125,0.9988065736965589,594.4327992071751,15278.041015625,-16274.09375,0.9987030029296875,0.9983596801757812,3.1266329288482666,-2.7056705951690674,50
vel2,0.09628679975767698,0.0,0.9496865801558304,20764.98046875,0.9989616350583598,712.1326060308346,20770.919921875,-13516.9541015625,0.9987640380859375,0.9987640380859375,0.03573155030608177,-0.03573150932788849,50
vel3,0.006249537981890898,0.006249537981890898,1.0,0.03125,5.980633455005332e-08,1.1053982317095665,352482.15625,-10351.3408203125,0.9927635192871094,0.9911308288574219,2202.85498046875,-64.68672943115234,50
Bcc1,4.5163495571734633e+21,0.0,2.3724071487220015e+21,100286.6484375,0.9997659677498193,2943.235419403524,98564.3359375,-100292.5859375,0.9999313354492188,0.9999160766601562,2.089942019337422e+22,-2.089942019337422e+22,75
Bcc2,8.709698952598541e+37,0.0,4.472496575647158e+39,219452.890625,0.9927635464012969,100.68435594411196,219813.546875,-98387.671875,0.9993019104003906,0.9992408752441406,3.4028234663852886e+38,-3.4028234663852886e+38,75
Bcc3,9.24163405361562e+36,0.0,3.754247816856102e+38,1053898.625,0.9887151789823143,49.172918685043584,1057331.625,-466468.25,0.9894065856933594,0.9867782592773438,3.4028234663852886e+38,-3.4028234663852886e+38,75
rho,2837752085098952.0,0.0,763096065638818.8,131923.890625,0.9999238701202112,8646.197048042475,91788.2109375,-131925.890625,0.9998741149902344,0.9998512268066406,1.2092770338058472,3.665635176730575e-06,75
press,190253349641426.38,0.0,3415364941583820.5,114455.859375,0.9999149684727803,7404.567633234049,114457.7578125,-92969.625,0.9998664855957031,0.999847412109375,0.01892666704952717,2.0342165285569536e-08,75
vel1,2.9770266833138495,0.0,7.782929056114658,123579.7109375,0.9998213044561506,3461.6113267064607,123585.6484375,-98469.0078125,0.9997024536132812,0.9996452331542969,3.1266329288482666,-2.7056705951690674,75
vel2,0.05991989737360199,0.0,0.5909960925405804,200172.0,0.9998735660101113,4780.9464897139505,200177.9375,-87116.1328125,0.9997062683105469,0.9997062683105469,0.03573155030608177,-0.03573150932788849,75
vel3,0.006249537981890898,0.006249537981890898,1.0,0.25,4.2533813736214746e-08,1.0169442562124125,3105091.5,-72543.5,0.9970855712890625,0.99639892578125,19405.392578125,-453.3589782714844,75
Bcc1,1.600986406589643e+24,0.0,8.40987073280727e+23,132567.5,0.999822632976375,3555.4829149285056,122056.8984375,-132573.4375,0.9999122619628906,0.9998893737792969,2.089942019337422e+22,-2.089942019337422e+22,100
Bcc2,8.012526735078222e+37,0.0,4.114493345860935e+39,255009.890625,0.9938349753375402,118.06036154211135,255370.546875,-132094.703125,0.9995803833007812,0.9995193481445312,3.4028234663852886e+38,-3.4028234663852886e+38,100
Bcc3,9.151359755456768e+36,0.0,3.717575504923507e+38,1238301.375,0.9914424570325772,57.15427760659572,1241734.375,-499421.5625,0.9922103881835938,0.9903068542480469,3.4028234663852886e+38,-3.4028234663852886e+38,100
rho,5243575693945.616,0.0,1410042830358.7036,151172.953125,0.9999406790441532,10326.34444652977,122164.671875,-151174.953125,0.9998664855957031,0.999847412109375,1.2092770338058472,3.665635176730575e-06,100
press,1.4988612913856147e+17,0.0,2.6907060067765647e+18,112103.6484375,0.9999368794903034,9194.813170606887,112105.546875,-104305.0859375,0.9998092651367188,0.9997749328613281,0.01892666704952717,2.0342165285569536e-08,100
vel1,3.7945812597315047,0.0,9.920286206262066,182115.6875,0.9998760517882013,4544.797978545805,182121.625,-125202.71875,0.9997062683105469,0.9996185302734375,3.1266329288482666,-2.7056705951690674,100
vel2,0.0903793465573242,0.0,0.891420763435441,237920.328125,0.9998963592895412,5493.851876897954,237926.265625,-101945.09375,0.9995040893554688,0.9995040893554688,0.03573155030608177,-0.03573150932788849,100
vel3,0.006249537981890898,0.006249537981890898,1.0,0.25,3.711333269823267e-08,0.9958973045879387,3266898.5,-111661.8671875,0.9974288940429688,0.9969062805175781,20416.611328125,-697.8306884765625,100
