J_F_cross_Bcc1,J_F_cross_Bcc2,J_F_cross_Bcc3,J_F_cross_press,J_F_cross_rho,J_F_cross_vel1,J_F_cross_vel2,J_F_cross_vel3,J_F_epsilon_relative_difference,J_F_gain,J_F_inner_shell_gain,J_F_outer_shell_gain,J_F_radial_profile_gain,J_G_cross_Bcc1,J_G_cross_Bcc2,J_G_cross_Bcc3,J_G_cross_press,J_G_cross_rho,J_G_cross_vel1,J_G_cross_vel2,J_G_cross_vel3,J_G_epsilon_relative_difference,J_G_gain,J_G_inner_shell_gain,J_G_outer_shell_gain,J_G_radial_profile_gain,basis,decoder_feedback_contribution,epsilon,epsilon_consistent_20pct,state,used_backward
3.6856930426497256,4.651287770267433,12.00792723274087,2.9214664147128993,4.504533206155164,3.7007826151343908,4.844342398394851,10.211712549475626,0.8614427595410225,18.69966393819447,16.879793298939962,3.0162920659369985,0.5773598679760074,3.668370660814428,4.651289390249102,12.007957406257534,2.179990574673262,3.9090143306057143,3.6004181285056913,4.005086099123722,10.21170988020522,0.861001255980627,18.23726880179583,16.4056756490902,2.945312724121319,0.5681572258251302,channel_Bcc2,0.9752725429758026,0.001,False,validation_initial_state,False
0.4670218646368462,0.5970627976176456,1.699828469571152,0.39444014766866287,0.5654951135088085,0.46010293716012785,0.6158703650519287,1.4774222135340969,0.8614427595410225,2.5909738327864815,2.341372036190986,0.43240602442777326,0.24104469777497284,0.4644469510871253,0.5970631576602498,1.6998302254292617,0.2893055080583508,0.49058786126812726,0.44517893395587566,0.5089774086710852,1.4774216461584488,0.861001255980627,2.5349574577933156,2.283986384874531,0.42387195987372434,0.23990018784157519,channel_Bcc2,0.9783801849774288,0.01,False,validation_initial_state,False
3.425472794734284,4.370539026612959,11.110604159990524,2.6912054516873374,4.142712245679392,3.4128880608763645,4.495676016038932,9.381698954729414,0.8439510175653487,17.278913004547917,15.144425326551042,3.01687646727529,0.6406441548082916,3.408988623365335,4.37054055660307,11.110626564132104,2.0572448116266466,3.6091465218300782,3.332141086329003,3.7538341705732465,9.38169071848485,0.8432953135812494,16.871206287827118,14.722823358333534,2.94551623384617,0.6349697667522759,channel_Bcc3,0.9764043770222416,0.001,False,validation_initial_state,False
0.4700115025972894,0.6110124376746421,1.7928595518063433,0.38441701485068763,0.580053009133815,0.4697305530134681,0.620791809752835,1.5399611576757026,0.8439510175653487,2.696356791936566,2.3976785122591657,0.4287003198588652,0.24275417952794406,0.4679906458176421,0.6110127119980284,1.792864696733393,0.29345335930517963,0.5067010543165867,0.45764118371138357,0.5090895641895842,1.539960709893796,0.8432953135812494,2.643797090840002,2.3435698753350156,0.420317445552836,0.24082521737059645,channel_Bcc3,0.9805071416165163,0.01,False,validation_initial_state,False
3.5077659549906413,4.4247060551749255,11.370841336874184,2.7424002628520663,4.2570248407694935,3.4894436163645675,4.5816209929021,9.705955865994442,0.8483323439418834,17.72553370202714,15.92573768263453,3.0057654948582857,0.6102379608718677,3.4922542749807373,4.424706962579806,11.370854828277324,2.057280426645784,3.699891093905438,3.4015351222504027,3.829290329575434,9.705957075571831,0.8476675713422507,17.304083806463943,15.496516698966058,2.936570967004206,0.6029956262892827,channel_vel3,0.9762235708866133,0.001,False,validation_initial_state,False
0.46808421601464606,0.6000585407799884,1.7531238848681208,0.38879804728551226,0.572177167828574,0.4658912856136064,0.6237318512830387,1.5780299130378188,0.8483323439418834,2.688390148965606,2.4449931109430683,0.4246067366780453,0.2901766186045136,0.4656987899654442,0.6000584819370537,1.7531253959098927,0.2911032279729514,0.4991090441594249,0.4527315634096679,0.5186214500347829,1.5780288476777937,0.8476675713422507,2.635973111935885,2.391497408482909,0.4169516102786322,0.28935089287268256,channel_vel3,0.9805024441672316,0.01,False,validation_initial_state,False
1.624761996431935,2.101816965029166,6.224739459060294,1.3554396420418302,1.998268421031888,1.633668149566618,2.1911392676385675,5.474402387801021,0.8085193318848855,9.437913177979839,8.706635258386347,1.4751115385663673,1.9247310455934115,1.6164107630539963,2.1018176870519305,6.224753012962096,0.9830926319904031,1.7425749706526614,1.5887939474825135,1.7700114735704988,5.474395063916848,0.8062899754465138,9.241602577923711,8.507031420266914,1.4459364310325218,1.9225631321228094,all_channel_normalized_direction,0.9791997874578724,0.001,False,validation_initial_state,False
0.21244349108565014,0.29312681948975544,1.2497940797871603,0.18741596424953702,0.26293585216784177,0.21431107329283905,0.2867319946687409,1.1577766399054965,0.8085193318848855,1.8071779209320233,1.7089253890817406,0.20362128273164884,1.2508858069001505,0.211056078256529,0.2931269217242698,1.2497950119133034,0.1394454203279616,0.2292380141917339,0.2084663677028436,0.2375493380465587,1.1577760579645744,0.8062899754465138,1.7901910622831638,1.692229017384908,0.19961189746363767,1.2504427105515885,all_channel_normalized_direction,0.9906003396499561,0.01,False,validation_initial_state,False
2.935918458828406,3.698519915637467,10.109855035216338,2.3814476948666896,3.568307810566173,2.9388374146236838,3.9041820637817306,8.874279007506384,0.8585857524465698,15.669849399100631,14.97038421218721,2.169702474624842,0.5122819650200188,2.91969802873333,3.698521292254993,10.10986748603783,1.6817954593040418,3.107690539542006,2.8406607677506313,3.182849341322151,8.87430509717342,0.8578054279386969,15.292235541434186,14.592497078623481,2.1222710493531336,0.5100214873217769,inner_shell_mode,0.9759018834164342,0.001,False,validation_initial_state,False
0.3601185166655787,0.4657471149045904,1.4599751340526923,0.315648502820958,0.4474404118979882,0.3663189291893712,0.48337369733536023,1.328375027459202,0.8585857524465698,2.215939962049387,2.119108338733944,0.30440714683896897,0.25189995163822204,0.358252153875178,0.4657472459767694,1.459975005674022,0.22594934474127257,0.39103619781464527,0.35531012760863145,0.3959210277336613,1.3283745940527472,0.8578054279386969,2.174472888674884,2.0777585162407526,0.2984499611634982,0.2509607390641389,inner_shell_mode,0.9812869147699504,0.01,False,validation_initial_state,False
