channel,decoder_derivative_maximum,decoder_derivative_median,derivative_over_train_q999,fixed_point_delta_ratio,h1_maximum,h1_minimum,h2_maximum,h2_minimum,index_or_step,input_maximum,input_minimum,inverse_clamp_limit,inverse_clamp_occupancy,inverse_clamp_policy,physical_absolute_maximum,roundtrip_1_relative_l2,roundtrip_2_increment_relative_l2,source,std_ratio_h1_over_input,std_ratio_h2_over_h1
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0,101.43002319335938,-1.0094574689865112,101.43002319335938,-1.0094574689865112,12,101.43002319335938,-1.0094574689865112,,0.0,no_softclip,0.6382623910903931,0.0,0.0,train_oracle,1.0,1.0
Bcc1,0.47170908720097743,0.019643833831959376,0.24778551713634492,0.0,1.2893023490905762,-1.2893024682998657,1.2893023490905762,-1.2893024682998657,13,1.2893023490905762,-1.2893024682998657,5.9399999999999995,0.0,canonical,0.12154889851808548,0.0,0.0,train_oracle,1.0,1.0
Bcc2,0.0034501910923785376,0.0002923487180201114,0.1771699335415893,0.0,10.162320137023926,-7.186258316040039,10.162320137023926,-7.186258316040039,13,10.162320137023926,-7.186258316040039,,0.0,no_softclip,0.01199367456138134,0.0,0.0,train_oracle,1.0,1.0
Bcc3,0.0037206373212490076,0.0002729143348498684,0.15114420739422832,0.0,96.2417984008789,-96.24191284179688,96.2417984008789,-96.24191284179688,13,96.2417984008789,-96.24191284179688,,0.0,no_softclip,0.12686121463775635,0.0,0.0,train_oracle,1.0,1.0
rho,3.249505124190655,0.0017013006192085236,0.8738200171057593,0.0,2.472226858139038,-1.9880256652832031,2.472226858139038,-1.9880256652832031,13,2.472226858139038,-1.9880256652832031,5.9399999999999995,0.0,canonical,1.0131027698516846,0.0,0.0,train_oracle,1.0,1.0
press,0.05837247142582822,0.00015578599823299418,1.0478832190714136,0.0,1.8977164030075073,-2.7554709911346436,1.8977164030075073,-2.7554709911346436,13,1.8977164030075073,-2.7554709911346436,5.9399999999999995,0.0,canonical,0.01885644532740116,0.0,0.0,train_oracle,1.0,1.0
vel1,1.7387227391384106,0.18533048487298656,4.545594368641731,0.0,5.67431116104126,-1.7622286081314087,5.67431116104126,-1.7622286081314087,13,5.67431116104126,-1.7622286081314087,5.9399999999999995,0.0,canonical,2.18231201171875,0.0,0.0,train_oracle,1.0,1.0
vel2,0.11008891625919744,0.002341588329189523,1.0858182706079917,0.0,5.940000057220459,-5.940000057220459,5.940000057220459,-5.940000057220459,13,5.9961724281311035,-5.996203422546387,5.9399999999999995,0.007568359375,canonical,0.03573155030608177,0.0016591042617964363,0.0,train_oracle,0.9996703908249971,1.0
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0,104.48699188232422,-1.1425609588623047,104.48699188232422,-1.1425609588623047,13,104.48699188232422,-1.1425609588623047,,0.0,no_softclip,0.6573670506477356,0.0,0.0,train_oracle,1.0,1.0
Bcc1,0.4037135576846586,0.02137086109155272,0.21206793631945844,0.0,1.2489200830459595,-1.2495667934417725,1.2489200830459595,-1.2495667934417725,14,1.2489200830459595,-1.2495667934417725,5.9399999999999995,0.0,canonical,0.10419196635484695,4.044171907600827e-18,0.0,train_oracle,1.0,1.0
Bcc2,0.003615815864357514,0.0002903200499188933,0.18567489140006166,0.0,10.338903427124023,-7.127799034118652,10.338903427124023,-7.127799034118652,14,10.338903427124023,-7.127799034118652,,0.0,no_softclip,0.012617428787052631,0.0,0.0,train_oracle,1.0,1.0
Bcc3,0.0037075085812449896,0.00027304811153134223,0.15061087591613465,0.0,96.10543823242188,-96.11188507080078,96.10543823242188,-96.11188507080078,14,96.10543823242188,-96.11188507080078,,0.0,no_softclip,0.12637828290462494,0.0,0.0,train_oracle,1.0,1.0
rho,3.478371656092088,0.0017013060071557663,0.9353642058907689,0.0,2.49236798286438,-1.9879850149154663,2.49236798286438,-1.9879850149154663,14,2.49236798286438,-1.9879850149154663,5.9399999999999995,0.0,canonical,1.0808286666870117,0.0,0.0,train_oracle,1.0,1.0
press,0.05915605705719498,0.00016809545641085282,1.0619498880638008,0.0,1.9018657207489014,-2.755462646484375,1.9018657207489014,-2.755462646484375,14,1.9018657207489014,-2.755462646484375,5.9399999999999995,0.0,canonical,0.01910027302801609,0.0,0.0,train_oracle,1.0,1.0
vel1,1.6237238646318646,0.18559748478001498,4.244949404041955,0.0,5.6505327224731445,-1.7436267137527466,5.6505327224731445,-1.7436267137527466,14,5.6505327224731445,-1.7436267137527466,5.9399999999999995,0.0,canonical,2.142367124557495,0.0,0.0,train_oracle,1.0,1.0
vel2,0.10966268413841747,0.0023279638980513834,1.0816142994909246,0.0,5.940000057220459,-5.940000057220459,5.940000057220459,-5.940000057220459,14,5.997743129730225,-5.997743129730225,5.9399999999999995,0.0068359375,canonical,0.03573155030608177,0.0018665429512916883,0.0,train_oracle,0.9995968616050976,1.0
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0,108.11203002929688,-1.3129247426986694,108.11203002929688,-1.3129247426986694,14,108.11203002929688,-1.3129247426986694,,0.0,no_softclip,0.6800218820571899,0.0,0.0,train_oracle,1.0,1.0
Bcc1,0.3916499019094161,0.024028342941841335,0.20573098147603874,0.0,1.2417658567428589,-1.241806149482727,1.2417658567428589,-1.241806149482727,15,1.2417658567428589,-1.241806149482727,5.9399999999999995,0.0,canonical,0.1011059433221817,5.642433136932751e-18,0.0,train_oracle,1.0,1.0
Bcc2,0.0037229258017049995,0.0002928448605490692,0.19117506804923834,0.0,10.448843955993652,-7.184701442718506,10.448843955993652,-7.184701442718506,15,10.448843955993652,-7.184701442718506,,0.0,no_softclip,0.013020813465118408,0.0,0.0,train_oracle,1.0,1.0
Bcc3,0.003857911452751108,0.0002731783867705218,0.15672072238619505,0.0,97.57464599609375,-97.57026672363281,97.57464599609375,-97.57026672363281,15,97.57464599609375,-97.57026672363281,,0.0,no_softclip,0.1319107562303543,1.496003585908925e-17,0.0,train_oracle,1.0,1.0
rho,3.6810141422911418,0.0017495959799328934,0.9898565221018146,0.0,2.5090668201446533,-1.9879348278045654,2.5090668201446533,-1.9879348278045654,15,2.5090668201446533,-1.9879348278045654,5.9399999999999995,0.0,canonical,1.1405885219573975,0.0,0.0,train_oracle,1.0,1.0
press,0.061703054000683454,0.00020273248093855966,1.1076727312279642,0.0,1.91496741771698,-2.7554407119750977,1.91496741771698,-2.7554407119750977,15,1.91496741771698,-2.7554407119750977,5.9399999999999995,0.0,canonical,0.019891880452632904,0.0,0.0,train_oracle,1.0,1.0
vel1,1.4067865559865045,0.18630800645899986,3.677803771026717,0.0,5.594699859619141,-1.5998724699020386,5.594699859619141,-1.5998724699020386,15,5.594699859619141,-1.5998724699020386,5.9399999999999995,0.0,canonical,2.058065414428711,0.0,0.0,train_oracle,1.0,1.0
vel2,0.10044477048773486,0.002349862095121846,0.9906970718634631,0.0,5.940000057220459,-5.940000057220459,5.940000057220459,-5.940000057220459,15,5.998493194580078,-5.998493194580078,5.9399999999999995,0.007568359375,canonical,0.03573155030608177,0.0017822215550687146,0.0,train_oracle,0.9996401615851263,1.0
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0,111.5634536743164,-1.5685555934906006,111.5634536743164,-1.5685555934906006,15,111.5634536743164,-1.5685555934906006,,0.0,no_softclip,0.7015916705131531,0.0,0.0,train_oracle,1.0,1.0
Bcc1,0.3823388696937362,0.02808675183368539,0.20083996072779434,0.0,1.2356473207473755,-1.2356168031692505,1.2356473207473755,-1.2356168031692505,16,1.2356473207473755,-1.2356168031692505,5.9399999999999995,0.0,canonical,0.09872262924909592,3.815719232656955e-18,0.0,train_oracle,1.0,1.0
Bcc2,0.0038752090643606,0.0003067883643029552,0.19899492926903797,0.0,10.599824905395508,-7.1060261726379395,10.599824905395508,-7.1060261726379395,16,10.599824905395508,-7.1060261726379395,,0.0,no_softclip,0.013594322837889194,0.0,0.0,train_oracle,1.0,1.0
Bcc3,0.004016931880448588,0.0002730742337200406,0.16318064159588525,0.0,99.06045532226562,-99.02531433105469,99.06045532226562,-99.02531433105469,16,99.06045532226562,-99.02531433105469,,0.0,no_softclip,0.1377602219581604,0.0,0.0,train_oracle,1.0,1.0
rho,3.798435501123244,0.002432663056226001,1.0214321404996483,0.0,2.5183045864105225,-1.9878751039505005,2.5183045864105225,-1.9878751039505005,16,2.5183045864105225,-1.9878751039505005,5.9399999999999995,0.0,canonical,1.1751322746276855,0.0,0.0,train_oracle,1.0,1.0
press,0.06388788787760746,0.00031783373426230174,1.1468941433108246,0.0,1.9257644414901733,-2.7554051876068115,1.9257644414901733,-2.7554051876068115,16,1.9257644414901733,-2.7554051876068115,5.9399999999999995,0.0,canonical,0.0205698125064373,0.0,0.0,train_oracle,1.0,1.0
vel1,1.0353242244750076,0.18672118381046404,2.7066787927464544,0.0,5.441929817199707,-1.5025631189346313,5.441929817199707,-1.5025631189346313,16,5.441929817199707,-1.5025631189346313,5.9399999999999995,0.0,canonical,1.8745450973510742,0.0,0.0,train_oracle,1.0,1.0
vel2,0.09845711703267045,0.002404741150254212,0.9710926420036522,0.0,5.940000057220459,-5.940000057220459,5.940000057220459,-5.940000057220459,16,5.999246597290039,-5.999252796173096,5.9399999999999995,0.010498046875,canonical,0.03573155030608177,0.0016017148106826902,0.0,train_oracle,0.9997024802104918,1.0
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0,114.43012237548828,-1.8346869945526123,114.43012237548828,-1.8346869945526123,16,114.43012237548828,-1.8346869945526123,,0.0,no_softclip,0.7195070385932922,0.0,0.0,train_oracle,1.0,1.0
Bcc1,0.4337568543911734,0.02973957180950569,0.22784947204326075,0.0,1.2679076194763184,-1.2679076194763184,1.2679076194763184,-1.2679076194763184,17,1.2679076194763184,-1.2679076194763184,5.9399999999999995,0.0,canonical,0.11186854541301727,0.0,0.0,train_oracle,1.0,1.0
Bcc2,0.0027640236512387266,0.00034700448357696253,0.1419347141899173,0.0,9.32722282409668,-7.8014397621154785,9.32722282409668,-7.8014397621154785,17,9.32722282409668,-7.8014397621154785,,0.0,no_softclip,0.009409517049789429,0.0,0.0,train_oracle,1.0,1.0
Bcc3,0.003881550828546627,0.00027291647710295426,0.15768102956193142,0.0,97.78963470458984,-97.79935455322266,97.78963470458984,-97.79935455322266,17,97.78963470458984,-97.79935455322266,,0.0,no_softclip,0.1327803134918213,1.535722189673902e-17,0.0,train_oracle,1.0,1.0
rho,3.810150253529307,0.0034106907305619053,1.0245823386857198,0.0,2.519209623336792,-1.987805962562561,2.519209623336792,-1.987805962562561,17,2.519209623336792,-1.987805962562561,5.9399999999999995,0.0,canonical,1.1785752773284912,0.0,0.0,train_oracle,1.0,1.0
press,0.0603810577273818,0.00034240757777087257,1.0839406932204936,0.0,1.9082390069961548,-2.7553563117980957,1.9082390069961548,-2.7553563117980957,17,1.9082390069961548,-2.7553563117980957,5.9399999999999995,0.0,canonical,0.019481180235743523,0.0,0.0,train_oracle,1.0,1.0
vel1,0.522843023472963,0.18639791305129386,1.366884006106695,0.0,4.832778453826904,-1.3385233879089355,4.832778453826904,-1.3385233879089355,17,4.832778453826904,-1.3385233879089355,5.9399999999999995,0.0,canonical,1.4378886222839355,0.0,0.0,train_oracle,1.0,1.0
vel2,0.0915452497286163,0.0023400963527211525,0.9029201859764726,0.0,5.940000057220459,-5.940000057220459,5.940000057220459,-5.940000057220459,17,5.9989447593688965,-5.998929500579834,5.9399999999999995,0.00634765625,canonical,0.03573155030608177,0.001438252751769864,0.0,train_oracle,0.9997677137277585,1.0
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0,112.6756362915039,-2.025552749633789,112.6756362915039,-2.025552749633789,17,112.6756362915039,-2.025552749633789,,0.0,no_softclip,0.7085422873497009,0.0,0.0,train_oracle,1.0,1.0
Bcc1,0.47714259836304324,0.03158038941812419,0.250639702925191,0.7155417527999327,1.2922205924987793,-1.2922205924987793,1.2922205924987793,-1.2922205924987793,18,1.2922205924987793,-1.2922205924987793,5.9399999999999995,0.0,canonical,0.12293331325054169,5.024780608323344e-18,3.595440323914798e-18,train_oracle,1.0,1.0
Bcc2,0.0073367721412119415,0.0003404000638693749,0.37674882285206773,0.0,2.9616284370422363,-11.994977951049805,2.9616284370422363,-11.994977951049805,18,2.9616284370422363,-11.994977951049805,,0.0,no_softclip,0.026630824431777,0.0,0.0,train_oracle,1.0,1.0
Bcc3,0.004768250464846227,0.00027296128616378305,0.19370160941255327,0.0,105.23503112792969,-105.36753845214844,105.23503112792969,-105.36753845214844,18,105.23503112792969,-105.36753845214844,,0.0,no_softclip,0.16539697349071503,1.3806569635716959e-17,0.0,train_oracle,1.0,1.0
rho,3.7209306560834263,0.002805640702536437,1.000590417704907,0.0,2.5122416019439697,-1.987727165222168,2.5122416019439697,-1.987727165222168,18,2.5122416019439697,-1.987727165222168,5.9399999999999995,0.0,canonical,1.1523381471633911,0.0,0.0,train_oracle,1.0,1.0
press,0.10040676526290974,0.0002842732364971762,1.8024689006690076,0.0,2.064565420150757,-2.755293846130371,2.064565420150757,-2.755293846130371,18,2.064565420150757,-2.755293846130371,5.9399999999999995,0.0,canonical,0.03177321329712868,0.0,0.0,train_oracle,1.0,1.0
vel1,0.7001478449146836,0.18574393764935654,1.8304172536662733,0.0,5.153422832489014,-1.2664868831634521,5.153422832489014,-1.2664868831634521,18,5.153422832489014,-1.2664868831634521,5.9399999999999995,0.0,canonical,1.6309009790420532,0.0,0.0,train_oracle,1.0,1.0
vel2,0.11207394187735029,0.0022606454929084505,1.105396781842861,0.0,5.940000057220459,-5.940000057220459,5.940000057220459,-5.940000057220459,18,6.0,-6.0,5.9399999999999995,0.123779296875,canonical,0.03573155030608177,0.006054379265532263,0.0,train_oracle,0.996012193006537,1.0
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0,122.8539047241211,-1.522121548652649,122.8539047241211,-1.522121548652649,18,122.8539047241211,-1.522121548652649,,0.0,no_softclip,0.77215176820755,0.0,0.0,train_oracle,1.0,1.0
Bcc1,0.646023999082598,0.03532757434073745,0.3393519332964834,1.0,1.3691458702087402,-1.3656771183013916,1.3691458702087402,-1.3656771183013916,19,1.3691458702087402,-1.3656771183013916,5.9399999999999995,0.0,canonical,0.16579800844192505,3.490973698425501e-18,3.490973698425501e-18,train_oracle,1.0,1.0
Bcc2,0.007147381051363486,0.00033382327563462604,0.3670234465168434,0.0,12.905213356018066,-10.415901184082031,12.905213356018066,-10.415901184082031,19,12.905213356018066,-10.415901184082031,,0.0,no_softclip,0.02591756358742714,0.0,0.0,train_oracle,1.0,1.0
Bcc3,0.00492229969443405,0.00027289844687822435,0.1999595826293372,0.0,106.53714752197266,-106.5313720703125,106.53714752197266,-106.5313720703125,19,106.53714752197266,-106.5313720703125,,0.0,no_softclip,0.17106357216835022,9.068057775033504e-18,0.0,train_oracle,1.0,1.0
rho,3.615310385421443,0.002066507917176836,0.972188213926399,0.0,2.503761053085327,-1.9876387119293213,2.503761053085327,-1.9876387119293213,19,2.503761053085327,-1.9876387119293213,5.9399999999999995,0.0,canonical,1.1212327480316162,0.0,0.0,train_oracle,1.0,1.0
press,0.09770734052208473,0.00020532078008443966,1.7540097243147728,0.0,2.056277275085449,-2.7552175521850586,2.056277275085449,-2.7552175521850586,19,2.056277275085449,-2.7552175521850586,5.9399999999999995,0.0,canonical,0.030952269211411476,0.0,0.0,train_oracle,1.0,1.0
vel1,0.7888522550453135,0.18524545556861638,2.062319821043567,0.0,5.255427837371826,-1.09385085105896,5.255427837371826,-1.09385085105896,19,5.255427837371826,-1.09385085105896,5.9399999999999995,0.0,canonical,1.7066491842269897,0.0,0.0,train_oracle,1.0,1.0
vel2,0.11250155866792515,0.0022785042659181362,1.109614410100112,0.0,5.940000057220459,-5.940000057220459,5.940000057220459,-5.940000057220459,19,5.999998569488525,-5.999998092651367,5.9399999999999995,0.05859375,canonical,0.03573155030608177,0.0034158243847227992,0.0,train_oracle,0.998531453757381,1.0
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0,120.86927795410156,-0.8692489862442017,120.86927795410156,-0.8692489862442017,19,120.86927795410156,-0.8692489862442017,,0.0,no_softclip,0.7597487568855286,0.0,0.0,train_oracle,1.0,1.0
Bcc1,0.9068296166884756,0.03172420137212971,0.47635131826487687,0.0,1.4545714855194092,-1.4545714855194092,1.4545714855194092,-1.4545714855194092,20,1.4545714855194092,-1.4545714855194092,5.9399999999999995,0.0,canonical,0.23148085176944733,1.5044748307826013e-18,0.0,train_oracle,1.0,1.0
Bcc2,0.011015554830692905,0.0003276201154840491,0.5656571085551549,0.0,14.53427505493164,-10.396442413330078,14.53427505493164,-10.396442413330078,20,14.53427505493164,-10.396442413330078,,0.0,no_softclip,0.04048539325594902,0.0,0.0,train_oracle,1.0,1.0
Bcc3,0.00920297238074282,0.0002727876442167009,0.3738542206772793,0.0,129.5549774169922,-129.5549774169922,129.5549774169922,-129.5549774169922,20,129.5549774169922,-129.5549774169922,,0.0,no_softclip,0.3285253345966339,9.396304670040438e-18,0.0,train_oracle,1.0,1.0
rho,3.803127938695281,0.0019161855331796427,1.0226939775249049,0.0,2.518667459487915,-1.9875407218933105,2.518667459487915,-1.9875407218933105,20,2.518667459487915,-1.9875407218933105,5.9399999999999995,0.0,canonical,1.1765114068984985,0.0,0.0,train_oracle,1.0,1.0
press,0.0862746234491597,0.00016098670854865145,1.548773384710202,0.0,2.0183026790618896,-2.7551279067993164,2.0183026790618896,-2.7551279067993164,20,2.0183026790618896,-2.7551279067993164,5.9399999999999995,0.0,canonical,0.027463650330901146,0.0,0.0,train_oracle,1.0,1.0
vel1,0.4389201643842821,0.18518702668012627,1.1474819892774588,0.0,4.575819969177246,-1.0918225049972534,4.575819969177246,-1.0918225049972534,20,4.575819969177246,-1.0918225049972534,5.9399999999999995,0.0,canonical,1.3150479793548584,0.0,0.0,train_oracle,1.0,1.0
vel2,0.1081201914216721,0.0022640631599944606,1.0664005356440855,0.0,5.940000057220459,-5.940000057220459,5.940000057220459,-5.940000057220459,20,6.0,-6.0,5.9399999999999995,0.065673828125,canonical,0.03573155030608177,0.004947976570742591,0.0,train_oracle,0.9973463660860369,1.0
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0,133.2557830810547,-0.849459171295166,133.2557830810547,-0.849459171295166,20,133.2557830810547,-0.849459171295166,,0.0,no_softclip,0.8371586799621582,0.0,0.0,train_oracle,1.0,1.0
Bcc1,1.1352300770378385,0.029769254151120753,0.5963284985173604,0.0,1.5107592344284058,-1.5107592344284058,1.5107592344284058,-1.5107592344284058,21,1.5107592344284058,-1.5107592344284058,5.9399999999999995,0.0,canonical,0.2886040210723877,1.0670462244981244e-18,0.0,train_oracle,1.0,1.0
Bcc2,0.00954121036601734,0.00032101827826613947,0.48994840030389575,0.0,13.993135452270508,-9.60097885131836,13.993135452270508,-9.60097885131836,21,13.993135452270508,-9.60097885131836,,0.0,no_softclip,0.034932900220155716,0.0,0.0,train_oracle,1.0,1.0
Bcc3,0.014141790616996112,0.00027304915232213037,0.5744848393939876,0.0,145.35781860351562,-145.35781860351562,145.35781860351562,-145.35781860351562,21,145.35781860351562,-145.35781860351562,,0.0,no_softclip,0.5101965069770813,6.3502036530690526e-18,0.0,train_oracle,1.0,1.0
rho,3.974966557709534,0.001916183047296355,1.068902867576698,0.0,2.53164005279541,-1.9874329566955566,2.53164005279541,-1.9874329566955566,21,2.53164005279541,-1.9874329566955566,5.9399999999999995,0.0,canonical,1.2269537448883057,0.0,0.0,train_oracle,1.0,1.0
press,0.09128856577260482,0.00017171933261327224,1.6387820119585133,0.0,2.03556752204895,-2.7550241947174072,2.03556752204895,-2.7550241947174072,21,2.03556752204895,-2.7550241947174072,5.9399999999999995,0.0,canonical,0.028996026143431664,0.0,0.0,train_oracle,1.0,1.0
vel1,0.6276873502206785,0.1853693237338316,1.6409816356601041,0.0,5.046558380126953,-1.0897912979125977,5.046558380126953,-1.0897912979125977,21,5.046558380126953,-1.0897912979125977,5.9399999999999995,0.0,canonical,1.5601062774658203,0.0,0.0,train_oracle,1.0,1.0
vel2,0.10998394907114391,0.002265851903917754,1.084782968467906,0.0,5.940000057220459,-5.940000057220459,5.940000057220459,-5.940000057220459,21,5.999938488006592,-5.999943256378174,5.9399999999999995,0.030517578125,canonical,0.03573155030608177,0.0034730338773195407,0.0,train_oracle,0.9986182825014863,1.0
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0,162.99668884277344,-0.8109347224235535,162.99668884277344,-0.8109347224235535,21,162.99668884277344,-0.8109347224235535,,0.0,no_softclip,1.023025631904602,0.0,0.0,train_oracle,1.0,1.0
Bcc1,1.1856143607763514,0.029241656236307353,0.6227950138770116,1.0,1.5215836763381958,-1.5215835571289062,1.5215836763381958,-1.5215835571289062,22,1.5215836763381958,-1.5215835571289062,5.9399999999999995,0.0,canonical,0.3011629283428192,3.4912797915757195e-18,3.4912797915757195e-18,train_oracle,1.0,1.0
Bcc2,0.01141901393778672,0.0003226576099542532,0.5863750401933362,0.0,14.669746398925781,-8.958868026733398,14.669746398925781,-8.958868026733398,22,14.669746398925781,-8.958868026733398,,0.0,no_softclip,0.04200484976172447,0.0,0.0,train_oracle,1.0,1.0
Bcc3,0.016373496983430106,0.00027326739952680985,0.6651439014758799,0.0,150.74781799316406,-150.74781799316406,150.74781799316406,-150.74781799316406,22,150.74781799316406,-150.74781799316406,,0.0,no_softclip,0.5922883749008179,1.4879046139479892e-18,0.0,train_oracle,1.0,1.0
rho,4.11030122245471,0.001916181529201304,1.1052955287798671,0.0,2.5414466857910156,-1.9873197078704834,2.5414466857910156,-1.9873197078704834,22,2.5414466857910156,-1.9873197078704834,5.9399999999999995,0.0,canonical,1.2665945291519165,0.0,0.0,train_oracle,1.0,1.0
press,0.09990282207451306,0.00016266539131835493,1.7934222799317439,0.0,2.0630359649658203,-2.7549071311950684,2.0630359649658203,-2.7549071311950684,22,2.0630359649658203,-2.7549071311950684,5.9399999999999995,0.0,canonical,0.03162003308534622,0.0,0.0,train_oracle,1.0,1.0
vel1,0.4578493565991016,0.18553283961058556,1.19696913728431,0.0,4.643365383148193,-1.0877574682235718,4.643365383148193,-1.0877574682235718,22,4.643365383148193,-1.0877574682235718,5.9399999999999995,0.0,canonical,1.3453236818313599,0.0,0.0,train_oracle,1.0,1.0
vel2,0.1058352443104907,0.002276531980167214,1.0438638679667303,0.0,5.940000057220459,-5.940000057220459,5.940000057220459,-5.940000057220459,22,5.999995231628418,-5.999995231628418,5.9399999999999995,0.032470703125,canonical,0.03573155030608177,0.003861983778526235,0.0,train_oracle,0.998352103187229,1.0
vel3,0.006249537981890898,0.006249537981890898,1.0,0.0,174.20437622070312,-0.7990343570709229,174.20437622070312,-0.7990343570709229,22,174.20437622070312,-0.7990343570709229,,0.0,no_softclip,1.0930684804916382,0.0,0.0,train_oracle,1.0,1.0
Bcc1,1.234408404347788,0.02919447532421134,0.6484261870885858,0.9701425001453319,1.5316256284713745,-1.531625509262085,1.5316256284713745,-1.531625509262085,23,1.5316256284713745,-1.531625509262085,5.9399999999999995,0.0,canonical,0.3133121132850647,1.2758572180223923e-18,1.2377633113207115e-18,train_oracle,1.0,1.0
