Bcc2_radial_skill,Bcc2_range,Bcc2_shell_skill,Bcc3_radial_skill,Bcc3_range,Bcc3_shell_skill,above_rout,channels,counterfactual,diagnostic_teacher_reset,evaluation_clamp,gate_2_count,gate_3_count,normalized_average_relative_l2,radial_transport_error,raw_average_relative_l2,reduction_Bcc2_range,reduction_Bcc3_range,reduction_gate_2_count,reduction_gate_3_count,reduction_radial_transport_error,reduction_ripple_count,reduction_shell_transport_error,reduction_stripe_count,reduction_total_decoded_range,reduction_vel3_range,ripple_count,shell_transport_error,step,stripe_count,total_decoded_range,variant,vel3_radial_skill,vel3_range,vel3_shell_skill
1.0,0.3252949118614197,1.0,-26.572938252396565,4.196778297424316,0.3508396583382881,True,Bcc2,reset,True,0.19561767578125,0.0,2.0,0.7946393467384174,9.829985923185882,4.044053149507869e+20,0.5336390768322606,0.0,1.0,0.3333333333333333,0.039595061663483914,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1,3.0,2.089942019337422e+22,E_Bcc2,-2.917019517161079,1.5560671091079712,0.17065572407673812
1.0,1.1869564056396484,1.0,-0.4919373014738466,5.642822265625,0.3303285974573895,True,Bcc2,reset,True,0.20590972900390625,0.0,2.0,0.9112044691337514,0.21633750091235293,3.012639189050417e+20,-1.109361074243514,-0.15521194453314235,1.0,0.3333333333333333,-4.739031734023994,0.0,1.0,0.0,0.0,-0.0038422445067828382,2.0,0.0,2,3.0,2.089942019337422e+22,E_Bcc2,-0.15707520126321217,1.5925766229629517,0.32078108230711166
1.0,0.4949367642402649,1.0,-5.921277921349526,10.700778007507324,0.2868280057264593,True,Bcc2,reset,True,0.23843765258789062,1.0,2.0,0.9895417569120011,2.11158774540845,2.0211215116164304e+20,0.2520136059091176,-0.4788567998794833,0.5,0.3333333333333333,-1.1770280196801244,-0.5,-1.1669900875457897,0.2,0.0,-0.04769414728003382,3.0,0.17853721638317252,3,4.0,2.089942019337422e+22,E_Bcc2,-0.41348531487582374,1.7144514322280884,-0.5356116491495175
1.0,1.0018171072006226,1.0,-2.1109870371538997,39.11400604248047,0.5903331665167081,True,Bcc2,reset,True,0.27008628845214844,1.0,2.0,1.096485642553179,0.7726149137307111,3.345675992073508e+20,0.46488834185352235,-1.8854379893368123,0.5,0.3333333333333333,-0.26595490649254866,-0.25,0.005448617687079642,0.2,0.0,-0.14752251290324764,5.0,0.10688240576282897,4,4.0,2.089942019337422e+22,E_Bcc2,-0.206857704038234,2.0018246173858643,-0.3206472172884869
1.0,1.1177302598953247,1.0,-1.1395488467984052,69.8628158569336,-0.3644330169759069,True,Bcc2,reset,True,0.3188629150390625,0.0,2.0,1.3030926524496287,0.6189827294723955,4.4222641079096e+20,0.007483725611970658,-1.376545615749931,1.0,0.3333333333333333,-0.1562808452574564,0.0,-0.88959010103998,0.2,0.0,-0.12934867834849367,5.0,0.18239667759966394,5,4.0,2.089942019337422e+22,E_Bcc2,-0.7173993416187814,2.165172576904297,-0.1827570158230849
1.0,1.3095003366470337,1.0,-0.5463303874221537,113.35405731201172,-4.524801826201122,True,Bcc2,reset,True,0.3746910095214844,0.0,2.0,1.5485236519844847,0.47024592512604757,5.1510319529852764e+20,0.30705753362509347,-1.7066092355269693,1.0,0.3333333333333333,-0.26948188135543416,0.0,-8.192874872186158,0.4,0.0,-0.11484997473773421,5.0,1.7191606209067236,6,3.0,2.089942019337422e+22,E_Bcc2,-0.864407387955989,2.4462857246398926,-0.6326800365190488
1.0,1.4178822040557861,1.0,-1.416082980035116,597.1705932617188,-11.265519924413782,True,Bcc2,reset,True,0.4278392791748047,0.0,2.0,1.8878102669722556,0.682066980696475,6.047136392804963e+20,0.7577478949588263,-9.305884013494287,1.0,0.3333333333333333,-0.6020456740349825,0.16666666666666666,-17.47649718655033,0.4,0.0,-0.11033425549698883,5.0,3.976848904743594,7,3.0,2.089942019337422e+22,E_Bcc2,-0.6301179620543089,2.8849446773529053,-0.6650267898169997
1.0,1.4944289922714233,1.0,-2.7318786516681173,2881.01611328125,-19.531283175239942,True,Bcc2,reset,True,0.5107669830322266,0.0,2.0,2.333340832642793,1.0663357236995477,7.032774277678985e+20,0.8976445870403437,-9.607311500688876,1.0,0.3333333333333333,-0.35003276184726534,0.16666666666666666,0.6321452081705602,0.25,0.0,-0.12413060982115413,5.0,6.683530999854539,8,3.0,2.089942019337422e+22,E_Bcc2,-0.4671285194305257,3.25506591796875,-0.5193098243236747
1.0,1.5726526975631714,1.0,-2.072476437790329,7529.6669921875,-7.452757506635503,True,Bcc2,reset,True,0.5939273834228516,0.0,2.0,2.8796921704245344,0.8134619746589594,8.069129317399337e+20,0.9436043320585782,-6.806156144935527,0.0,0.3333333333333333,0.1880951023121417,0.16666666666666666,0.5143183475692501,0.0,0.0,-0.07004839291412067,5.0,2.618379765645847,9,3.0,2.089942019337422e+22,E_Bcc2,-0.3679094861865493,3.532445192337036,-0.40238179030203836
1.0,1.6247267723083496,1.0,-3.2430785970786173,32606.46484375,-22.914308505334116,True,Bcc2,reset,True,0.6797046661376953,0.0,2.0,3.5656072195340593,1.1953243137718876,8.864713880932927e+20,0.9880076746681131,-3.030041893026224,0.0,0.3333333333333333,0.49860730535223274,0.16666666666666666,0.5883181078158196,0.25,0.0,-0.046940610108433665,5.0,7.759036257414255,10,3.0,2.089942019337422e+22,E_Bcc2,-0.34289434423704535,4.083656311035156,-0.3628002669086503
1.0,1.6887469291687012,1.0,-16.649880510771062,586189.5,-239.67260103484875,True,Bcc2,reset,True,0.7540531158447266,0.0,2.0,4.451143566120365,5.660798942777351,9.636556288294773e+20,0.9999016723903164,-0.013830266648665178,0.0,0.3333333333333333,0.8821181243687887,0.16666666666666666,0.9861543334401456,0.25,0.0,-0.020262027999023106,5.0,80.03749201972511,11,3.0,2.089942019337422e+22,E_Bcc2,-0.33251631756099065,4.6314568519592285,-0.43987502432657677
1.0,1.7416795492172241,1.0,-104.76000809517745,76979856.0,-16467.28473791878,True,Bcc2,reset,True,0.8160820007324219,0.0,2.0,5.694227781073254,35.02832351183719,1.0412894621191929e+21,0.9999994574872054,0.638613046669912,0.0,0.3333333333333333,0.7801360334866242,0.16666666666666666,0.8916645337720844,0.25,0.0,0.02618034171321461,5.0,5489.265285945949,12,3.0,2.089942019337422e+22,E_Bcc2,-0.32496244033413557,5.689868927001953,-0.5111199190644242
1.0,1.813387393951416,1.0,-3733.535643266009,218777763840.0,-11143734.468644354,True,Bcc2,reset,True,0.8663234710693359,0.0,2.0,7.255876419639833,1244.6181317845787,1.1045276455446071e+21,0.999998380258566,-0.3161865455021088,0.0,0.3333333333333333,-4.55368167474286,0.16666666666666666,-17.65088978103699,0.0,0.0,0.054948887856770406,5.0,3714578.3490411914,13,3.0,2.089942019337422e+22,E_Bcc2,-0.3187520877272856,7.180814743041992,-0.5784792196281074
