above_rout,channel,decoder_derivative_maximum,decoder_derivative_median,derivative_over_train_q999,evaluation_clamp,fraction_outside_train_min_max,fraction_outside_train_q001_q999,gate_2_failed,gate_3_failed,legacy_flags,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,normalized_relative_l2,physical_maximum,physical_minimum,radial_skill,raw_relative_l2,shell_skill,step
True,Bcc1,1.3199331916042926e+23,0.24790202068408154,6.933517656142753e+22,0.19561767578125,0.2663383483886719,0.32924652099609375,,,Bcc1:possible_high_frequency_ripple,6.167367696762085,6.3901588916778564,2.008898480914844,0.9805475788148771,2.089942019337422e+22,-2.089942019337422e+22,,3.2352425196062953e+21,,1
True,Bcc2,0.18547631991473815,0.0004602803488131038,9.524349925261296,0.19561767578125,0.007568359375,0.016445159912109375,True,True,,7.482662200927734,10.068222577095035,0.3295942667771372,0.8087929010620839,0.6975175142288208,-0.2578344941139221,-1.2157962227491557,0.9871069942688083,-0.15069826041131673,1
True,Bcc3,0.11436326792764681,0.0003138248197932977,4.6458023165061695,0.19561767578125,0.004638671875,0.039794921875,False,True,,25.877593994140625,65.13401698303224,0.20719605294546786,0.22071012210781957,2.9313042163848877,-4.196778297424316,-26.572938252396565,0.23422580154529826,0.3508396583382881,1
True,rho,14289302243.534403,0.002023829718163315,3842516892.1635466,0.19561767578125,0.20344924926757812,0.2560615539550781,,,,8.31666874885559,8.325132012367249,1.8534484388011137,1.2778829065268533,1.2092770338058472,3.665635176730575e-06,,1.120362356472702,,1
True,press,2280591031862.3384,0.00010335609171592384,40940412723314.74,0.19561767578125,0.102020263671875,0.1430206298828125,,,,5.8073179721832275,6.477802872657776,1.404042586456828,1.2952670541738291,0.01892666704952717,2.0342165285569536e-08,,1.0245103141713983,,1
True,vel1,9.19575213720443,0.19053971971275857,24.040727247298122,0.19561767578125,0.1373138427734375,0.22478103637695312,,,vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy,8.537865996360779,8.82486367225647,1.5211296844001185,1.1315804456619456,3.1266329288482666,-2.7056705951690674,,1.0796997501103527,,1
True,vel2,0.11285225485254133,0.002327263642838804,1.1130733625326368,0.19561767578125,0.06912612915039062,0.06912612915039062,,,vel2:possible_stripe_anisotropy,10.058849334716797,10.058858871459961,0.8382395716342476,1.2327671103300937,0.03573155030608177,-0.03573150932788849,,0.9655410266020995,,1
True,vel3,0.006249537981890898,0.006249537981890898,1.0,0.19561767578125,0.00244140625,0.082275390625,False,True,vel3:possible_stripe_anisotropy,13.398590087890625,56.37335726928745,0.291547859644881,0.21835955629192008,1.5560671091079712,-0.030578982084989548,-2.917019517161079,0.21694963748799084,0.17065572407673812,1
True,Bcc1,2.3240864099491427e+24,0.24761583491369,1.2208264979076842e+24,0.21397018432617188,0.2857246398925781,0.34360504150390625,,,Bcc1:possible_high_frequency_ripple,11.166077852249146,11.388869047164917,3.5803619465525296,1.0554286053012454,2.089942019337422e+22,-2.089942019337422e+22,,2.749066216739658e+21,,2
True,Bcc2,0.27875949048427423,0.00048204818320019764,14.314511596845659,0.21397018432617188,0.008556365966796875,0.01708984375,True,True,,9.017044067382812,11.602604443550113,0.379823933667985,0.9270069487593219,1.0488288402557373,-0.35413217544555664,-0.4529490348093841,1.0006951308185086,-0.04696596553003851,2
True,Bcc3,0.15758120549861146,0.0003311609367084147,6.401453393291012,0.21397018432617188,0.00833892822265625,0.045009613037109375,False,True,,37.669219970703125,76.92564295959474,0.2447060741804465,0.4498490188269102,3.554227113723755,-5.786521911621094,-18.21418027271036,0.38507088034702197,0.12156679950617655,2
True,rho,2.860069236423106e+17,0.0021028611627647905,7.690973405426955e+16,0.21397018432617188,0.23978805541992188,0.2790565490722656,,,,14.45598816871643,14.464451432228088,3.2202630403159844,1.3768094411798752,1.2092770338058472,3.665635176730575e-06,,1.029704745561637,,2
True,press,2757504349482546.5,9.302383300960758e-05,4.9501802198161704e+16,0.21397018432617188,0.116546630859375,0.15526199340820312,,,,7.0103600025177,7.6808449029922485,1.6647980118830508,1.4342949901003323,0.01892666704952717,2.0342165285569536e-08,,0.9969092553190039,,2
True,vel1,9.189235640686947,0.19076379180183556,24.02369097739357,0.21397018432617188,0.152740478515625,0.23857498168945312,,,vel1:possible_high_frequency_ripple;vel1:possible_stripe_anisotropy,10.85348355770111,11.140481233596802,1.9202695171599762,1.4336131662314526,3.1266329288482666,-2.7056705951690674,,1.4255541745690612,,2
True,vel2,0.11055437105875901,0.0023343816932170636,1.0904090990281408,0.21397018432617188,0.08040618896484375,0.08040618896484375,,,vel2:possible_stripe_anisotropy,11.837547302246094,11.837556838989258,0.9864646378590868,1.5853641524125557,0.03573155030608177,-0.03573150932788849,,1.04447061288319,,2
True,vel3,0.006249537981890898,0.006249537981890898,1.0,0.21397018432617188,0.002838134765625,0.09647750854492188,False,True,vel3:possible_stripe_anisotropy,22.103561401367188,65.07832858276402,0.3365676327726534,0.3677174697246614,1.610469102859497,-0.03950218856334686,-1.1728753878592744,0.36525712888496537,-0.1175992119530831,2
True,Bcc1,3.7173805362325123e+24,0.20202553509200627,1.9527142545178587e+24,0.22907447814941406,0.3004035949707031,0.3496131896972656,,,Bcc1:possible_high_frequency_ripple,11.984604120254517,12.207395315170288,3.8376851531047746,1.2343366395283557,2.089942019337422e+22,-2.089942019337422e+22,,1.97317304939766e+21,,3
True,Bcc2,0.3365578486196121,0.0005549133336049754,17.282501193790363,0.22907447814941406,0.00537109375,0.008819580078125,True,False,,9.72665023803711,12.31221061420441,0.40305366699245593,0.7279649655692543,1.2665016651153564,-0.1674112230539322,0.8670313583787402,1.0072607392818114,0.774712296419457,3
True,Bcc3,0.2578722905608841,0.00035053035076794187,10.475598560268937,0.22907447814941406,0.01666259765625,0.055423736572265625,True,True,,55.786376953125,95.04279994201661,0.30233807035118965,0.7575528354195057,4.6315436363220215,-9.475664138793945,-14.796916999642812,0.6225909549555297,-0.017607805213869288,3
True,rho,1.2412350475649507e+17,0.0018959952594231947,3.3377883371259964e+16,0.22907447814941406,0.253662109375,0.2942352294921875,,,,8.867554903030396,8.876018166542053,1.9760938311979737,1.4293239788653156,1.2092770338058472,3.665635176730575e-06,,0.9980239909154649,,3
