actual,best_reduction,channel_in,channel_support,failure_metric_out,metric_primary_support,metric_weak_support,projection,step,teacher_reset
4.0,0.25,Bcc2,supported_primary_driver,stripe_count,False,True,5.0,10,3.0
3.0,0.0,Bcc2,supported_primary_driver,stripe_count,False,True,3.0,19,3.0
0.6975175142288208,0.0,Bcc3,supported_primary_driver,Bcc2_range,True,True,0.6975175142288208,1,0.6975175142288208
0.661692202091217,0.28626024233262376,Bcc3,supported_primary_driver,Bcc2_range,True,True,0.4722760319709778,3,0.9993427395820618
1.1261581182479858,0.4258711774096452,Bcc3,supported_primary_driver,Bcc2_range,True,True,0.6465598344802856,5,2.040900945663452
135.4805450439453,0.8586017247948581,Bcc3,supported_primary_driver,Bcc2_range,True,True,154.3614501953125,10,19.156715393066406
5.3887649544618e+36,1.0,Bcc3,supported_primary_driver,Bcc2_range,True,True,556418.75,19,242.89549255371094
4.196778297424316,0.8311354953744239,Bcc3,supported_primary_driver,Bcc3_range,True,True,0.708686888217926,1,3.017770290374756
7.235844612121582,0.9020588575063201,Bcc3,supported_primary_driver,Bcc3_range,True,True,0.708686888217926,3,11.42733383178711
29.396791458129883,0.9758923728384672,Bcc3,supported_primary_driver,Bcc3_range,True,True,0.708686888217926,5,18.81481170654297
8090.85009765625,0.9999124088470724,Bcc3,supported_primary_driver,Bcc3_range,True,True,0.708686888217926,10,25.389375686645508
3.4028234663852886e+38,1.0,Bcc3,supported_primary_driver,Bcc3_range,True,True,0.708686888217926,19,30.841697692871094
1.5560671091079712,0.0,Bcc3,supported_primary_driver,vel3_range,False,True,1.5560671091079712,1,1.5560671091079712
1.6364045143127441,0.08624284593254422,Bcc3,supported_primary_driver,vel3_range,False,True,1.4952763319015503,3,1.6448357105255127
1.917186975479126,0.16599334806153013,Bcc3,supported_primary_driver,vel3_range,False,True,1.5989466905593872,5,2.0532639026641846
3.900561571121216,0.2761171801636673,Bcc3,supported_primary_driver,vel3_range,False,True,2.887834072113037,10,2.823549509048462
28.836877822875977,0.8008613795420267,Bcc3,supported_primary_driver,vel3_range,False,True,9.223113059997559,19,5.7425360679626465
2.089942019337422e+22,0.0,Bcc3,supported_primary_driver,total_decoded_range,False,False,2.089942019337422e+22,1,2.089942019337422e+22
2.089942019337422e+22,0.0,Bcc3,supported_primary_driver,total_decoded_range,False,False,2.089942019337422e+22,3,2.089942019337422e+22
2.089942019337422e+22,0.0,Bcc3,supported_primary_driver,total_decoded_range,False,False,2.089942019337422e+22,5,2.089942019337422e+22
2.089942019337422e+22,0.0,Bcc3,supported_primary_driver,total_decoded_range,False,False,2.089942019337422e+22,10,2.089942019337422e+22
3.4028234663852886e+38,0.9999999999999999,Bcc3,supported_primary_driver,total_decoded_range,False,False,2.089942019337422e+22,19,2.089942019337422e+22
1.0,0.0,Bcc3,supported_primary_driver,gate_2_count,True,True,2.0,1,1.0
2.0,0.5,Bcc3,supported_primary_driver,gate_2_count,True,True,2.0,3,1.0
2.0,1.0,Bcc3,supported_primary_driver,gate_2_count,True,True,2.0,5,0.0
0.0,0.0,Bcc3,supported_primary_driver,gate_2_count,True,True,1.0,10,0.0
0.0,0.0,Bcc3,supported_primary_driver,gate_2_count,True,True,1.0,19,0.0
3.0,0.3333333333333333,Bcc3,supported_primary_driver,gate_3_count,False,True,3.0,1,2.0
3.0,0.3333333333333333,Bcc3,supported_primary_driver,gate_3_count,False,True,3.0,3,2.0
3.0,0.3333333333333333,Bcc3,supported_primary_driver,gate_3_count,False,True,3.0,5,2.0
3.0,0.3333333333333333,Bcc3,supported_primary_driver,gate_3_count,False,True,3.0,10,2.0
3.0,0.3333333333333333,Bcc3,supported_primary_driver,gate_3_count,False,True,3.0,19,2.0
0.05023275347043891,0.0,Bcc3,supported_primary_driver,shell_transport_error,True,True,0.41153981384520116,1,0.05023275347043891
0.08238949380030329,0.9167520569049885,Bcc3,supported_primary_driver,shell_transport_error,True,True,0.05658047134184415,3,0.006858755891514449
0.09652711320792677,0.17960138045912521,Bcc3,supported_primary_driver,shell_transport_error,True,True,0.07919071042404886,5,0.1311530571850347
18.8471642904881,0.9861774501715602,Bcc3,supported_primary_driver,shell_transport_error,True,True,19.52522378629033,10,0.2605158675300627
5.878290370762984e+17,1.0,Bcc3,supported_primary_driver,shell_transport_error,True,True,31.723298642910677,19,3.274126524684817
10.235251330768934,0.865405821301581,Bcc3,supported_primary_driver,radial_transport_error,True,True,2.8662043429201005,1,1.377605246636745
0.969940545698034,0.8304736908464133,Bcc3,supported_primary_driver,radial_transport_error,True,True,0.5931102866990844,3,0.1644304408106035
0.5353221339012785,0.8357327935795853,Bcc3,supported_primary_driver,radial_transport_error,True,True,0.08793587147097821,5,0.3956695053354397
2.3840082365213027,0.9480055080389568,Bcc3,supported_primary_driver,radial_transport_error,True,True,0.4740995096304434,10,0.12395529708886799
409941183.5639408,0.9999999987764394,Bcc3,supported_primary_driver,radial_transport_error,True,True,2.1465613712468117,19,0.5015878525400719
2.0,0.0,Bcc3,supported_primary_driver,ripple_count,False,False,2.0,1,2.0
2.0,0.0,Bcc3,supported_primary_driver,ripple_count,False,False,2.0,3,2.0
5.0,0.2,Bcc3,supported_primary_driver,ripple_count,False,False,4.0,5,4.0
6.0,0.16666666666666666,Bcc3,supported_primary_driver,ripple_count,False,False,5.0,10,5.0
6.0,0.16666666666666666,Bcc3,supported_primary_driver,ripple_count,False,False,5.0,19,5.0
3.0,0.0,Bcc3,supported_primary_driver,stripe_count,False,True,3.0,1,3.0
5.0,0.2,Bcc3,supported_primary_driver,stripe_count,False,True,5.0,3,4.0
5.0,0.4,Bcc3,supported_primary_driver,stripe_count,False,True,5.0,5,3.0
4.0,0.0,Bcc3,supported_primary_driver,stripe_count,False,True,4.0,10,4.0
3.0,0.0,Bcc3,supported_primary_driver,stripe_count,False,True,3.0,19,3.0
0.6975175142288208,0.0,vel3,supported_primary_driver,Bcc2_range,True,True,0.6975175142288208,1,0.6975175142288208
0.661692202091217,0.640946063060962,vel3,supported_primary_driver,Bcc2_range,True,True,0.237583190202713,3,0.6141918301582336
1.1261581182479858,0.5132581072370944,vel3,supported_primary_driver,Bcc2_range,True,True,0.5481483340263367,5,1.0685882568359375
135.4805450439453,0.9931722793332652,vel3,supported_primary_driver,Bcc2_range,True,True,48.332096099853516,10,0.9250233173370361
5.3887649544618e+36,1.0,vel3,supported_primary_driver,Bcc2_range,True,True,13224.6591796875,19,1.3391739130020142
4.196778297424316,0.0,vel3,supported_primary_driver,Bcc3_range,True,True,4.196778297424316,1,4.196778297424316
7.235844612121582,0.3400103171957788,vel3,supported_primary_driver,Bcc3_range,True,True,4.775582790374756,3,5.960448741912842
29.396791458129883,0.8286445770722701,vel3,supported_primary_driver,Bcc3_range,True,True,5.037299633026123,5,7.240691661834717
8090.85009765625,0.9989180152846525,vel3,supported_primary_driver,Bcc3_range,True,True,343.6825256347656,10,8.754176139831543
3.4028234663852886e+38,1.0,vel3,supported_primary_driver,Bcc3_range,True,True,306489.09375,19,9.427616119384766
1.5560671091079712,0.22640889765504144,vel3,supported_primary_driver,vel3_range,True,True,1.2037596702575684,1,1.5521224737167358
1.6364045143127441,0.2643874667119686,vel3,supported_primary_driver,vel3_range,True,True,1.2037596702575684,3,1.9100544452667236
1.917186975479126,0.3721219236028162,vel3,supported_primary_driver,vel3_range,True,True,1.2037596702575684,5,1.853528618812561
3.900561571121216,0.6913881121195716,vel3,supported_primary_driver,vel3_range,True,True,1.2037596702575684,10,1.7991573810577393
28.836877822875977,0.9582562412737125,vel3,supported_primary_driver,vel3_range,True,True,1.2037596702575684,19,2.0719871520996094
