absolute_residual_error_mean,absolute_residual_error_median,channel,model,pair_count,region,residual_cosine_mean,residual_cosine_median,residual_l2_mean,residual_l2_median,state_l2_mean,state_l2_median
2.5789729966638855,2.687144411724544,ALL,3D CNN/U-Net,42,equatorial,0.7831162968000513,0.7787046763695684,0.6501001724089361,0.6465201772025782,0.4765096925522756,0.47926467840086207
0.5697335548370784,0.5959771674695133,Bcc1,3D CNN/U-Net,42,equatorial,0.6930171795531288,0.6969456774178504,0.7354529863381487,0.7363739037331253,0.4965792803795909,0.49329855542150547
9.462048837161438,10.146708846196248,Bcc2,3D CNN/U-Net,42,equatorial,0.7034846616695108,0.6928860124071835,0.7414468614140235,0.7522710704295651,0.6394249518242723,0.6523172088849357
7.954384317038425,7.9847789392385025,Bcc3,3D CNN/U-Net,42,equatorial,0.8173438610397806,0.813757866100365,0.6067517336545807,0.6020222130914499,0.4196999522014617,0.4182914177050242
0.15342505282743815,0.16476916389999863,press,3D CNN/U-Net,42,equatorial,0.32846698560599535,0.3189116685833582,0.9488516386572514,0.9553965819305182,0.20947051768139313,0.2224275056263882
0.13401815173635934,0.14641004838684424,rho,3D CNN/U-Net,42,equatorial,0.31996592726211504,0.2972299732851544,0.9480337640727243,0.9589475095895357,0.19973542116037715,0.21586378967266917
0.151664283427874,0.1473723805358551,vel1,3D CNN/U-Net,42,equatorial,0.3145143985787367,0.32435008295618684,0.9708606103808792,0.9836238285386987,0.24903862994941411,0.24367778648942165
1.3276168172322804,1.4066581905920685,vel2,3D CNN/U-Net,42,equatorial,0.6871734837317479,0.695032491443645,0.7482267421778838,0.7505892128480126,1.0149165454601765,1.0356039533912553
0.8788929590501918,0.9030186479520046,vel3,3D CNN/U-Net,42,equatorial,0.579871956553705,0.5672207026708389,0.8761018109521882,0.9036176019580211,0.21894540859876208,0.22373018219355761
0.8065659219735943,0.8340993669149582,ALL,3D CNN/U-Net,42,mid_latitude_north,0.7020487817539427,0.7319310724663798,0.7457281974479602,0.7124783608011722,0.1190416273011768,0.12222672060075129
0.048456269882928026,0.04715269865616101,Bcc1,3D CNN/U-Net,42,mid_latitude_north,0.019988704694777065,0.013730033504987912,2.0543409329742466,2.1621366968568956,0.022663787462257428,0.022643123018007538
4.283459163890939,4.2875977970278,Bcc2,3D CNN/U-Net,42,mid_latitude_north,0.7095592604015225,0.7408307596269244,0.738096143610702,0.6974360470050085,0.2960748453072706,0.3052212343643642
0.8555683950804577,0.7763481712970365,Bcc3,3D CNN/U-Net,42,mid_latitude_north,0.231008862106964,0.24020143088994694,1.3559918327043168,1.3534364926623024,0.01656165822378988,0.014394742801250183
