absolute_residual_error_mean,absolute_residual_error_median,channel,model,pair_count,region,residual_cosine_mean,residual_cosine_median,residual_l2_mean,residual_l2_median,state_l2_mean,state_l2_median
3.170416763849907,3.1618834523379737,ALL,3D CNN/U-Net,42,inner,0.7660843522775316,0.763944906771544,0.6703962265950658,0.6712125653781922,0.2354574587346333,0.23931532787273052
0.4612059113203787,0.47988141841633913,Bcc1,3D CNN/U-Net,42,inner,0.6912851619325641,0.6928942126914044,0.7389953020114014,0.7367062255264424,0.2707790415464014,0.2649201141560498
13.638821872313482,13.372355418481199,Bcc2,3D CNN/U-Net,42,inner,0.6965870188890548,0.6901233866494576,0.7461661814923006,0.746750102000226,0.4060875205445273,0.4222569421938034
7.649454474302636,7.490747725532769,Bcc3,3D CNN/U-Net,42,inner,0.807815666081593,0.8047140076821551,0.6201843269243981,0.6205324325808453,0.1852087274950517,0.183292082087129
0.15573381302325828,0.16277615945061474,press,3D CNN/U-Net,42,inner,0.2884310580979011,0.2797309616451249,0.9699007483613878,0.9734729359011169,0.14378303367684914,0.15123785974492449
0.10331536643602159,0.11112397254076745,rho,3D CNN/U-Net,42,inner,0.289471872156296,0.2661236733874607,0.956228218289584,0.9722238487373963,0.19336504052511086,0.20815157151231317
0.17634660759578202,0.17694781309795293,vel1,3D CNN/U-Net,42,inner,0.2770537550434981,0.2737846831907225,0.9993910287245261,1.0115236343798344,0.17824724669729924,0.17936139865865303
1.6659690547379453,1.6970817241164338,vel2,3D CNN/U-Net,42,inner,0.6595697594635881,0.6618884379977004,0.768498474211543,0.7720662970646595,0.7353711929199591,0.7559491104585688
1.5124870110697504,1.5001238913126773,vel3,3D CNN/U-Net,42,inner,0.446128962601743,0.4244748207211611,0.958490147871022,0.9610028237151809,0.1332312794638119,0.13357828543078182
0.416533987623882,0.34341833490235096,ALL,3D CNN/U-Net,42,middle,0.7143982563251514,0.7255705848572097,0.82409749808329,0.7907347594148737,0.149298509823962,0.12916525296338432
0.07472848931974027,0.07033003563688431,Bcc1,3D CNN/U-Net,42,middle,0.5224487856358218,0.6060676413443835,0.904419960537818,0.879053326097651,0.07414021578923677,0.07842336969577815
1.4842648499306537,1.15235596522662,Bcc2,3D CNN/U-Net,42,middle,0.7619449169809145,0.762868612417946,0.8052079424007985,0.7695541842977773,0.37015737170154833,0.3463755785553788
0.8542747604783172,0.724966555153796,Bcc3,3D CNN/U-Net,42,middle,0.5377079401796373,0.5376389073709806,0.8897610314347718,0.9213547395149018,0.07284592367385839,0.06265318842859507
