accumulation_count,clipping_triggered,gradient_norm_after_clip,gradient_norm_before_clip,interval,learning_rate,mean_microbatch_loss,microbatches_seen,nonfinite,optimizer_update
4,True,0.9888567924499512,4.644755840301514,1,2.5e-05,3.3131174743175507,4,False,1
4,True,0.9888421297073364,8.935169219970703,1,5e-05,14.377271071076393,8,False,2
4,True,0.9882012009620667,3.4832944869995117,1,7.500000000000001e-05,9.500417701900005,12,False,3
4,True,0.9887925386428833,8.140190124511719,1,0.0001,9.248487293720245,16,False,4
4,True,0.9992745518684387,1.3929940462112427,1,0.000125,3.571878742426634,20,False,5
4,True,0.9899568557739258,16.671430587768555,1,0.00015000000000000001,636.4085600785911,24,False,6
4,True,0.9872837662696838,7.141213893890381,1,0.000175,14.807396411895752,28,False,7
4,True,0.9840729236602783,8.497321128845215,1,0.0002,68.73540019989014,32,False,8
4,True,0.9887681007385254,10.396286010742188,1,0.00022500000000000002,181.4838306903839,36,False,9
4,True,0.9885863065719604,2.9746503829956055,1,0.00025,2.4228661209344864,40,False,10
4,True,0.9905551075935364,6.275811672210693,1,0.00027499999999999996,203.67773332446814,44,False,11
4,True,0.9870992302894592,37.968570709228516,1,0.00030000000000000003,653.4467181935906,48,False,12
4,True,0.9873911738395691,5.566368103027344,1,0.00032500000000000004,25.382931232452393,52,False,13
4,True,0.9892292022705078,2.1207993030548096,1,0.00035,4.87948976457119,56,False,14
4,True,0.986157238483429,4.725066184997559,1,0.000375,70.03930288553238,60,False,15
4,True,0.9858357906341553,2.680921792984009,1,0.0004,9.025841414928436,64,False,16
4,True,0.991950511932373,2.0195882320404053,1,0.00042500000000000003,4.112946756184101,68,False,17
4,True,0.985145628452301,2.616408348083496,1,0.00045000000000000004,10.83256620168686,72,False,18
4,True,0.9877764582633972,1.0693191289901733,1,0.000475,7.005171485245228,76,False,19
3,True,0.9894665479660034,8.517608642578125,1,0.0005,447.2126630147298,79,False,20
4,False,0.8790051937103271,0.8790051937103271,2,0.0005250000000000001,16.426329612731934,83,False,21
4,True,0.983235776424408,1.6131296157836914,2,0.0005499999999999999,12.539125382900238,87,False,22
4,True,0.9891673922538757,8.462679862976074,2,0.000575,375.9293418675661,91,False,23
4,True,0.9865289330482483,1.2540733814239502,2,0.0006000000000000001,11.818485826253891,95,False,24
4,True,0.9913835525512695,6.884777069091797,2,0.000625,185.8685674071312,99,False,25
4,True,0.9957417845726013,1.7587319612503052,2,0.0006500000000000001,18.560514509677887,103,False,26
4,True,0.9955202341079712,8.199448585510254,2,0.000675,190.4016111791134,107,False,27
4,True,0.9868314266204834,27.178138732910156,2,0.0007,655.4279155135155,111,False,28
4,True,0.9915866255760193,3.2659807205200195,2,0.0007250000000000001,11.062115803360939,115,False,29
4,True,0.9969654083251953,17.100919723510742,2,0.00075,323.06997103989124,119,False,30
4,True,0.9951585531234741,8.53294563293457,2,0.000775,30.09743820130825,123,False,31
4,True,0.9980567693710327,6.322184085845947,2,0.0008,67.5356672257185,127,False,32
4,True,0.9987485408782959,3.7214601039886475,2,0.000825,17.748476963490248,131,False,33
4,True,0.998217761516571,22.12747573852539,2,0.0008500000000000001,270.73852387070656,135,False,34
4,True,0.9965552687644958,4.181494235992432,2,0.0008750000000000001,16.897991500794888,139,False,35
4,True,0.9969488382339478,2.8594608306884766,2,0.0009000000000000001,8.248158350586891,143,False,36
4,False,0.862246572971344,0.862246572971344,2,0.0009249999999999999,6.828647166490555,147,False,37
4,True,0.9979605674743652,7.998518943786621,2,0.00095,11.513376832008362,151,False,38
4,True,0.996714174747467,5.260588645935059,2,0.000975,10.522110998630524,155,False,39
3,True,0.9961998462677002,3.4568116664886475,2,0.001,6.799683769543965,158,False,40
