clipping_fraction,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_before_clip_mean,learning_rate_end,microbatches_seen,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,train_loss_mean,train_loss_median
0.9761904761904762,1,37.31306893400142,1715.66015625,2368.0,9.082076142231623,1.3333333333333335e-05,168,168,0,42,42,110.07221946714535,7.410309076309204
0.9761904761904762,2,36.969894971998656,1715.66015625,2368.0,7.753969046331587,2.666666666666667e-05,336,168,0,84,42,109.854522896221,6.954651355743408
0.9523809523809523,3,38.42969168200034,1715.66015625,2368.0,5.779776614336741,4e-05,504,168,0,126,42,109.5279582325103,6.40406608581543
0.9523809523809523,4,38.454437293999945,1715.66015625,2368.0,4.469847988514673,5.333333333333334e-05,672,168,0,168,42,109.16432287703667,6.318687438964844
0.9761904761904762,5,38.293722623000576,1715.66015625,2368.0,5.006930085874739,6.666666666666667e-05,840,168,0,210,42,108.78545130673973,6.133833646774292
0.9761904761904762,6,38.23644886999864,1715.66015625,2368.0,6.788174446140017,8e-05,1008,168,0,252,42,108.42919356433586,6.156607151031494
0.9523809523809523,7,38.34304716900078,1715.66015625,2368.0,8.97367863569941,9.333333333333333e-05,1176,168,0,294,42,108.07756238767789,5.984024286270142
0.9523809523809523,8,38.31748706000144,1715.66015625,2368.0,12.276918169288408,0.00010666666666666668,1344,168,0,336,42,107.4124493494275,6.350912809371948
0.9285714285714286,9,38.41567463899992,1715.66015625,2368.0,17.61865671120939,0.00012,1512,168,0,378,42,106.35312145810929,6.443266153335571
1.0,10,38.370665390000795,1715.66015625,2368.0,22.394870477063314,0.00013333333333333334,1680,168,0,420,42,104.96631540735031,6.321723937988281
0.9761904761904762,11,38.28538798000045,1715.66015625,2368.0,27.31438928558713,0.00014666666666666666,1848,168,0,462,42,103.26169544201167,6.193308353424072
0.9761904761904762,12,38.29029235000053,1715.66015625,2368.0,30.63756784370967,0.00016,2016,168,0,504,42,100.9901010830044,6.30853533744812
