E_model_oracle,E_model_raw,E_norm,E_norm_Bcc1,E_norm_Bcc2,E_norm_Bcc3,E_norm_press,E_norm_rho,E_norm_vel1,E_norm_vel2,E_norm_vel3,E_oracle_raw,above_rin,above_rout,artifact_flag_count,evaluation_bound_clamp_fraction,finite,model_only_saturation_mean,prediction_global_norm,rho_press_positive,step
4.044054539840612e+20,4.044053149507704e+20,0.8957384593711643,0.9805475788148661,0.8087929010620751,0.22071012210782076,1.2952670541738014,1.2778829065268287,1.1315804456619272,1.232767110330079,0.21835955629191547,0.09194683452019373,True,True,5,0.19561767578125,True,0.028041362762451172,41245.9453125,True,1
2.4155929769632603e+20,2.4155916896214073e+20,0.9933693205630829,0.9178444351514174,0.9320476558499988,0.5319656829680446,1.2372789082227376,1.2439282810856727,1.291971969216323,1.427004937083878,0.36491269492659106,0.09724115512915822,True,True,5,0.18619155883789062,True,0.026985645294189453,41153.7421875,True,2
1.4291495391588608e+20,1.4291487264918084e+20,0.992983419306915,0.9855611975747165,0.6117271592873829,0.5805695791979675,1.1872367343358496,1.3066719267965967,1.452961881283965,1.485187748755239,0.33395112722360304,0.059678981315656056,True,True,8,0.20140647888183594,True,0.020507335662841797,41356.71875,True,3
2.7411696574184987e+20,2.7411683344021714e+20,1.0997371585226423,1.289680747364063,0.7000386140070741,0.6550588057681804,1.3448152375289193,1.5140555400857143,1.2748410060390523,1.6017563492147764,0.4176509681733576,0.049830056639289654,True,True,10,0.23446273803710938,True,0.031245708465576172,42250.96875,True,4
3.8844647622083445e+20,3.8844631144784953e+20,1.2702028109671128,1.783246767138628,0.762695761659519,0.6834253460968011,1.6106790160266118,1.756403655085952,1.421078188954688,1.6530482588396749,0.4910454939350276,0.0490549470150524,True,True,11,0.28165435791015625,True,0.04360532760620117,44585.0625,True,5
4.598787670515743e+20,4.598785920411093e+20,1.4856651507655128,2.2793204890207375,0.780782998535778,0.724148548053148,1.9953637074008128,2.0431062117135084,1.5982603800845672,1.8368015710855543,0.6275373002299961,0.04654691026268399,True,True,11,0.3337879180908203,True,0.06077718734741211,48195.203125,True,6
5.444378983048856e+20,5.444377100751281e+20,1.7849129883338877,2.883786850969188,0.8666739248115203,0.7847898973418936,2.48457232163858,2.4132170153499066,1.842079134194795,2.1807634355664676,0.8234213267987502,0.04495179003036866,True,True,12,0.38990211486816406,True,0.08968925476074219,53416.72265625,True,7
6.431089322291436e+20,6.431087247215619e+20,2.1908553638296686,3.7095968019693055,0.9848114743751404,0.8639480554745594,3.1262559604806923,2.9464948922746133,2.1750896076863007,2.6255606095238395,1.0950855088528957,0.044749559018449,True,True,11,0.4736595153808594,True,0.13576936721801758,61191.421875,True,8
7.432771980471648e+20,7.432769703573861e+20,2.6972992639350606,4.750000560284996,1.1392862711739549,0.9741838433628542,3.929835826551685,3.6610019476046642,2.5354524841922528,3.1765641007439376,1.4120690775661395,0.04417382388534469,True,True,10,0.557373046875,True,0.1961078643798828,72211.15625,True,9
8.329946616283934e+20,8.329944314088834e+20,3.3142536939983693,5.983706029375552,1.304691872760932,1.1356836497290241,4.989022346438227,4.553836842505884,2.9601195301749836,3.765605721617885,1.8213635593844664,0.04385290060254403,True,True,11,0.6431732177734375,True,0.2633180618286133,87119.4609375,True,10
9.137942321645266e+20,9.137939985476043e+20,4.132022504273417,7.607134259619935,1.5392072600419582,1.3688494960491244,6.322877737479121,5.8321981785928445,3.5134804314202537,4.522818167063819,2.3496145039202747,0.04364611375958618,True,True,11,0.7211360931396484,True,0.335268497467041,107219.21875,True,11
9.972939802024508e+20,9.972937273776911e+20,5.180480002224134,9.788834890364598,1.8481436832407188,1.6849693235054686,7.882774367977487,7.3497266804078,4.272652279966433,5.557478923744236,3.0592598685863286,0.04313861730611267,True,True,11,0.7954635620117188,True,0.41303443908691406,133856.875,True,12
1.0702106547520251e+21,1.0702104048170077e+21,6.548911657284878,12.757186476742733,2.2474227767599877,2.100498480265107,9.946733705109265,9.25858161334662,5.2648188302614765,6.915582457444398,3.900468918349434,0.04303785732065222,True,True,10,0.8451061248779297,True,0.49547338485717773,168156.296875,True,13
1.1298787532749404e+21,1.1298785115799548e+21,8.297229937486811,16.434480679711537,2.7930030516061115,2.6299078706198187,12.600633919512678,11.751289609962644,6.475405041035483,8.671554151841104,5.021565175605112,0.04264615283831009,True,True,10,0.8736114501953125,True,0.5675654411315918,212389.703125,True,14
1.162359585809936e+21,1.1623593327513365e+21,10.5487238421187,21.057482419529155,3.517113392650346,3.3076410193260637,16.065688329451714,14.967503082818236,8.047754698866658,10.939280561349282,6.487327232958144,0.04256838149337483,True,True,10,0.8978672027587891,True,0.6224236488342285,269603.65625,True,15
1.1862055679257587e+21,1.1862053393685246e+21,13.402229264650888,26.896050763890006,4.4524266695302055,4.1908920427193195,20.200654063667056,19.277951319922025,9.975688604202311,13.877757207625992,8.346413445650194,0.04198389142849229,True,True,10,0.9108638763427734,True,0.6617259979248047,343689.21875,True,16
3.7267288043668085e+25,3.726728601601173e+25,17.140407537775932,34.631617270048984,5.7112647770134926,5.339418893581325,25.31612872976868,24.973495418799466,12.631889599586906,17.767241883045372,10.752203730363235,0.04122318458728722,True,True,10,0.9276046752929688,True,0.6890978813171387,439170.09375,True,17
1.2284306563608184e+34,1.228430592464595e+34,21.851624062153405,44.36649973669517,7.3176386959749715,6.819563406706225,31.958394222954883,31.89394972247506,15.96492820421574,22.706659945008337,13.785358563196839,0.042453006716104705,True,True,10,0.94384765625,True,0.7101626396179199,561607.5625,True,18
