axis,circular_shift_equivariance_error,kept_modes,lowpass_relative_l2,shifted_boundary_energy_fraction,test
phi,1.6768595048782153e-16,8,1.740473314988498e-07,0.17666507046455507,pure_phi_sinusoid
theta,1.3207846474841273e-16,8,0.03222180142468481,0.2273451646129394,pure_theta_sinusoid
r,1.8574801553285496e-16,8,0.032221801424684685,0.22734516461293955,pure_log_r_sinusoid
r,2.0461786254455422e-16,8,0.3412457156970096,5.272840922856866e-35,localized_radial_pulse
theta,2.0461786254455422e-16,8,0.3412457156970096,5.272840922856866e-35,localized_theta_pulse
