Z,basis,near_zero,near_zero_threshold,positive_support_count,r,r_index,theta,theta_index
1.4461005879032413e-05,0,False,6.534747158743004e-09,1,1.1456345721309733,0,0.02454369328916073,0
1.8455210416937836e-05,0,False,6.534747158743004e-09,1,1.2426617876622312,1,0.02454369328916073,0
2.355263488463772e-05,0,False,6.534747158743004e-09,1,1.3479065280332274,2,0.02454369328916073,0
3.005799432662862e-05,0,False,6.534747158743004e-09,1,1.4620647599799128,3,0.02454369328916073,0
3.836016765703523e-05,0,False,6.534747158743004e-09,1,1.5858913937409358,4,0.02454369328916073,0
4.8955444155241924e-05,0,False,6.534747158743004e-09,1,1.72020527515903,5,0.02454369328916073,0
6.247719076372378e-05,0,False,6.534747158743004e-09,1,1.865894600578393,6,0.02454369328916073,0
7.973371364681545e-05,0,False,6.534747158743004e-09,1,2.0239227903459005,7,0.02454369328916073,0
0.00010175657730762925,0,False,6.534747158743004e-09,1,2.1953348597566915,8,0.02454369328916073,0
0.00012986226969471026,0,False,6.534747158743004e-09,1,2.3812643295741793,9,0.02454369328916073,0
0.00016573089952974765,0,False,6.534747158743004e-09,1,2.582940721822646,10,0.02454369328916073,0
0.0002115066302437958,0,False,6.534747158743004e-09,1,2.8016976904209168,11,0.02454369328916073,0
0.00026992585428558673,0,False,6.534747158743004e-09,1,3.0389818404236975,12,0.02454369328916073,0
0.000344480769836014,0,False,6.534747158743004e-09,1,3.2963622941908164,13,0.02454369328916073,0
0.0004396281382562952,0,False,6.534747158743004e-09,1,3.575541067743924,14,0.02454369328916073,0
0.0005610557014218871,0,False,6.534747158743004e-09,1,3.8783643259278544,15,0.02454369328916073,0
0.000716022184900482,0,False,6.534747158743004e-09,1,4.206834590805233,16,0.02454369328916073,0
0.0009137912117644598,0,False,6.534747158743004e-09,1,4.5631239840165145,17,0.02454369328916073,0
0.0011661850656401287,0,False,6.534747158743004e-09,1,4.949588590675056,18,0.02454369328916073,0
0.0014882914059723108,0,False,6.534747158743004e-09,1,5.368784039783396,19,0.02454369328916073,0
0.001899365181696267,0,False,6.534747158743004e-09,1,5.823482404201546,20,0.02454369328916073,0
0.002423979658125649,0,False,6.534747158743004e-09,1,6.316690531924104,21,0.02454369328916073,0
0.0030934953634137578,0,False,6.534747158743004e-09,1,6.851669929888003,22,0.02454369328916073,0
0.003947934765616892,0,False,6.534747158743004e-09,1,7.431958331799358,23,0.02454369328916073,0
0.00503837474524826,0,False,6.534747158743004e-09,1,8.061393092604032,24,0.02454369328916073,0
0.006429999881112295,0,False,6.534747158743004e-09,1,8.744136564305812,25,0.02454369328916073,0
0.008205999069461175,0,False,6.534747158743004e-09,1,9.484703620938475,26,0.02454369328916073,0
0.010472538409495104,0,False,6.534747158743004e-09,1,10.287991514709972,27,0.02454369328916073,0
0.013365107625530408,0,False,6.534747158743004e-09,1,11.159312260752715,28,0.02454369328916073,0
0.017056619403759417,0,False,6.534747158743004e-09,1,12.104427764635117,29,0.02454369328916073,0
0.02176774580767036,0,False,6.534747158743004e-09,1,13.12958792492707,30,0.02454369328916073,0
0.027780109664809344,0,False,6.534747158743004e-09,1,14.241571962785574,31,0.02454369328916073,0
0.03545311948272076,0,False,6.534747158743004e-09,1,15.447733251866454,32,0.02454369328916073,0
0.04524545425565012,0,False,6.534747158743004e-09,1,16.756047945015283,33,0.02454369328916073,0
0.0577424824858609,0,False,6.534747158743004e-09,1,18.17516771929809,34,0.02454369328916073,0
0.07369125448030102,0,False,6.534747158743004e-09,1,19.714476988166325,35,0.02454369328916073,0
0.09404515970040277,0,False,6.534747158743004e-09,1,21.384154959091035,36,0.02454369328916073,0
0.12002091870261983,0,False,6.534747158743004e-09,1,23.195242947043564,37,0.02454369328916073,0
0.15317131654739624,0,False,6.534747158743004e-09,1,25.159717388956086,38,0.02454369328916073,0
0.19547802555147942,0,False,6.534747158743004e-09,1,27.290569041994974,39,0.02454369328916073,0
0.2494700661639918,0,False,6.534747158743004e-09,1,29.60188888937262,40,0.02454369328916073,0
0.3183749873485236,0,False,6.534747158743004e-09,1,32.108961321779226,41,0.02454369328916073,0
0.406311803767835,0,False,6.534747158743004e-09,1,34.82836521062847,42,0.02454369328916073,0
0.518537223215808,0,False,6.534747158743004e-09,1,37.77808354149836,43,0.02454369328916073,0
0.6617598833382596,0,False,6.534747158743004e-09,1,40.97762233275594,44,0.02454369328916073,0
0.8445413821595787,0,False,6.534747158743004e-09,1,44.44813962575559,45,0.02454369328916073,0
1.077808075312764,0,False,6.534747158743004e-09,1,48.212585399602744,46,0.02454369328916073,0
1.3755042343086803,0,False,6.534747158743004e-09,1,52.29585333571705,47,0.02454369328916073,0
1.7554256104938548,0,False,6.534747158743004e-09,1,56.72494543578993,48,0.02454369328916073,0
2.240283233680094,0,False,6.534747158743004e-09,1,61.52915058172892,49,0.02454369328916073,0
2.85906103745187,0,False,6.534747158743004e-09,1,66.74023821837727,50,0.02454369328916073,0
3.6487484675978235,0,False,6.534747158743004e-09,1,72.39266843980191,51,0.02454369328916073,0
4.656551645942838,0,False,6.534747158743004e-09,1,78.5238198684169,52,0.02454369328916073,0
5.942715269054533,0,False,6.534747158743004e-09,1,85.17423683387099,53,0.02454369328916073,0
7.584123929952282,0,False,6.534747158743004e-09,1,92.38789748625364,54,0.02454369328916073,0
9.67889814347877,0,False,6.534747158743004e-09,1,100.21250461660972,55,0.02454369328916073,0
12.3522598176249,0,False,6.534747158743004e-09,1,108.69980110791299,56,0.02454369328916073,0
15.764017798339193,0,False,6.534747158743004e-09,1,117.90591210252481,57,0.02454369328916073,0
20.118120960488017,0,False,6.534747158743004e-09,1,127.89171614883756,58,0.02454369328916073,0
25.67484991189661,0,False,6.534747158743004e-09,1,138.72324778143664,59,0.02454369328916073,0
32.76637610903538,0,False,6.534747158743004e-09,1,150.47213419697917,60,0.02454369328916073,0
41.81661848084622,0,False,6.534747158743004e-09,1,163.21606891345826,61,0.02454369328916073,0
53.36658455466085,0,False,6.534747158743004e-09,1,177.0393255450854,62,0.02454369328916073,0
68.10671093202461,0,False,6.534747158743004e-09,1,192.03331509030292,63,0.02454369328916073,0
4.3348179805361754e-05,0,False,6.534747158743004e-09,1,1.1456345721309733,0,0.07363107986748219,1
5.53211710299598e-05,0,False,6.534747158743004e-09,1,1.2426617876622312,1,0.07363107986748219,1
7.060116429035183e-05,0,False,6.534747158743004e-09,1,1.3479065280332274,2,0.07363107986748219,1
9.010157063475457e-05,0,False,6.534747158743004e-09,1,1.4620647599799128,3,0.07363107986748219,1
0.00011498808996212409,0,False,6.534747158743004e-09,1,1.5858913937409358,4,0.07363107986748219,1
0.00014674839450620308,0,False,6.534747158743004e-09,1,1.72020527515903,5,0.07363107986748219,1
0.00018728105925789115,0,False,6.534747158743004e-09,1,1.865894600578393,6,0.07363107986748219,1
0.00023900905542973514,0,False,6.534747158743004e-09,1,2.0239227903459005,7,0.07363107986748219,1
0.00030502459140169057,0,False,6.534747158743004e-09,1,2.1953348597566915,8,0.07363107986748219,1
0.00038927395948443785,0,False,6.534747158743004e-09,1,2.3812643295741793,9,0.07363107986748219,1
0.0004967934383137484,0,False,6.534747158743004e-09,1,2.582940721822646,10,0.07363107986748219,1
0.0006340103527049862,0,False,6.534747158743004e-09,1,2.8016976904209168,11,0.07363107986748219,1
