Z,active_candidate_count,basis,h_phi,h_r,h_theta,positive_support_count,r_index,repaired,theta_index
1.4461005879032413e-05,21,0,0.002755779482437956,0.0970272155312577,0.05621362564658345,1,0,True,0
6.428229714806657e-05,21,1,0.002755779482437956,0.0970272155312577,0.05621362564658345,8,0,True,0
0.0001580746073866605,21,2,0.002755779482437956,0.0970272155312577,0.05621362564658345,11,0,True,0
0.00029307591369405147,21,3,0.002755779482437956,0.0970272155312577,0.05621362564658345,13,0,True,0
0.00016846236996105105,21,4,0.002755779482437956,0.0970272155312577,0.05621362564658345,9,0,True,0
68.10671093202461,31,0,0.461928683494635,14.993989545217545,9.422628426863309,1,63,True,0
309.95720880016415,31,1,0.461928683494635,14.993989545217545,9.422628426863309,8,63,True,0
636.9540412818659,31,2,0.461928683494635,14.993989545217545,9.422628426863309,17,63,True,0
1041.5891390107906,31,3,0.461928683494635,14.993989545217545,9.422628426863309,23,63,True,0
1349.4894055542893,31,4,0.461928683494635,14.993989545217545,9.422628426863309,13,63,True,0
1.4460954380366008e-05,21,0,0.002755769668530849,0.09702721553125793,0.05621362564658346,1,0,True,63
6.428214302015524e-05,21,1,0.002755769668530849,0.09702721553125793,0.05621362564658346,7,0,True,63
0.00015807427312569916,21,2,0.002755769668530849,0.09702721553125793,0.05621362564658346,11,0,True,63
0.0002930753720178585,21,3,0.002755769668530849,0.09702721553125793,0.05621362564658346,13,0,True,63
0.00016846214304849956,21,4,0.002755769668530849,0.09702721553125793,0.05621362564658346,9,0,True,63
68.10646838978266,31,0,0.46192703846998084,14.993989545217516,9.42262842686331,1,63,True,63
309.95649389405924,31,1,0.46192703846998084,14.993989545217516,9.42262842686331,7,63,True,63
636.9527567082232,31,2,0.46192703846998084,14.993989545217516,9.42262842686331,17,63,True,63
1041.5873412247192,31,3,0.46192703846998084,14.993989545217516,9.42262842686331,23,63,True,63
1349.4876223902156,31,4,0.46192703846998084,14.993989545217516,9.42262842686331,13,63,True,63
