accumulation_count,clipping_triggered,gradient_norm_after_clip,gradient_norm_before_clip,learning_rate,max_microbatch_loss,mean_microbatch_loss,microbatches_seen,min_microbatch_loss,optimizer_update
4,True,0.9999997615814209,4.6970953941345215,1.1904761904761905e-05,7.437349319458008,3.3131174743175507,4,0.1853216290473938,1
4,True,0.9999999403953552,9.088228225708008,2.380952380952381e-05,28.694950103759766,14.3848025649786,8,0.4060916304588318,2
4,True,0.9999997615814209,3.5364301204681396,3.571428571428572e-05,35.1739387512207,9.503092750906944,12,0.3738061785697937,3
4,True,0.9999998211860657,8.511636734008789,4.761904761904762e-05,15.6852445602417,9.285693235695362,16,0.26290252804756165,4
4,True,0.9999993443489075,1.4050809144973755,5.9523809523809524e-05,11.259485244750977,3.574655156582594,20,0.17842082679271698,5
4,True,0.9999998807907104,17.777667999267578,7.142857142857143e-05,1471.9730224609375,636.5551270358264,24,0.209292933344841,6
4,True,0.9999997615814209,8.037364959716797,8.333333333333333e-05,34.088008880615234,14.9170823097229,28,3.789702892303467,7
4,True,0.9999998211860657,9.440033912658691,9.523809523809524e-05,114.82613372802734,68.87713146209717,32,32.451454162597656,8
4,True,0.9999999403953552,12.522787094116211,0.00010714285714285715,621.2664794921875,181.78009237349033,36,0.29441505670547485,9
4,True,0.9999997019767761,3.751309633255005,0.00011904761904761905,6.525623321533203,2.523002617061138,40,0.31470486521720886,10
4,True,0.9999998211860657,7.942284107208252,0.00013095238095238096,760.039306640625,203.9537814706564,44,0.3695034384727478,11
4,True,0.9999998211860657,39.51435852050781,0.00014285714285714287,2603.855712890625,653.507114186883,48,0.2607254385948181,12
4,True,0.9999999403953552,8.295761108398438,0.00015476190476190478,51.39357376098633,25.717633485794067,52,6.266720771789551,13
4,True,0.9999997615814209,3.3853769302368164,0.00016666666666666666,17.961875915527344,5.034077621996403,56,0.17462781071662903,14
4,True,0.9999998211860657,8.141463279724121,0.00017857142857142857,269.75433349609375,70.50720262527466,60,3.390562057495117,15
4,True,0.9999998807907104,5.342830657958984,0.00019047619047619048,19.276226043701172,9.337324112653732,64,0.9803258180618286,16
4,True,0.9999995827674866,2.1986231803894043,0.0002023809523809524,14.285158157348633,4.154061108827591,68,0.324137806892395,17
4,True,0.9999998211860657,5.960961818695068,0.0002142857142857143,31.06896209716797,11.23111441731453,72,1.2536460161209106,18
4,True,0.9999995231628418,2.2499799728393555,0.00022619047619047618,20.851444244384766,7.160707116127014,76,0.5215640068054199,19
4,True,0.9999998211860657,7.136868476867676,0.0002380952380952381,1267.697265625,337.5087344646454,80,6.172616004943848,20
4,True,0.9999995231628418,1.959914207458496,0.00025,51.37139129638672,20.190689384937286,84,2.3412835597991943,21
4,True,0.9999997615814209,7.18043851852417,0.0002619047619047619,1468.5489501953125,374.877422273159,88,3.568934679031372,22
4,True,0.9999994039535522,1.6149884462356567,0.0002738095238095238,37.591270446777344,9.693104736506939,92,0.3035767078399658,23
4,True,0.9999998807907104,4.701456069946289,0.00028571428571428574,618.7879638671875,166.6186261549592,96,0.22746101021766663,24
4,True,0.9999997019767761,4.5981574058532715,0.00029761904761904765,92.70911407470703,32.58421538770199,100,0.3502897620201111,25
