reproduction_scope,resolution,increment_fidelity_class,temporal_increment_relative_difference,temporal_increment_cosine,information_reference,same_resolution_persistence_state_l2,same_resolution_persistence_physical_l2,model_status,state_normalized_l2,persistence_ratio,residual_relative_l2,residual_global_cosine,shell_skill,radial_skill,first_10x_physical_range_step,optimizer_updates
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,POOR,0.5034285651131418,0.8715487138500086,HIGHER_RES_SAMPLING_REFERENCE,0.31028247800893943,0.5715836064343972,Stage-T epoch-150 reusable comparable reference,0.26671131913718105,0.8595758366324685,0.8918514314288021,0.7406020960063326,-1.6794721761992293,-0.3480888795195025,1,6300
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,MODERATE,0.3783468475883613,0.9268723126200844,HIGHER_RES_SAMPLING_REFERENCE,0.31006867251481507,0.5652253858409252,blocked_gpu_preflight,,,,,,,,0
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,GOOD,0.0,1.0,HIGHER_RES_SAMPLING_REFERENCE,0.30940693725278573,0.5661437962498841,blocked_gpu_preflight,,,,,,,,0
