reproduction_scope,resolution,metric_semantics,formula,model_weighted_error,status,same_resolution_persistence_weighted_error_average,same_resolution_persistence_weighted_error_global,oracle_floor_unweighted_average
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,SPHERICAL_COORDINATE_VOLUME_PROXY,r^2 sin(theta) dr dtheta dphi; not strict Kerr-Schild proper volume,,not_recomputable_without_GPU_model_evaluation,0.33690698335287034,0.04958438412930296,0.11573696636511008
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,SPHERICAL_COORDINATE_VOLUME_PROXY,r^2 sin(theta) dr dtheta dphi; not strict Kerr-Schild proper volume,,not_recomputable_without_GPU_model_evaluation,0.3323543671425121,0.04646208409763059,0.11983253549652462
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,SPHERICAL_COORDINATE_VOLUME_PROXY,r^2 sin(theta) dr dtheta dphi; not strict Kerr-Schild proper volume,,not_recomputable_without_GPU_model_evaluation,0.3336211288216706,0.048486374531587516,0.11898140052825906
