reproduction_scope,resolution,channel,shell,median_absolute_increment_difference,median_shell_vector_relative_l2,model_shell_skill,model_status
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,press,0,0.005653405169507408,0.13721722584886786,-224762.81666878168,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,press,1,0.00015132776620951915,0.13721722584886786,-224762.81666878168,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,press,2,5.667380710949743e-06,0.13721722584886786,-224762.81666878168,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,press,3,7.078577633490291e-07,0.13721722584886786,-224762.81666878168,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,press,4,1.868431526684533e-07,0.13721722584886786,-224762.81666878168,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,press,5,9.048502127868147e-08,0.13721722584886786,-224762.81666878168,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,press,6,7.77724008427412e-08,0.13721722584886786,-224762.81666878168,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,press,7,1.5175652296221462e-09,0.13721722584886786,-224762.81666878168,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel1,0,0.00015521653079986208,0.057790113898027046,-3.639534985538486,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel1,1,0.00010422273982158003,0.057790113898027046,-3.639534985538486,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel1,2,0.00011151818375765288,0.057790113898027046,-3.639534985538486,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel1,3,0.0002543677842368197,0.057790113898027046,-3.639534985538486,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel1,4,0.0002448587933656654,0.057790113898027046,-3.639534985538486,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel1,5,0.0003791156082346703,0.057790113898027046,-3.639534985538486,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel1,6,0.0001500290358817935,0.057790113898027046,-3.639534985538486,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel1,7,0.00042081212791345024,0.057790113898027046,-3.639534985538486,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel2,0,0.0001874478435457405,0.9337944433110388,-1.8503336439284084,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel2,1,1.7797197533621356e-05,0.9337944433110388,-1.8503336439284084,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel2,2,5.716671886174529e-06,0.9337944433110388,-1.8503336439284084,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel2,3,3.863481265083124e-06,0.9337944433110388,-1.8503336439284084,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel2,4,2.5561013795583065e-06,0.9337944433110388,-1.8503336439284084,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel2,5,1.0334471973634518e-06,0.9337944433110388,-1.8503336439284084,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel2,6,6.417578327123918e-07,0.9337944433110388,-1.8503336439284084,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel2,7,4.6012787061414095e-07,0.9337944433110388,-1.8503336439284084,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel3,0,0.0008202703607764761,0.07883515651641418,-0.5335711757997375,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel3,1,9.024544476687879e-05,0.07883515651641418,-0.5335711757997375,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel3,2,5.808603114521027e-05,0.07883515651641418,-0.5335711757997375,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel3,3,9.177994963938119e-05,0.07883515651641418,-0.5335711757997375,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel3,4,2.2375627774184892e-05,0.07883515651641418,-0.5335711757997375,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel3,5,2.029215279719665e-05,0.07883515651641418,-0.5335711757997375,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel3,6,1.2221082368313319e-05,0.07883515651641418,-0.5335711757997375,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,64,vel3,7,8.056088321717336e-06,0.07883515651641418,-0.5335711757997375,available_stage_t_epoch150
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc1,0,0.000649356790939203,1.9339032492959127,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc1,1,0.00015946606932478366,1.9339032492959127,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc1,2,8.75107755544175e-06,1.9339032492959127,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc1,3,5.633100464045262e-06,1.9339032492959127,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc1,4,4.375735782207673e-06,1.9339032492959127,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc1,5,5.0361330432085815e-06,1.9339032492959127,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc1,6,1.7118798320620638e-06,1.9339032492959127,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc1,7,5.090990083173497e-07,1.9339032492959127,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc2,0,0.0002108194924042181,0.05972183467872586,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc2,1,2.9370085197186503e-05,0.05972183467872586,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc2,2,3.384332298760882e-06,0.05972183467872586,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc2,3,7.86345912742427e-07,0.05972183467872586,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc2,4,4.13836389950902e-07,0.05972183467872586,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc2,5,8.667520222675235e-08,0.05972183467872586,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc2,6,5.892655105198624e-08,0.05972183467872586,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc2,7,3.4042179549105013e-09,0.05972183467872586,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc3,0,0.006697789566811911,0.9526827400741185,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc3,1,0.00019965710159416017,0.9526827400741185,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc3,2,5.357693193222649e-05,0.9526827400741185,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc3,3,3.1993236131537903e-06,0.9526827400741185,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc3,4,7.728279603495762e-06,0.9526827400741185,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc3,5,1.2592845448880198e-06,0.9526827400741185,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc3,6,6.001077486180939e-07,0.9526827400741185,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,Bcc3,7,2.115414351300397e-08,0.9526827400741185,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,rho,0,0.000948301550057238,0.1681973354347501,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,rho,1,0.00038380254310326324,0.1681973354347501,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,rho,2,0.0002429736741981339,0.1681973354347501,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,rho,3,2.4324623710759465e-05,0.1681973354347501,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,rho,4,2.8284436477530933e-05,0.1681973354347501,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,rho,5,3.479075776496243e-05,0.1681973354347501,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,rho,6,4.483990692545676e-05,0.1681973354347501,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,rho,7,9.2785672381982e-06,0.1681973354347501,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,press,0,0.0016949754136129924,0.05141270981796277,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,press,1,0.00010848432715217498,0.05141270981796277,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,press,2,1.3496261511398634e-05,0.05141270981796277,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,press,3,3.3895302227934014e-07,0.05141270981796277,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,press,4,2.1765429969661427e-07,0.05141270981796277,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,press,5,1.1545204934175234e-07,0.05141270981796277,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,press,6,8.636619455496808e-08,0.05141270981796277,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,press,7,1.1413541882098154e-08,0.05141270981796277,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel1,0,7.871298976169783e-05,0.029526757466327044,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel1,1,6.185824413815108e-05,0.029526757466327044,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel1,2,2.588345338423384e-05,0.029526757466327044,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel1,3,0.0001296571452055811,0.029526757466327044,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel1,4,0.00012158661333901231,0.029526757466327044,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel1,5,0.0002003086248872207,0.029526757466327044,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel1,6,0.00028887914880707964,0.029526757466327044,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel1,7,0.00014021250856162512,0.029526757466327044,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel2,0,2.1743605752224095e-05,0.8776416437264821,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel2,1,8.378260178923914e-06,0.8776416437264821,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel2,2,3.5628919698798074e-06,0.8776416437264821,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel2,3,1.2214907697569476e-06,0.8776416437264821,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel2,4,1.1644552734089936e-06,0.8776416437264821,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel2,5,1.2592225252432022e-06,0.8776416437264821,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel2,6,4.483639097361152e-07,0.8776416437264821,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel2,7,3.4301933207805485e-07,0.8776416437264821,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel3,0,0.000293526818954551,0.036477847016906,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel3,1,0.00011209596132007193,0.036477847016906,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel3,2,4.499798933097659e-05,0.036477847016906,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel3,3,3.645029018804909e-05,0.036477847016906,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel3,4,1.063736358796487e-05,0.036477847016906,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel3,5,9.169812580630624e-06,0.036477847016906,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel3,6,6.359665287515427e-06,0.036477847016906,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,96,vel3,7,8.592614277156573e-06,0.036477847016906,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc1,0,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc1,1,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc1,2,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc1,3,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc1,4,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc1,5,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc1,6,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc1,7,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc2,0,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc2,1,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc2,2,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc2,3,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc2,4,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc2,5,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc2,6,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc2,7,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc3,0,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc3,1,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc3,2,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc3,3,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc3,4,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc3,5,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc3,6,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,Bcc3,7,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,rho,0,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,rho,1,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,rho,2,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,rho,3,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,rho,4,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,rho,5,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,rho,6,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,rho,7,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,press,0,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,press,1,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,press,2,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,press,3,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,press,4,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,press,5,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,press,6,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,press,7,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel1,0,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel1,1,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel1,2,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel1,3,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel1,4,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel1,5,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel1,6,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel1,7,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel2,0,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel2,1,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel2,2,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel2,3,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel2,4,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel2,5,0.0,0.0,,blocked_gpu_preflight
ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION,128,vel2,6,0.0,0.0,,blocked_gpu_preflight
