axis,boundary_over_interior,boundary_rms,channel,display_name,interior_rms,subject,variant,width
r,2.576419174884196,2.5706702690236654,Bcc1,W1,0.9977686449796008,predicted_residual,mixed_basis,2
r,1.8336965837544525,1.7212789475255081,Bcc1,W1,0.938693436403327,prediction_error,mixed_basis,2
r,2.5317295922846514,2.0998664686725053,Bcc1,W1,0.8294197275537512,prediction_spectral_reconstruction_error,mixed_basis,2
r,1.5275692071185356,1.860233494898108,Bcc1,W1,1.2177736276885807,truth_residual,mixed_basis,2
r,1.5703485763832394,1.7080080634272758,Bcc1,W1,1.0876617390013419,truth_spectral_reconstruction_error,mixed_basis,2
r,1.754962096917754,31.517712227459768,Bcc2,W1,17.959198254375085,predicted_residual,mixed_basis,2
r,1.957030158415807,29.02915632697804,Bcc2,W1,14.833269790015297,prediction_error,mixed_basis,2
r,2.0942469071726513,28.72612754780707,Bcc2,W1,13.716686150721802,prediction_spectral_reconstruction_error,mixed_basis,2
r,2.0087839172587527,38.33394954336177,Bcc2,W1,19.083162312287644,truth_residual,mixed_basis,2
r,2.3023856937887714,35.42819285153871,Bcc2,W1,15.387601194324052,truth_spectral_reconstruction_error,mixed_basis,2
r,2.666950558632723,60.17142884268213,Bcc3,W1,22.56188388941506,predicted_residual,mixed_basis,2
r,2.7169375373635294,38.861757844527496,Bcc3,W1,14.303515377183937,prediction_error,mixed_basis,2
r,2.6242863245687134,48.69324982960027,Bcc3,W1,18.554854084987365,prediction_spectral_reconstruction_error,mixed_basis,2
r,2.7335617406997246,60.272114136746694,Bcc3,W1,22.04893097505766,truth_residual,mixed_basis,2
r,2.7793725411369974,51.458675458545535,Bcc3,W1,18.51449372004467,truth_spectral_reconstruction_error,mixed_basis,2
r,2.3551532827727115,24.056563917808838,all,W1,10.214436611738133,predicted_residual,mixed_basis,2
r,2.3510283356703856,17.25033196761028,all,W1,7.337356043686909,prediction_error,mixed_basis,2
r,2.449445805474636,20.025089040519376,all,W1,8.175355011228369,prediction_spectral_reconstruction_error,mixed_basis,2
r,2.4462569475608755,25.331214756444915,all,W1,10.355091594814793,truth_residual,mixed_basis,2
r,2.5921494797488043,22.15731215597213,all,W1,8.547852787455495,truth_spectral_reconstruction_error,mixed_basis,2
r,1.7641037175023881,0.144836914454069,press,W1,0.082102267013602,predicted_residual,mixed_basis,2
r,1.1374093340605427,0.1971133923701218,press,W1,0.1733003119171077,prediction_error,mixed_basis,2
r,1.8911995484297939,0.13209477921928234,press,W1,0.0698470869078605,prediction_spectral_reconstruction_error,mixed_basis,2
r,1.0745270274507588,0.1986007288688643,press,W1,0.1848261828648748,truth_residual,mixed_basis,2
r,1.1375990248965568,0.1911871372360137,press,W1,0.16806197355293845,truth_spectral_reconstruction_error,mixed_basis,2
r,1.985032598626138,0.2155583816665296,rho,W1,0.10859185980911339,predicted_residual,mixed_basis,2
r,1.357932239598907,0.2330645884376643,rho,W1,0.17163197223044405,prediction_error,mixed_basis,2
r,2.072118204020757,0.180692828924762,rho,W1,0.08720198904393775,prediction_spectral_reconstruction_error,mixed_basis,2
r,0.8370029000218697,0.13061375368855316,rho,W1,0.15604934425572528,truth_residual,mixed_basis,2
r,0.9712230088004268,0.13124518580775346,rho,W1,0.1351339338324125,truth_spectral_reconstruction_error,mixed_basis,2
r,1.9508343497521186,0.16231624364603722,vel1,W1,0.08320349888582894,predicted_residual,mixed_basis,2
r,1.1345823773380985,0.26325038291952857,vel1,W1,0.2320240364892267,prediction_error,mixed_basis,2
r,2.140386479358981,0.14901193773971544,vel1,W1,0.06961917353558628,prediction_spectral_reconstruction_error,mixed_basis,2
r,1.1128731872852078,0.24856273811415644,vel1,W1,0.22335225698132902,truth_residual,mixed_basis,2
r,1.2034516915499895,0.2312537903717477,vel1,W1,0.19215876465627268,truth_spectral_reconstruction_error,mixed_basis,2
r,2.1548949983467245,2.353427964473458,vel2,W1,1.0921311554758129,predicted_residual,mixed_basis,2
r,1.529949107753838,2.754827812208458,vel2,W1,1.800600946951039,prediction_error,mixed_basis,2
r,2.3156142849073933,2.1223201991208223,vel2,W1,0.9165257845201532,prediction_spectral_reconstruction_error,mixed_basis,2
r,1.4848534738587345,3.0240474567714846,vel2,W1,2.0365965464005007,truth_residual,mixed_basis,2
r,1.8020986106948191,2.735552601415849,vel2,W1,1.5179816382862235,truth_spectral_reconstruction_error,mixed_basis,2
r,1.991034495212604,1.8810405639212975,vel3,W1,0.9447553864306297,predicted_residual,mixed_basis,2
r,3.033993055926049,4.1169313189252685,vel3,W1,1.356934984041577,prediction_error,mixed_basis,2
r,1.9861021825234975,1.6806490189664411,vel3,W1,0.8462047087784001,prediction_spectral_reconstruction_error,mixed_basis,2
r,3.23345335862098,4.291903658992893,vel3,W1,1.327343611606424,truth_residual,mixed_basis,2
r,3.1626704722025374,3.7298637118229867,vel3,W1,1.1793399737992452,truth_spectral_reconstruction_error,mixed_basis,2
r,2.838385234611986,2.400673468234303,Bcc1,W1,0.8457884570987352,predicted_residual,mixed_basis,4
r,1.8316216709779498,1.6189675217492379,Bcc1,W1,0.8838984313200605,prediction_error,mixed_basis,4
r,2.5085574848238728,1.867149216205668,Bcc1,W1,0.7443119113281,prediction_spectral_reconstruction_error,mixed_basis,4
r,1.5717285477675185,1.8310038780307896,Bcc1,W1,1.1649619017428585,truth_residual,mixed_basis,4
r,1.5012603435151595,1.5862508970183147,Bcc1,W1,1.0566128012841212,truth_spectral_reconstruction_error,mixed_basis,4
r,1.9244023608859084,31.761894212319184,Bcc2,W1,16.504809419220123,predicted_residual,mixed_basis,4
r,2.1017319169823367,28.310186408069363,Bcc2,W1,13.469932192264123,prediction_error,mixed_basis,4
r,2.223751962216648,27.476967451067736,Bcc2,W1,12.356129603446664,prediction_spectral_reconstruction_error,mixed_basis,4
r,2.1083590983973606,36.68998412152429,Bcc2,W1,17.402151345761574,truth_residual,mixed_basis,4
r,2.374651447603013,32.74601555523261,Bcc2,W1,13.789819802096273,truth_spectral_reconstruction_error,mixed_basis,4
r,2.922435440918575,55.61489838814487,Bcc3,W1,19.0303257377224,predicted_residual,mixed_basis,4
r,2.941137901659229,35.57369433022875,Bcc3,W1,12.095214682099746,prediction_error,mixed_basis,4
r,2.5685038488734913,42.75527938499544,Bcc3,W1,16.645986107339215,prediction_spectral_reconstruction_error,mixed_basis,4
r,2.9953027709389177,55.39367102516123,Bcc3,W1,18.493513097441348,truth_residual,mixed_basis,4
r,2.767178936045285,45.108512858475976,Bcc3,W1,16.301263453148,truth_spectral_reconstruction_error,mixed_basis,4
r,2.5422414102299355,22.68386009749572,all,W1,8.922779719587707,predicted_residual,mixed_basis,4
r,2.505696008077358,16.163839929244975,all,W1,6.4508383607346005,prediction_error,mixed_basis,4
r,2.4512480646749433,18.00407220553327,all,W1,7.34485932492547,prediction_spectral_reconstruction_error,mixed_basis,4
r,2.6113876020569617,23.562017927578317,all,W1,9.022796121502136,truth_residual,mixed_basis,4
r,2.6065888749709427,19.76910255609014,all,W1,7.584281029477853,truth_spectral_reconstruction_error,mixed_basis,4
r,2.046700978662507,0.15117610477890472,press,W1,0.07386330800393538,predicted_residual,mixed_basis,4
r,1.1731610114350206,0.2005051527913628,press,W1,0.17091017416791168,prediction_error,mixed_basis,4
r,2.1241026679116315,0.13326634509194427,press,W1,0.06274006765547196,prediction_spectral_reconstruction_error,mixed_basis,4
r,1.101636273898828,0.201914775104462,press,W1,0.1832862441882569,truth_residual,mixed_basis,4
r,1.1034769343741704,0.18465420782232925,press,W1,0.16733852976007574,truth_spectral_reconstruction_error,mixed_basis,4
r,2.2147388423646555,0.2145027709576005,rho,W1,0.0968523994136383,predicted_residual,mixed_basis,4
r,1.3962765730000155,0.23247458113928204,rho,W1,0.16649608368046398,prediction_error,mixed_basis,4
r,2.29727150715466,0.17757302310072456,rho,W1,0.07729736017170293,prediction_spectral_reconstruction_error,mixed_basis,4
r,0.8785415713130609,0.13778604532247418,rho,W1,0.15683497494209672,truth_residual,mixed_basis,4
r,0.9197193602658805,0.12527735569894355,rho,W1,0.1362125895259259,truth_spectral_reconstruction_error,mixed_basis,4
r,2.054682344297123,0.15649013193214983,vel1,W1,0.07616268878082118,predicted_residual,mixed_basis,4
r,1.0761609409492832,0.24947345562187126,vel1,W1,0.23181798012647656,prediction_error,mixed_basis,4
r,2.2884192977571822,0.1425064995519297,vel1,W1,0.06227289714415381,prediction_spectral_reconstruction_error,mixed_basis,4
r,1.0541056844546461,0.23555447753988976,vel1,W1,0.22346381488470637,truth_residual,mixed_basis,4
r,1.1427858224063256,0.21851215246930802,vel1,W1,0.19121006595023585,truth_spectral_reconstruction_error,mixed_basis,4
r,2.409127033051126,2.304404514910592,vel2,W1,0.9565309273011209,predicted_residual,mixed_basis,4
r,1.5944257948851348,2.736632884460205,vel2,W1,1.716375194906676,prediction_error,mixed_basis,4
r,2.3898790431029444,1.9602785767454725,vel2,W1,0.8202417534070293,prediction_spectral_reconstruction_error,mixed_basis,4
r,1.5637683679545078,3.039328155506215,vel2,W1,1.9435922978041933,truth_residual,mixed_basis,4
r,1.6905667179269375,2.4688316174214795,vel2,W1,1.4603574004159336,truth_spectral_reconstruction_error,mixed_basis,4
r,2.1992891142226028,1.8596691709454407,vel3,W1,0.845577399951252,predicted_residual,mixed_basis,4
r,3.1125392755674413,3.59676107941378,vel3,W1,1.1555713072112355,prediction_error,mixed_basis,4
r,2.202728340432476,1.666357102198519,vel3,W1,0.7564968732691533,prediction_spectral_reconstruction_error,mixed_basis,4
r,3.420668847629902,3.7457233762784927,vel3,W1,1.095026599512494,truth_residual,mixed_basis,4
r,3.367527468262746,3.2788702554933473,vel3,W1,0.9736729058322617,truth_spectral_reconstruction_error,mixed_basis,4
theta,0.2467121231180587,0.2950551997775296,Bcc1,W1,1.195949335802754,predicted_residual,mixed_basis,2
theta,0.28504719470758766,0.29524808569675487,Bcc1,W1,1.0357866738510852,prediction_error,mixed_basis,2
theta,0.3084854183984447,0.30471576768343916,Bcc1,W1,0.9877801332245254,prediction_spectral_reconstruction_error,mixed_basis,2
theta,0.009761876421337823,0.0127789622181282,Bcc1,W1,1.3090682228055595,truth_residual,mixed_basis,2
theta,0.14794412535545787,0.17351058932522337,Bcc1,W1,1.1728116199838166,truth_spectral_reconstruction_error,mixed_basis,2
theta,0.48570830071111015,9.502243406911527,Bcc2,W1,19.5636833733325,predicted_residual,mixed_basis,2
theta,0.6164730474491966,10.118055444635889,Bcc2,W1,16.412810724656563,prediction_error,mixed_basis,2
theta,0.4317054988772937,6.6904056290731155,Bcc2,W1,15.497615032637725,prediction_spectral_reconstruction_error,mixed_basis,2
theta,0.4537413987457005,9.687948490197439,Bcc2,W1,21.35125540005454,truth_residual,mixed_basis,2
theta,0.4332511397461681,7.707668674440962,Bcc2,W1,17.790302130438036,truth_spectral_reconstruction_error,mixed_basis,2
theta,0.21596977538093887,5.907023280494032,Bcc3,W1,27.35115721667494,predicted_residual,mixed_basis,2
theta,0.8541863316499385,14.574145697081365,Bcc3,W1,17.06202166561256,prediction_error,mixed_basis,2
theta,0.28951018648595594,6.470795774989781,Bcc3,W1,22.350839718393388,prediction_spectral_reconstruction_error,mixed_basis,2
theta,0.6001172776719247,16.00480585852944,Bcc3,W1,26.669463543222683,truth_residual,mixed_basis,2
theta,0.6334055327538979,14.24516490660833,Bcc3,W1,22.489801825180958,truth_spectral_reconstruction_error,mixed_basis,2
theta,0.33291623249420244,3.9653061094494864,all,W1,11.910822370364713,predicted_residual,mixed_basis,2
theta,0.7567824411046583,6.375212790929723,all,W1,8.424102416572943,prediction_error,mixed_basis,2
theta,0.34247465908302843,3.299936111872129,all,W1,9.635562878455493,prediction_spectral_reconstruction_error,mixed_basis,2
theta,0.553454095142468,6.710365994723814,all,W1,12.124521353476402,truth_residual,mixed_basis,2
theta,0.5692217142226471,5.792613277853726,all,W1,10.17637439528174,truth_spectral_reconstruction_error,mixed_basis,2
theta,0.24434658335463988,0.02200073216971949,press,W1,0.09003904154365873,predicted_residual,mixed_basis,2
theta,0.6958848649327143,0.12370903636194804,press,W1,0.17777227612776084,prediction_error,mixed_basis,2
theta,0.28932367957389205,0.02242651270660058,press,W1,0.07751357489863854,prediction_spectral_reconstruction_error,mixed_basis,2
theta,0.6427133398727575,0.12161420451900025,press,W1,0.18921997875923516,truth_residual,mixed_basis,2
theta,0.6647829265725541,0.11476621195391012,press,W1,0.1726371231367426,truth_spectral_reconstruction_error,mixed_basis,2
theta,0.5493858403896925,0.06637387467798028,rho,W1,0.12081468031811614,predicted_residual,mixed_basis,2
theta,0.38919559160043427,0.07043054165722804,rho,W1,0.18096438700039338,prediction_error,mixed_basis,2
theta,0.5951144570092035,0.05817297991071559,rho,W1,0.09775091030903311,prediction_spectral_reconstruction_error,mixed_basis,2
theta,0.14527816564272109,0.023177634364887262,rho,W1,0.15953969588167455,truth_residual,mixed_basis,2
theta,0.2508104553207097,0.034869396774289796,rho,W1,0.1390268867767196,truth_spectral_reconstruction_error,mixed_basis,2
theta,0.6111852233035685,0.05624355592233504,vel1,W1,0.09202374955717725,predicted_residual,mixed_basis,2
theta,1.4643687668653418,0.3311668364245754,vel1,W1,0.22614989059994636,prediction_error,mixed_basis,2
theta,0.4686102685105623,0.03700491061137927,vel1,W1,0.07896734898489573,prediction_spectral_reconstruction_error,mixed_basis,2
theta,1.5081643489335872,0.32659407434039545,vel1,W1,0.21655071913835378,truth_residual,mixed_basis,2
theta,1.6440437088132203,0.30451735655800927,vel1,W1,0.18522461107669094,truth_spectral_reconstruction_error,mixed_basis,2
theta,0.38900696429002746,0.48374566070636543,vel2,W1,1.2435398466175138,predicted_residual,mixed_basis,2
theta,0.3650610633881875,0.7036399182015922,vel2,W1,1.9274581399369264,prediction_error,mixed_basis,2
theta,0.4018568897947175,0.42683117853061575,vel2,W1,1.062147220490996,prediction_spectral_reconstruction_error,mixed_basis,2
theta,0.2541972787198981,0.5532501671440448,vel2,W1,2.1764598343858563,truth_residual,mixed_basis,2
theta,0.2872128950258083,0.47955266241698424,vel2,W1,1.6696766430834964,truth_spectral_reconstruction_error,mixed_basis,2
theta,0.4972982251417709,0.5239709463820552,vel3,W1,1.053635263292324,predicted_residual,mixed_basis,2
theta,2.0365268576734343,3.1070437495132768,vel3,W1,1.5256581261407083,prediction_error,mixed_basis,2
theta,0.4780889263952996,0.4512293254524175,vel3,W1,0.9438188180901859,prediction_spectral_reconstruction_error,mixed_basis,2
theta,2.047141785687794,3.1294880527868507,vel3,W1,1.528710944530602,truth_residual,mixed_basis,2
theta,1.7211228614958414,2.3947597084416956,vel3,W1,1.3913938173829097,truth_spectral_reconstruction_error,mixed_basis,2
theta,0.17669193382625767,0.2186875945132816,Bcc1,W1,1.2376772939070242,predicted_residual,mixed_basis,4
theta,0.2041858113933756,0.21885731692721272,Bcc1,W1,1.0718536975400883,prediction_error,mixed_basis,4
theta,0.22964480365307802,0.23466157508196786,Bcc1,W1,1.0218457868372612,prediction_spectral_reconstruction_error,mixed_basis,4
theta,0.009242494474899046,0.01252367588372365,Bcc1,W1,1.3550103727663243,truth_residual,mixed_basis,4
theta,0.115796837331862,0.14054248548606318,Bcc1,W1,1.2136988256707104,truth_spectral_reconstruction_error,mixed_basis,4
theta,0.4090858187284524,8.25096880878968,Bcc2,W1,20.16928583453684,predicted_residual,mixed_basis,4
theta,0.5092357094483199,8.602358334325698,Bcc2,W1,16.89268481121455,prediction_error,mixed_basis,4
theta,0.33730085440841,5.40062881400387,Bcc2,W1,16.01131080286174,prediction_spectral_reconstruction_error,mixed_basis,4
theta,0.3732753598867191,8.22459788728811,Bcc2,W1,22.033594421512568,truth_residual,mixed_basis,4
theta,0.3343467176455978,6.146418028105462,Bcc2,W1,18.383365840667732,truth_spectral_reconstruction_error,mixed_basis,4
theta,0.15589433938081496,4.412749206741417,Bcc3,W1,28.306025890792988,predicted_residual,mixed_basis,4
theta,0.5951898335694289,10.501735715714403,Bcc3,W1,17.644346599023983,prediction_error,mixed_basis,4
theta,0.2171495617590485,5.020957438821916,Bcc3,W1,23.122116379830526,prediction_spectral_reconstruction_error,mixed_basis,4
theta,0.4143554056834336,11.435604306627061,Bcc3,W1,27.598540165694935,truth_residual,mixed_basis,4
theta,0.44845584843525343,10.429604354916142,Bcc3,W1,23.25670273073032,truth_spectral_reconstruction_error,mixed_basis,4
theta,0.2693189478893299,3.3155103269562236,all,W1,12.310720626751639,predicted_residual,mixed_basis,4
theta,0.5619810585469963,4.884059697894269,all,W1,8.690790594476654,prediction_error,mixed_basis,4
theta,0.26235962404452984,2.6140999951552355,all,W1,9.963804471344833,prediction_spectral_reconstruction_error,mixed_basis,4
theta,0.4037348132909618,5.059802266974562,all,W1,12.532489397509762,truth_residual,mixed_basis,4
theta,0.4123650096612661,4.3379566284688496,all,W1,10.519701058128645,truth_spectral_reconstruction_error,mixed_basis,4
theta,0.1998868877763139,0.018613304069755903,press,W1,0.09311918493916105,predicted_residual,mixed_basis,4
theta,0.583839031656671,0.10658930320686165,press,W1,0.18256625101684182,prediction_error,mixed_basis,4
theta,0.21592147570211015,0.017314987422369886,press,W1,0.08019113136415393,prediction_spectral_reconstruction_error,mixed_basis,4
theta,0.5386720992141838,0.10479786554799071,press,W1,0.19454853091680469,truth_residual,mixed_basis,4
theta,0.5582538826882416,0.09903625363648826,press,W1,0.1774036091958456,truth_spectral_reconstruction_error,mixed_basis,4
theta,0.4200300994886317,0.052396545437495126,rho,W1,0.12474473972528548,predicted_residual,mixed_basis,4
theta,0.29897478424951784,0.05592883903303427,rho,W1,0.1870687495382797,prediction_error,mixed_basis,4
theta,0.44915755590919276,0.04533136286650947,rho,W1,0.1009253039832513,prediction_spectral_reconstruction_error,mixed_basis,4
theta,0.11608691049214023,0.019165550675764368,rho,W1,0.16509656941091552,truth_residual,mixed_basis,4
theta,0.19299600121475272,0.027757802317614672,rho,W1,0.14382578987596584,truth_spectral_reconstruction_error,mixed_basis,4
theta,0.5309982232885591,0.05020430089071369,vel1,W1,0.09454702236062153,predicted_residual,mixed_basis,4
theta,1.0847930330264435,0.25118752384508564,vel1,W1,0.23155340806743785,prediction_error,mixed_basis,4
theta,0.3584732529074998,0.029247698999820628,vel1,W1,0.08158962701568054,prediction_spectral_reconstruction_error,mixed_basis,4
theta,1.111761816332749,0.24654791230369827,vel1,W1,0.2217632488197515,truth_residual,mixed_basis,4
theta,1.202421572219379,0.2280035256642396,vel1,W1,0.1896202887007427,truth_spectral_reconstruction_error,mixed_basis,4
theta,0.30321411226489636,0.3897058770346418,vel2,W1,1.2852497996339427,predicted_residual,mixed_basis,4
theta,0.3259433171869332,0.6482738711363146,vel2,W1,1.9889159769596385,prediction_error,mixed_basis,4
theta,0.3039331930757775,0.3337512656800675,vel2,W1,1.0981073251741074,prediction_spectral_reconstruction_error,mixed_basis,4
theta,0.24459875788173682,0.5498849879826401,vel2,W1,2.2481103041762327,truth_residual,mixed_basis,4
theta,0.23317634673233364,0.4025401940041981,vel2,W1,1.7263337368703162,truth_spectral_reconstruction_error,mixed_basis,4
theta,0.3952096777107919,0.4297921418676573,vel3,W1,1.087504092402748,predicted_residual,mixed_basis,4
theta,1.6059070020276027,2.44939784387981,vel3,W1,1.5252426453008945,prediction_error,mixed_basis,4
theta,0.357588890948158,0.34882477250565846,vel3,W1,0.9754910774234032,prediction_spectral_reconstruction_error,mixed_basis,4
