channel,decoder_tail_fraction,display_name,physical_l2,physical_q001,physical_q999,radial_skill,residual_cosine,residual_l2,shell_skill,state_l2,variant
Bcc1,,Stage-T,0.6271743033104239,-4.235410213470459,4.235410213470459,-43.04849137787342,0.6783863756991302,0.7375577711661483,-43.45410497769272,0.23847350201791295,stage_t
Bcc2,0.4021116892496745,Stage-T,1.8752269359195584,-2.4216300798654555,2.9678530977964295,-0.4130954789394684,0.6522948835684826,0.7961024433541122,-28.871422996963858,0.4468337654043549,stage_t
Bcc3,0.5680696396600633,Stage-T,2.521775931056251,-33.421520877838134,34.191520385742145,-0.0806609848789781,0.8013948279458492,0.6023149365198377,-1.014442233300695,0.18548319032353788,stage_t
rho,0.0,Stage-T,13.97939120824721,7.807521662925864e-06,86.25632426452381,-17.40279288159977,0.23102959698092718,1.002795447278758,-919.1569886907832,0.15533676287465467,stage_t
press,0.0,Stage-T,2362.2280680027666,1.4467277681262657e-07,66.62615381239877,-194.41855729746771,0.22465538837331503,0.994374519965799,-224762.81666878168,0.1438619328671123,stage_t
vel1,,Stage-T,0.07502681008911893,-0.003601235369103958,5.26064920425415,-0.505518423659016,0.08526251691552328,1.0465187898837194,-3.639534985538486,0.10070492491378895,stage_t
vel2,,Stage-T,0.7758333592001933,-0.0451660230755806,0.0451660230755806,-2.985985747596717,0.5229637152703541,0.9598155942847565,-1.8503336439284084,0.7222800425095661,stage_t
vel3,0.2986878894624256,Stage-T,0.13645519779149196,-0.05656306540034711,1.355386155366891,-0.4867797844084871,0.34068573741514463,0.9953319489772864,-0.5335711757997375,0.14071643218652077,stage_t
Bcc1,,W1,0.6300380578367751,-4.235410213470459,4.235410213470459,-34.08820513522777,0.6601096037085618,0.7933772129759021,-40.57441420592,0.2565215224866986,mixed_basis
Bcc2,0.39585113525390625,W1,12.81399491199552,-3.037509303450584,3.2151285395622216,-2.3327911214098016,0.6779178895566585,0.7730942858327344,-43.53758668274069,0.4339198223523082,mixed_basis
Bcc3,0.5724959600539434,W1,16.99706570312323,-36.827121446609496,34.53413460922229,-1.0457624168367128,0.7936484481107923,0.6474077983743038,-35.79534350429357,0.19936955999589487,mixed_basis
rho,9.08261253720238e-08,W1,1.5323803243625495e+21,7.626189086522572e-06,3978.863462646167,-572609.2309919682,0.1873534223313766,1.1392022619423166,-3843813793493.957,0.17646668828379822,mixed_basis
press,4.54130626860119e-07,W1,20264427408986.105,1.4160332683843534e-07,170.76772363280594,-1854.4720961618436,0.35557920751955174,0.9416673046785698,-29540500.89339134,0.13623647417402174,mixed_basis
vel1,,W1,0.07882154015816477,0.006602767978096381,5.26064920425415,-1.6118807120704708,0.09767141953581855,1.040385040284952,-11.82042110118801,0.10011468329082082,mixed_basis
vel2,,W1,0.7615385993550605,-0.0451660230755806,0.0451660230755806,-0.5931509855841671,0.47162271628768193,0.8876089003348828,-2.9578730706397174,0.6679430904440145,mixed_basis
vel3,0.3040511721656436,W1,0.13666677505654293,-0.039848942037671795,1.3557593185305588,-0.6755317761654858,0.31225278418224867,0.9968752350465222,-0.06183085993562232,0.14093461630646523,mixed_basis
Bcc1,,W2,0.6525817881548923,-4.235410213470459,4.235410213470459,-18.552133496362586,0.6744482497248343,0.77852520925205,-46.414687009105414,0.25171944529010165,mixed_basis_boundary
Bcc2,0.39607157026018414,W2,46.31470210713862,-3.8649752124547954,3.282949224233626,-6.435682760888869,0.6739278476520356,0.7710291427380186,-573.6220643898155,0.4327607055781419,mixed_basis_boundary
Bcc3,0.5709440140497117,W2,2.7100032422704508,-34.8113535938263,35.32144500732412,-0.45078984897468044,0.800464845062286,0.625671961126092,-37.707713868518184,0.19267599790026502,mixed_basis_boundary
rho,0.0,W2,5064362896.139693,7.98206612762442e-06,855.9772246093326,-3016.630712601447,0.23908036637742766,1.0477630713753372,-40157509.62115045,0.1623024158782615,mixed_basis_boundary
press,9.08261253720238e-08,W2,9062450791192.49,1.429900877596424e-07,113.17352321242937,-2486.535100251764,0.378451689191967,0.9274527033437614,-95486644.61806181,0.13417996531093077,mixed_basis_boundary
vel1,,W2,0.08558098924773253,-0.00023382878670963675,5.26064920425415,-2.318551861765508,0.12062543314586181,1.0626040266554504,-20.685422719681817,0.10225278281789997,mixed_basis_boundary
vel2,,W2,0.7659259959910437,-0.0451660230755806,0.0451660230755806,-0.9617411000362529,0.48533922624018216,0.8782112774848044,-4.577154503719805,0.6608711950211785,mixed_basis_boundary
vel3,0.30507296607607887,W2,0.14009639441965524,-0.06437912727147341,1.3592354434132532,-0.6135661815004094,0.34486110690884403,1.0218915764244578,-0.16069087528480153,0.1444713362290471,mixed_basis_boundary
