axis,channel,display_name,energy_fraction,kind,mode,region,response_squared_sum,retained_high_half,retained_low_half,variant
log_r,Bcc1,W1,5.74661741052887e-05,mode_energy,63,,,False,False,mixed_basis
phi,Bcc1,W1,0.012769564566143218,mode_energy,0,,,False,True,mixed_basis
phi,Bcc1,W1,0.015198904722743713,mode_energy,1,,,False,True,mixed_basis
phi,Bcc1,W1,0.07878683428481029,mode_energy,2,,,True,False,mixed_basis
phi,Bcc1,W1,0.5185915893902339,mode_energy,3,,,True,False,mixed_basis
phi,Bcc1,W1,0.1704857116843118,mode_energy,4,,,True,False,mixed_basis
phi,Bcc1,W1,0.06747394261474188,mode_energy,5,,,False,False,mixed_basis
phi,Bcc1,W1,0.04172173148249434,mode_energy,6,,,False,False,mixed_basis
phi,Bcc1,W1,0.016799191827971263,mode_energy,7,,,False,False,mixed_basis
phi,Bcc1,W1,0.009670311530959779,mode_energy,8,,,False,False,mixed_basis
phi,Bcc1,W1,0.010360573363950904,mode_energy,9,,,False,False,mixed_basis
phi,Bcc1,W1,0.010444634635639856,mode_energy,10,,,False,False,mixed_basis
phi,Bcc1,W1,0.007827375094993167,mode_energy,11,,,False,False,mixed_basis
phi,Bcc1,W1,0.00704290112398098,mode_energy,12,,,False,False,mixed_basis
phi,Bcc1,W1,0.006704393855874149,mode_energy,13,,,False,False,mixed_basis
phi,Bcc1,W1,0.004443039283741635,mode_energy,14,,,False,False,mixed_basis
phi,Bcc1,W1,0.003423007489941642,mode_energy,15,,,False,False,mixed_basis
phi,Bcc1,W1,0.002947870946425575,mode_energy,16,,,False,False,mixed_basis
phi,Bcc1,W1,0.002236744162601628,mode_energy,17,,,False,False,mixed_basis
phi,Bcc1,W1,0.0018561449434176308,mode_energy,18,,,False,False,mixed_basis
phi,Bcc1,W1,0.0015906191919886417,mode_energy,19,,,False,False,mixed_basis
phi,Bcc1,W1,0.0013553415026699746,mode_energy,20,,,False,False,mixed_basis
phi,Bcc1,W1,0.0012246724417487712,mode_energy,21,,,False,False,mixed_basis
phi,Bcc1,W1,0.0010057581054117878,mode_energy,22,,,False,False,mixed_basis
phi,Bcc1,W1,0.0009731760649348137,mode_energy,23,,,False,False,mixed_basis
phi,Bcc1,W1,0.0007982516775826272,mode_energy,24,,,False,False,mixed_basis
phi,Bcc1,W1,0.0007031793017291729,mode_energy,25,,,False,False,mixed_basis
phi,Bcc1,W1,0.0006898818708364907,mode_energy,26,,,False,False,mixed_basis
phi,Bcc1,W1,0.0006036810844831798,mode_energy,27,,,False,False,mixed_basis
phi,Bcc1,W1,0.0005674405304758851,mode_energy,28,,,False,False,mixed_basis
phi,Bcc1,W1,0.0005075563014527271,mode_energy,29,,,False,False,mixed_basis
phi,Bcc1,W1,0.000495555266483717,mode_energy,30,,,False,False,mixed_basis
phi,Bcc1,W1,0.0004757534416254069,mode_energy,31,,,False,False,mixed_basis
phi,Bcc1,W1,0.00022466621359947293,mode_energy,32,,,False,False,mixed_basis
