model,train_pairs,updates,effective_samples,epochs_equivalent,avg_norm_rel_l2,global_norm_rel_l2,persistence_ratio,avg_physical_rel_l2,residual_rel_l2,residual_global_cosine,shell_skill,radial_skill,first_unstable_step,step100_finite
Persistence,,,,,0.31028247627581884,0.358636990728046,1.0,0.571583742525456,1.0,,0.0,0.0,stable baseline,True
S-small matched,79,600,2400,30.379746835443036,0.33346200544293,0.35521786325297083,1.0747046028680853,6.41753105136317e+21,1.1667954156244438,0.3192414699250897,-0.006208509865304412,-0.0380139501417357,1,True
S-full matched,168,600,2400,14.285714285714286,0.34318607521836586,0.3581889818747591,1.1060440129828604,15.006444175241459,1.2240386445956801,0.07730085478770239,-0.0290467453999258,-0.0584655572131032,1,True
S-full 30epoch,168,1260,5040,30.0,0.2971245937428131,0.24415025243533545,0.9575938586963276,1.1440856081380523e+22,1.15347036848824,0.7418393850134447,-3.53788567209913,-0.3749524256459619,1,True
