metric,s_small_matched,s_full_matched,improvement_data_formula,full_minus_small_for_skill_interpretation,s_full_30epoch,interpretation
avg_normalized_relative_l2,0.33346200544293,0.34318607521836586,-0.029160952722393736,,0.2971245937428131,lower_is_better
avg_physical_relative_l2,6.41753105136317e+21,15.006444175241459,1.0,,1.1440856081380523e+22,lower_is_better
residual_relative_l2,1.1667954156244438,1.2240386445956801,-0.04906021073163114,,1.15347036848824,lower_is_better
Bcc2_normalized_relative_l2,0.5588584222739489,0.5610695135667776,-0.0039564426421846806,,0.4298893222206968,lower_is_better
Bcc3_normalized_relative_l2,0.30390036020371264,0.30731673620952904,-0.011241763594904305,,0.18996711127669055,lower_is_better
vel3_normalized_relative_l2,0.14290334777322228,0.14273397810882668,0.0011852043149078255,,0.13824035535665302,lower_is_better
shell_skill,-0.006208509865304412,-0.0290467453999258,-3.6785373672755846,-0.022838235534621387,-3.53788567209913,higher_is_better; formula ratio is not meaningful when signed skill crosses/approaches zero
radial_skill,-0.0380139501417357,-0.0584655572131032,-0.5380026804663373,-0.020451607071367506,-0.3749524256459619,higher_is_better; formula ratio is not meaningful when signed skill crosses/approaches zero
